Attrition,Age,Department,DistanceFromHome,Education,EducationField,EmployeeNumber,Gender,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,NumCompaniesWorked,RelationshipSatisfaction,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany
No,33,Research & Development,7,3,Medical,817,Male,Research Director,3,Married,11691,0,4,14,3,4,13
No,35,Research & Development,18,2,Life Sciences,1412,Male,Manufacturing Director,4,Single,9362,2,3,10,2,3,2
No,42,Research & Development,6,3,Medical,1911,Male,Research Director,1,Married,13348,9,2,18,3,4,13
No,46,Sales,2,3,Marketing,1204,Female,Manager,1,Married,17048,8,1,28,2,3,26
No,39,Sales,20,3,Life Sciences,1812,Male,Sales Executive,4,Divorced,4127,2,4,7,6,3,2
Yes,22,Research & Development,4,1,Technical Degree,593,Male,Laboratory Technician,3,Single,3894,5,3,4,3,3,2
No,24,Research & Development,21,2,Technical Degree,1551,Male,Laboratory Technician,1,Divorced,2296,0,2,2,3,3,1
No,34,Research & Development,8,3,Medical,2068,Male,Laboratory Technician,3,Married,4404,2,1,6,3,4,4
No,30,Research & Development,20,3,Other,1084,Male,Manufacturing Director,1,Married,9957,0,3,7,1,2,6
No,26,Research & Development,6,3,Life Sciences,686,Female,Laboratory Technician,4,Married,2659,1,3,3,2,3,3
Yes,24,Sales,3,2,Life Sciences,720,Female,Sales Executive,3,Single,4577,9,1,4,3,3,2
No,36,Research & Development,5,2,Life Sciences,304,Male,Laboratory Technician,2,Single,5914,8,4,16,3,4,13
Yes,33,Research & Development,15,1,Medical,582,Male,Manager,3,Married,13610,7,4,15,2,4,7
No,42,Sales,1,1,Life Sciences,387,Male,Sales Executive,3,Married,4907,1,3,20,3,3,20
No,39,Research & Development,9,3,Life Sciences,2022,Male,Manager,4,Single,19431,2,3,21,3,2,6
No,44,Human Resources,1,3,Life Sciences,1683,Female,Human Resources,4,Divorced,3195,4,1,8,2,3,2
No,34,Sales,23,4,Marketing,60,Male,Sales Executive,3,Single,4568,0,3,10,2,3,9
No,30,Research & Development,5,3,Technical Degree,197,Female,Research Scientist,1,Divorced,3204,5,4,8,3,3,3
Yes,58,Research & Development,2,1,Life Sciences,918,Male,Laboratory Technician,4,Divorced,2380,9,4,3,3,2,1
No,46,Sales,3,3,Technical Degree,1863,Female,Sales Executive,1,Divorced,13225,2,4,25,5,3,19
No,33,Research & Development,28,4,Life Sciences,1549,Male,Laboratory Technician,3,Married,5207,1,2,15,3,3,15
No,46,Research & Development,1,4,Medical,1069,Male,Research Director,4,Divorced,19627,9,4,23,0,3,2
Yes,32,Research & Development,7,2,Life Sciences,1309,Male,Laboratory Technician,3,Married,4883,1,1,10,3,3,10
No,40,Research & Development,8,2,Life Sciences,1724,Female,Manufacturing Director,1,Married,6516,2,2,18,3,3,1
No,42,Research & Development,26,5,Medical,1242,Female,Research Director,1,Married,13191,3,3,20,6,3,1
Yes,32,Research & Development,16,1,Life Sciences,33,Female,Research Scientist,1,Single,3919,1,2,10,5,3,10
No,49,Research & Development,8,2,Other,944,Female,Laboratory Technician,2,Married,7403,4,3,29,3,2,26
Yes,32,Research & Development,2,4,Life Sciences,1692,Male,Laboratory Technician,2,Single,1393,1,1,1,2,3,1
No,52,Sales,3,4,Marketing,776,Male,Manager,1,Married,16856,1,1,34,3,4,34
No,26,Research & Development,1,2,Life Sciences,1893,Female,Research Scientist,3,Married,2933,1,3,1,3,2,1
Yes,37,Sales,1,4,Life Sciences,970,Male,Sales Executive,3,Married,10609,5,3,17,2,1,14
No,37,Research & Development,7,4,Medical,102,Male,Research Director,3,Single,13664,4,1,16,3,4,5
No,35,Sales,1,5,Marketing,204,Male,Sales Executive,2,Married,7295,1,1,10,3,3,10
No,50,Research & Development,2,3,Medical,815,Male,Research Director,3,Married,17639,5,4,30,3,3,4
No,30,Research & Development,7,4,Life Sciences,1224,Male,Laboratory Technician,3,Divorced,3491,1,1,10,4,2,10
No,28,Research & Development,1,3,Medical,1834,Female,Research Scientist,1,Married,3591,1,3,3,3,3,3
No,27,Sales,3,1,Medical,714,Female,Sales Executive,4,Divorced,4647,1,2,6,3,3,6
No,34,Research & Development,6,4,Life Sciences,151,Female,Research Scientist,2,Divorced,4505,6,3,12,3,3,1
No,42,Human Resources,10,3,Human Resources,1408,Female,Manager,1,Married,16799,0,3,21,5,3,20
No,34,Research & Development,2,4,Life Sciences,579,Male,Research Scientist,3,Divorced,2768,3,3,14,3,3,7
Yes,28,Sales,1,3,Technical Degree,1486,Male,Sales Representative,3,Married,2909,3,4,5,3,4,3
No,38,Sales,14,3,Life Sciences,1582,Male,Sales Executive,2,Married,9924,0,4,10,3,3,9
No,37,Sales,3,3,Life Sciences,152,Male,Sales Executive,4,Single,7428,2,1,12,3,3,5
No,45,Research & Development,1,3,Other,336,Male,Manager,4,Married,19202,0,3,25,2,3,24
No,35,Research & Development,25,4,Medical,1014,Female,Healthcare Representative,3,Divorced,10388,1,3,16,3,2,16
No,40,Sales,26,3,Marketing,1066,Male,Sales Executive,1,Married,8396,1,2,8,3,2,7
No,42,Research & Development,8,3,Life Sciences,1860,Male,Laboratory Technician,3,Single,3968,4,4,8,3,3,0
No,30,Research & Development,1,2,Medical,1989,Male,Laboratory Technician,2,Married,3748,1,3,12,6,2,12
No,36,Research & Development,3,2,Medical,238,Male,Laboratory Technician,2,Single,2088,4,3,13,3,2,8
Yes,26,Research & Development,5,2,Medical,848,Female,Research Scientist,3,Married,2366,1,1,8,2,3,8
No,50,Research & Development,1,3,Medical,249,Male,Laboratory Technician,3,Married,3690,2,4,5,2,2,3
No,30,Research & Development,2,1,Medical,198,Male,Laboratory Technician,4,Single,2720,0,4,6,3,3,5
No,29,Research & Development,15,3,Life Sciences,346,Male,Research Scientist,4,Single,2340,1,1,6,1,3,6
No,45,Research & Development,28,3,Technical Degree,1546,Male,Research Scientist,4,Married,2132,4,4,8,3,3,5
Yes,31,Sales,1,3,Life Sciences,1331,Female,Sales Representative,2,Single,2302,1,1,3,2,4,3
No,38,Sales,1,4,Life Sciences,1995,Male,Sales Executive,2,Married,4440,0,1,16,3,3,15
No,50,Research & Development,2,4,Life Sciences,905,Male,Manager,1,Divorced,17924,1,4,31,3,3,31
No,32,Research & Development,2,3,Medical,471,Female,Laboratory Technician,2,Married,2370,1,3,8,4,3,8
No,33,Research & Development,1,2,Life Sciences,73,Female,Research Director,4,Single,13458,1,3,15,1,3,15
No,46,Research & Development,7,4,Medical,487,Female,Manufacturing Director,3,Married,5258,2,3,7,2,4,1
No,45,Research & Development,10,2,Life Sciences,544,Male,Research Scientist,4,Married,2654,3,4,8,3,2,2
No,52,Research & Development,2,3,Life Sciences,316,Female,Laboratory Technician,4,Single,3212,7,2,6,3,2,2
No,47,Research & Development,16,4,Medical,987,Male,Manufacturing Director,3,Divorced,5067,1,3,20,3,4,19
No,31,Research & Development,2,4,Life Sciences,1721,Male,Laboratory Technician,3,Married,3477,1,4,6,2,4,5
No,49,Sales,8,4,Technical Degree,1138,Male,Sales Executive,2,Married,13120,6,2,22,3,3,9
No,24,Research & Development,11,2,Other,26,Female,Manufacturing Director,3,Divorced,4011,0,4,5,5,2,4
No,32,Research & Development,15,4,Medical,1955,Female,Healthcare Representative,4,Divorced,6667,5,2,9,6,3,5
No,50,Human Resources,3,3,Medical,644,Male,Manager,2,Married,18200,1,3,32,2,3,32
No,34,Research & Development,7,4,Life Sciences,28,Female,Research Director,2,Single,11994,0,3,13,4,3,12
No,37,Research & Development,5,2,Technical Degree,1440,Male,Laboratory Technician,3,Single,3500,0,1,7,2,1,6
No,52,Research & Development,28,2,Medical,1401,Female,Manufacturing Director,3,Married,13247,2,2,24,3,2,5
No,46,Research & Development,18,1,Medical,624,Female,Healthcare Representative,3,Married,10527,5,4,28,3,2,2
Yes,34,Sales,19,3,Marketing,502,Male,Sales Executive,4,Single,5304,8,2,9,3,2,5
Yes,32,Sales,2,4,Marketing,1862,Male,Sales Executive,2,Single,9907,7,3,7,3,2,2
No,38,Research & Development,2,3,Life Sciences,24,Male,Research Scientist,4,Single,3944,5,3,6,3,3,3
No,28,Research & Development,16,3,Medical,1947,Male,Research Scientist,3,Single,2144,1,3,5,3,2,5
No,21,Research & Development,1,1,Technical Degree,1131,Female,Research Scientist,2,Single,2070,1,3,2,6,4,2
No,26,Sales,5,3,Other,2060,Female,Sales Representative,3,Single,2966,0,4,5,2,3,4
No,53,Sales,1,1,Medical,682,Female,Sales Executive,1,Single,8381,7,4,18,2,4,14
Yes,41,Sales,1,2,Life Sciences,1,Female,Sales Executive,4,Single,5993,8,1,8,0,1,6
Yes,36,Research & Development,16,4,Life Sciences,1042,Female,Laboratory Technician,1,Single,2743,1,3,18,1,3,17
No,40,Research & Development,2,4,Life Sciences,2048,Male,Research Scientist,3,Single,2809,2,4,8,2,3,2
No,39,Research & Development,1,3,Life Sciences,1737,Male,Laboratory Technician,4,Married,6472,1,4,9,2,3,9
No,35,Research & Development,16,3,Life Sciences,1529,Female,Healthcare Representative,2,Single,8606,1,4,11,3,1,11
No,34,Research & Development,15,3,Medical,1485,Male,Research Director,1,Divorced,17007,7,4,16,3,2,14
Yes,35,Sales,12,4,Other,1667,Male,Sales Executive,4,Single,4581,3,1,13,2,4,11
No,34,Sales,9,1,Life Sciences,1163,Female,Sales Executive,3,Married,5714,1,1,6,3,2,6
Yes,29,Sales,27,3,Marketing,283,Female,Sales Executive,4,Married,7639,1,4,10,3,2,10
No,44,Research & Development,8,4,Life Sciences,874,Male,Laboratory Technician,4,Married,2818,2,3,10,2,2,3
No,38,Research & Development,10,1,Medical,1006,Male,Research Scientist,3,Married,2684,0,2,3,0,2,2
No,43,Research & Development,27,3,Technical Degree,1599,Male,Laboratory Technician,2,Divorced,4876,5,3,8,0,3,6
No,49,Research & Development,6,1,Life Sciences,1661,Female,Healthcare Representative,3,Married,13966,2,2,30,3,3,15
Yes,28,Research & Development,24,3,Life Sciences,19,Male,Laboratory Technician,3,Single,2028,5,2,6,4,3,4
Yes,18,Sales,3,2,Medical,1624,Female,Sales Representative,4,Single,1569,1,3,0,2,4,0
No,40,Research & Development,26,3,Medical,202,Female,Research Scientist,2,Divorced,5605,1,1,20,2,3,20
Yes,20,Research & Development,10,1,Medical,701,Male,Research Scientist,3,Single,1009,1,4,1,5,3,1
No,43,Research & Development,7,3,Medical,262,Male,Research Scientist,4,Divorced,2089,4,4,7,3,4,5
No,36,Sales,2,4,Life Sciences,1710,Female,Sales Representative,4,Single,4502,3,3,17,2,2,13
No,20,Research & Development,3,3,Life Sciences,1198,Male,Laboratory Technician,3,Single,3033,1,1,2,2,2,2
No,43,Research & Development,9,5,Medical,663,Male,Laboratory Technician,3,Divorced,5679,3,2,10,3,3,8
Yes,28,Research & Development,12,1,Life Sciences,1175,Female,Laboratory Technician,4,Married,2515,1,4,1,4,2,1
No,30,Research & Development,1,1,Life Sciences,104,Male,Laboratory Technician,4,Married,5126,1,3,10,1,2,10
No,49,Sales,2,3,Medical,2065,Male,Sales Executive,2,Married,5390,2,4,17,3,2,9
Yes,28,Research & Development,5,4,Technical Degree,65,Male,Laboratory Technician,3,Single,3441,1,3,2,3,2,2
No,34,Human Resources,3,2,Human Resources,847,Male,Human Resources,4,Married,3737,0,3,4,1,1,3
No,40,Research & Development,9,4,Other,1449,Male,Laboratory Technician,3,Divorced,3975,3,3,11,2,4,8
No,45,Research & Development,5,5,Medical,1611,Female,Laboratory Technician,1,Single,5769,1,1,10,3,3,10
Yes,25,Sales,5,3,Marketing,142,Male,Sales Executive,3,Single,5744,1,4,6,1,3,6
No,33,Sales,2,4,Medical,1670,Male,Sales Executive,4,Divorced,5505,1,3,6,5,3,6
