Attrition,Age,Department,DistanceFromHome,Education,EducationField,Gender,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,NumCompaniesWorked,RelationshipSatisfaction,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany
0,28,Research & Development,1,3,Medical,Female,Research Scientist,1,Married,3591,1,3,3,3,3,3
1,37,Research & Development,2,2,Other,Male,Laboratory Technician,3,Single,2090,6,2,7,3,3,0
0,27,Research & Development,8,5,Life Sciences,Male,Laboratory Technician,3,Married,4621,1,4,3,4,3,3
0,18,Research & Development,1,3,Life Sciences,Female,Laboratory Technician,4,Single,1611,1,3,0,5,4,0
0,29,Research & Development,9,3,Life Sciences,Male,Research Scientist,3,Married,2451,6,1,5,2,2,1
0,44,Research & Development,2,1,Medical,Male,Manufacturing Director,3,Single,10209,5,2,16,2,2,2
0,41,Sales,10,2,Life Sciences,Male,Sales Executive,4,Single,6230,7,4,16,3,3,14
0,25,Sales,18,1,Life Sciences,Male,Sales Executive,3,Married,6232,2,2,6,3,2,3
0,50,Research & Development,2,3,Medical,Male,Research Director,3,Married,17639,5,4,30,3,3,4
0,47,Sales,4,2,Life Sciences,Female,Sales Executive,4,Single,4163,1,3,9,0,3,9
0,48,Research & Development,2,2,Technical Degree,Male,Laboratory Technician,2,Single,2559,5,3,7,4,2,1
0,35,Research & Development,1,3,Medical,Male,Laboratory Technician,1,Single,2450,1,2,3,3,3,3
0,27,Research & Development,2,3,Medical,Male,Research Scientist,4,Single,2580,2,3,6,0,2,4
0,43,Research & Development,9,3,Life Sciences,Male,Research Scientist,3,Single,2438,4,3,7,2,2,3
0,36,Research & Development,10,3,Life Sciences,Male,Healthcare Representative,1,Married,8321,7,4,15,1,3,12
0,34,Sales,8,2,Technical Degree,Male,Sales Executive,3,Married,6799,1,3,10,5,3,10
0,27,Research & Development,11,1,Life Sciences,Male,Laboratory Technician,1,Married,2099,0,2,6,3,4,5
0,40,Research & Development,2,3,Medical,Male,Research Scientist,3,Divorced,2345,2,3,8,3,4,3
1,29,Sales,24,3,Technical Degree,Male,Sales Representative,1,Single,1091,1,4,1,3,3,1
0,37,Research & Development,10,1,Life Sciences,Female,Research Scientist,1,Divorced,2782,0,2,6,3,2,5
0,54,Research & Development,5,2,Medical,Male,Research Director,1,Married,19406,4,3,24,4,2,4
0,54,Research & Development,17,3,Technical Degree,Female,Manufacturing Director,3,Married,10739,8,3,22,2,3,10
0,46,Sales,2,3,Marketing,Female,Manager,1,Married,17048,8,1,28,2,3,26
1,33,Research & Development,2,2,Life Sciences,Female,Laboratory Technician,1,Married,2707,7,1,13,3,4,9
0,24,Research & Development,9,3,Medical,Male,Research Scientist,3,Married,4401,1,4,5,1,3,5
0,54,Research & Development,20,4,Life Sciences,Female,Research Scientist,3,Single,4869,3,4,20,4,2,4
0,40,Research & Development,8,2,Life Sciences,Male,Healthcare Representative,4,Divorced,4069,3,3,8,2,3,2
0,46,Human Resources,1,2,Life Sciences,Female,Human Resources,1,Single,3423,6,3,10,3,4,7
0,24,Research & Development,21,2,Technical Degree,Male,Laboratory Technician,1,Divorced,2296,0,2,2,3,3,1
0,35,Sales,7,1,Life Sciences,Male,Sales Representative,3,Married,2404,1,1,1,3,3,1
0,38,Research & Development,7,3,Life Sciences,Male,Research Scientist,3,Divorced,2610,1,4,4,2,3,4
0,39,Sales,24,1,Marketing,Female,Sales Executive,4,Married,12031,0,1,21,2,2,20
0,25,Research & Development,1,3,Medical,Female,Research Scientist,2,Single,2096,1,4,2,3,2,2
0,56,Research & Development,7,3,Life Sciences,Male,Manufacturing Director,4,Single,7260,4,1,37,3,2,6
0,59,Sales,25,3,Life Sciences,Female,Sales Executive,1,Single,7637,7,4,28,3,2,21
0,36,Sales,1,2,Life Sciences,Male,Sales Executive,4,Married,6201,1,4,18,1,2,18
0,41,Human Resources,4,3,Human Resources,Male,Human Resources,2,Married,6430,6,2,10,4,3,3
0,29,Sales,3,2,Medical,Female,Sales Executive,3,Married,5561,1,1,6,5,2,6
0,46,Research & Development,18,3,Medical,Female,Manufacturing Director,3,Divorced,4810,2,3,19,5,2,10
0,26,Research & Development,17,4,Medical,Male,Laboratory Technician,3,Married,2305,1,3,3,3,4,3
0,36,Research & Development,2,4,Medical,Male,Laboratory Technician,3,Single,2519,4,3,16,6,3,11
0,30,Human Resources,1,3,Life Sciences,Male,Human Resources,3,Divorced,2064,0,1,6,3,4,5
0,19,Research & Development,3,1,Medical,Female,Laboratory Technician,2,Single,1483,1,4,1,3,3,1
0,43,Research & Development,2,2,Medical,Female,Research Scientist,3,Divorced,2645,1,4,6,3,2,5
0,45,Research & Development,2,2,Medical,Male,Manager,4,Married,16792,9,4,22,1,3,20
0,48,Research & Development,1,4,Medical,Male,Manager,4,Single,16885,2,3,27,3,2,5
0,37,Sales,1,4,Medical,Male,Sales Executive,4,Divorced,9525,1,3,6,2,2,6
0,52,Research & Development,11,4,Life Sciences,Female,Laboratory Technician,3,Married,3149,8,2,9,3,3,5
0,22,Research & Development,8,1,Life Sciences,Male,Laboratory Technician,1,Married,2451,1,1,4,3,2,4
0,25,Sales,4,2,Life Sciences,Female,Sales Executive,4,Single,4487,1,2,5,3,3,5
0,52,Research & Development,1,2,Life Sciences,Male,Manager,4,Married,17099,2,2,26,2,2,9
0,47,Research & Development,4,3,Life Sciences,Female,Manufacturing Director,2,Divorced,10333,8,3,28,4,3,22
0,34,Sales,10,3,Life Sciences,Male,Sales Executive,3,Divorced,4001,1,3,15,3,3,15
0,55,Sales,26,5,Marketing,Male,Manager,4,Married,19586,1,3,36,3,3,36
0,39,Research & Development,19,4,Other,Male,Research Scientist,4,Divorced,3902,8,2,7,2,3,2
0,35,Research & Development,8,4,Life Sciences,Female,Healthcare Representative,3,Married,4148,1,4,15,5,3,14
0,29,Sales,5,3,Medical,Male,Sales Executive,2,Divorced,4187,1,2,10,3,2,10
1,31,Sales,16,4,Marketing,Male,Sales Executive,3,Married,8161,2,1,10,2,3,1
0,42,Research & Development,23,2,Life Sciences,Male,Research Scientist,3,Single,4332,1,4,20,2,3,20
0,39,Sales,21,4,Life Sciences,Male,Sales Executive,4,Married,6120,3,4,8,2,4,5
0,34,Sales,10,4,Life Sciences,Female,Sales Representative,3,Married,2220,1,4,1,2,3,1
0,39,Sales,20,3,Life Sciences,Male,Sales Executive,4,Divorced,4127,2,4,7,6,3,2
0,30,Research & Development,17,4,Medical,Female,Manager,1,Married,11916,1,4,9,2,3,9
0,34,Sales,9,1,Life Sciences,Female,Sales Executive,3,Married,5714,1,1,6,3,2,6
0,27,Research & Development,9,3,Medical,Male,Research Scientist,2,Divorced,2024,6,4,6,1,1,2
0,35,Research & Development,2,4,Life Sciences,Female,Healthcare Representative,1,Divorced,5093,2,1,16,2,4,1
0,39,Research & Development,9,2,Medical,Male,Manufacturing Director,1,Married,5151,1,4,10,3,3,10
0,32,Sales,10,4,Marketing,Male,Sales Executive,4,Single,4648,8,3,4,2,4,0
0,28,Sales,5,4,Medical,Male,Sales Executive,4,Single,4908,1,2,4,3,3,4
0,31,Sales,7,4,Marketing,Female,Sales Executive,1,Married,9637,2,4,9,3,3,3
0,52,Research & Development,3,3,Medical,Male,Manufacturing Director,3,Married,7969,2,3,28,4,3,5
0,34,Sales,3,3,Other,Male,Sales Executive,1,Single,4759,3,4,15,2,3,13
0,36,Research & Development,8,3,Life Sciences,Female,Research Director,1,Married,11713,9,1,10,2,3,8
0,37,Research & Development,1,2,Medical,Female,Research Scientist,1,Married,3920,2,1,17,2,2,3
0,40,Research & Development,9,5,Life Sciences,Male,Healthcare Representative,4,Married,4876,9,4,5,5,1,3
0,44,Research & Development,1,4,Life Sciences,Male,Healthcare Representative,1,Married,5033,2,4,10,5,3,2
0,43,Research & Development,11,3,Life Sciences,Male,Healthcare Representative,3,Married,7510,1,2,10,1,3,10
0,27,Research & Development,4,3,Life Sciences,Male,Manufacturing Director,2,Married,6142,1,2,6,0,3,6
0,22,Research & Development,26,2,Other,Female,Research Scientist,3,Married,2814,1,2,4,2,2,4
0,32,Research & Development,5,2,Life Sciences,Male,Research Scientist,2,Divorced,3298,0,4,7,5,2,6
0,31,Research & Development,1,2,Life Sciences,Male,Laboratory Technician,1,Married,2218,1,3,4,3,3,4
0,33,Research & Development,5,4,Life Sciences,Female,Research Scientist,4,Married,2911,1,3,2,2,2,2
0,37,Research & Development,7,4,Medical,Male,Research Scientist,1,Married,4284,5,3,16,2,3,5
0,55,Human Resources,26,4,Human Resources,Male,Manager,2,Married,19636,4,1,35,0,3,10
0,44,Sales,1,5,Marketing,Female,Sales Executive,1,Divorced,5454,5,3,9,2,2,4
0,54,Sales,2,4,Life Sciences,Female,Sales Executive,3,Married,10686,6,2,13,4,3,9
0,45,Research & Development,23,2,Life Sciences,Male,Laboratory Technician,1,Married,3633,1,3,9,2,3,9
0,37,Research & Development,1,4,Life Sciences,Female,Manufacturing Director,2,Married,6447,6,2,8,2,2,6
0,30,Human Resources,9,3,Human Resources,Male,Human Resources,4,Married,6347,0,4,12,2,1,11
0,27,Sales,11,3,Medical,Female,Sales Representative,4,Married,2534,8,2,5,4,3,1
0,38,Sales,2,2,Life Sciences,Male,Sales Executive,4,Married,5249,3,4,13,0,3,8
0,29,Research & Development,4,3,Technical Degree,Female,Research Scientist,1,Divorced,2109,1,3,1,2,3,1
0,32,Sales,1,4,Marketing,Female,Sales Executive,4,Married,10422,1,3,14,3,3,14
0,49,Research & Development,1,3,Life Sciences,Male,Manager,3,Single,15379,4,1,23,2,3,8
0,31,Sales,5,4,Life Sciences,Female,Sales Executive,4,Married,5476,1,1,10,2,3,10
0,37,Research & Development,2,2,Life Sciences,Male,Healthcare Representative,4,Divorced,5163,5,4,17,2,4,1
0,29,Sales,10,1,Marketing,Female,Sales Executive,2,Divorced,8268,1,1,7,2,3,7
0,52,Sales,2,4,Life Sciences,Male,Manager,3,Single,19068,1,4,33,2,4,33
0,57,Sales,29,3,Marketing,Male,Manager,4,Divorced,14118,3,3,32,3,2,1
0,51,Research & Development,11,2,Technical Degree,Female,Manufacturing Director,2,Single,13142,3,2,29,1,2,5
0,38,Research & Development,2,4,Life Sciences,Female,Manufacturing Director,1,Single,5980,6,4,17,2,3,15
1,20,Research & Development,11,3,Medical,Female,Research Scientist,1,Single,2600,1,1,1,2,3,1
0,34,Sales,2,3,Other,Male,Sales Executive,4,Single,6274,1,3,6,5,3,6
0,45,Sales,11,2,Life Sciences,Female,Manager,4,Married,17650,3,2,26,4,4,9
0,33,Research & Development,3,4,Life Sciences,Female,Research Scientist,3,Married,2909,1,3,8,3,3,8
0,35,Research & Development,22,3,Life Sciences,Female,Manager,2,Divorced,11996,7,2,10,6,2,7
0,33,Research & Development,1,3,Life Sciences,Female,Healthcare Representative,4,Single,6949,0,1,6,3,3,5
0,54,Human Resources,19,4,Medical,Male,Human Resources,2,Married,10725,2,3,16,1,4,9
0,51,Research & Development,8,4,Life Sciences,Male,Research Director,2,Married,12490,5,4,16,5,1,10
0,26,Research & Development,1,1,Medical,Female,Research Scientist,3,Divorced,2007,1,3,5,5,3,5
1,40,Research & Development,7,3,Life Sciences,Male,Laboratory Technician,1,Single,2166,3,2,10,3,1,4
