Attrition,Age,BusinessTravel,Department,DistanceFromHome,Education,EducationField,EmployeeNumber,EnvironmentSatisfaction,Gender,JobInvolvement,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,NumCompaniesWorked,OverTime,PercentSalaryHike,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsWithCurrManager
No,33,Travel_Rarely,Research & Development,7,3,Medical,817,3,Male,3,Research Director,3,Married,11691,0,No,11,4,0,14,3,4,13,9,7
No,35,Travel_Frequently,Research & Development,18,2,Life Sciences,1412,3,Male,3,Manufacturing Director,4,Single,9362,2,No,11,3,0,10,2,3,2,2,2
No,42,Travel_Rarely,Research & Development,6,3,Medical,1911,3,Male,3,Research Director,1,Married,13348,9,No,13,2,1,18,3,4,13,7,7
No,46,Travel_Rarely,Sales,2,3,Marketing,1204,3,Female,3,Manager,1,Married,17048,8,No,23,1,0,28,2,3,26,15,9
No,39,Travel_Frequently,Sales,,3,Life Sciences,1812,3,Male,3,Sales Executive,4,Divorced,4127,2,No,18,4,1,7,6,3,2,1,2
Yes,22,Travel_Frequently,Research & Development,4,1,Technical Degree,593,3,Male,2,Laboratory Technician,3,Single,3894,5,No,16,3,0,4,3,3,2,2,2
No,24,Travel_Rarely,Research & Development,21,2,Technical Degree,1551,3,Male,2,Laboratory Technician,1,Divorced,2296,0,No,14,2,3,2,3,3,1,1,0
No,34,Travel_Rarely,Research & Development,8,3,Medical,2068,2,Male,4,Laboratory Technician,3,Married,4404,2,No,12,1,0,6,3,4,4,3,2
No,30,Travel_Rarely,Research & Development,20,3,Other,1084,3,Male,3,Manufacturing Director,1,Married,9957,0,No,15,3,1,7,1,2,6,2,2
No,26,Travel_Rarely,Research & Development,6,3,Life Sciences,686,3,Female,3,Laboratory Technician,4,Married,2659,1,Yes,13,3,1,3,2,3,3,2,2
Yes,24,Travel_Rarely,Sales,3,2,Life Sciences,720,1,Female,3,Sales Executive,3,Single,4577,9,No,14,1,0,4,3,3,2,2,0
No,36,Travel_Rarely,Research & Development,5,2,Life Sciences,304,4,Male,3,Laboratory Technician,2,Single,5914,8,No,16,4,0,16,3,4,13,11,7
Yes,33,Travel_Rarely,Research & Development,15,1,Medical,582,2,Male,3,Manager,3,Married,13610,7,Yes,12,4,0,15,2,4,7,6,7
No,42,Travel_Rarely,Sales,1,1,Life Sciences,387,2,Male,3,Sales Executive,3,Married,4907,1,No,25,3,0,20,3,3,20,16,6
No,39,Non-Travel,Research & Development,9,3,Life Sciences,2022,4,Male,3,Manager,4,Single,19431,2,No,13,3,0,21,3,2,6,0,3
No,44,Travel_Rarely,Human Resources,1,3,Life Sciences,1683,3,Female,3,Human Resources,4,Divorced,3195,4,Yes,18,1,3,8,2,3,2,2,2
No,34,Non-Travel,Sales,23,4,Marketing,60,2,Male,3,Sales Executive,3,Single,4568,0,No,20,3,0,10,2,3,9,5,7
No,30,Travel_Rarely,Research & Development,5,3,Technical Degree,197,4,Female,3,Research Scientist,1,Divorced,3204,5,No,14,4,1,8,3,3,3,2,2
Yes,58,Travel_Frequently,Research & Development,2,1,Life Sciences,918,4,Male,2,Laboratory Technician,4,Divorced,2380,9,Yes,14,4,1,3,3,2,1,0,0
No,46,Travel_Rarely,Sales,3,3,Technical Degree,1863,1,Female,4,Sales Executive,1,Divorced,13225,2,No,12,4,1,25,5,3,19,17,8
No,33,Travel_Rarely,Research & Development,28,4,Life Sciences,1549,2,Male,3,Laboratory Technician,3,Married,5207,1,Yes,12,2,1,15,3,3,15,14,7
No,46,Travel_Rarely,Research & Development,1,4,Medical,1069,4,Male,3,Research Director,4,Divorced,19627,9,No,17,4,2,23,0,3,2,2,2
Yes,32,Travel_Rarely,Research & Development,7,2,Life Sciences,1309,4,Male,3,Laboratory Technician,3,Married,4883,1,No,18,1,1,10,3,3,10,4,1
No,40,Travel_Rarely,Research & Development,8,2,Life Sciences,1724,2,Female,3,Manufacturing Director,1,Married,6516,2,Yes,16,2,1,18,3,3,1,0,0
No,42,Travel_Frequently,Research & Development,26,5,Medical,1242,1,Female,3,Research Director,1,Married,13191,3,Yes,17,3,0,20,6,3,1,0,0
Yes,32,Travel_Frequently,Research & Development,16,1,Life Sciences,33,2,Female,1,Research Scientist,1,Single,3919,1,Yes,22,2,0,10,5,3,10,2,7
No,49,Travel_Rarely,Research & Development,8,2,Other,944,1,Female,3,Laboratory Technician,2,Married,7403,4,No,11,3,1,29,3,2,26,9,7
Yes,32,Travel_Rarely,Research & Development,2,4,Life Sciences,1692,4,Male,3,Laboratory Technician,2,Single,1393,1,No,12,1,0,1,2,3,1,0,0
No,52,Travel_Rarely,Sales,3,4,Marketing,776,3,Male,2,Manager,1,Married,16856,1,No,11,1,0,34,3,4,34,6,16
No,26,Travel_Rarely,Research & Development,1,2,Life Sciences,1893,2,Female,2,Research Scientist,3,Married,2933,1,Yes,13,3,1,1,3,2,1,0,0
Yes,37,Travel_Rarely,Sales,1,4,Life Sciences,970,1,Male,2,Sales Executive,3,Married,10609,5,No,11,3,0,17,2,1,14,1,7
No,37,Travel_Rarely,Research & Development,,4,Medical,102,1,Male,3,Research Director,3,Single,13664,4,No,13,1,0,16,3,4,5,2,2
No,35,Travel_Rarely,Sales,1,5,Marketing,204,3,Male,3,Sales Executive,2,Married,7295,1,No,13,1,2,10,3,3,10,8,6
No,50,Travel_Rarely,Research & Development,2,3,Medical,815,3,Male,3,Research Director,3,Married,17639,5,No,16,4,0,30,3,3,4,3,3
No,30,Travel_Rarely,Research & Development,7,4,Life Sciences,1224,3,Male,3,Laboratory Technician,3,Divorced,3491,1,No,13,1,3,10,4,2,10,7,9
No,28,Travel_Rarely,Research & Development,1,3,Medical,1834,3,Female,3,Research Scientist,1,Married,3591,1,No,25,3,1,3,3,3,3,2,2
No,27,Travel_Frequently,Sales,3,1,Medical,714,4,Female,4,Sales Executive,4,Divorced,4647,1,Yes,20,2,2,6,3,3,6,5,4
No,34,Travel_Rarely,Research & Development,6,4,Life Sciences,151,3,Female,2,Research Scientist,2,Divorced,4505,6,No,15,3,1,12,3,3,1,0,0
No,42,Travel_Rarely,Human Resources,10,3,Human Resources,1408,3,Female,3,Manager,1,Married,16799,0,No,14,3,1,21,5,3,20,7,9
No,34,Travel_Rarely,Research & Development,2,4,Life Sciences,579,4,Male,2,Research Scientist,3,Divorced,2768,3,No,12,3,1,14,3,3,7,3,7
Yes,28,Travel_Frequently,Sales,1,3,Technical Degree,1486,1,Male,3,Sales Representative,3,Married,2909,3,No,15,4,1,5,3,4,3,2,2
No,38,Travel_Rarely,Sales,14,3,Life Sciences,1582,3,Male,3,Sales Executive,2,Married,9924,0,No,11,4,1,10,3,3,9,8,7
No,37,Travel_Rarely,Sales,3,3,Life Sciences,152,3,Male,3,Sales Executive,4,Single,7428,2,No,12,1,0,12,3,3,5,3,3
No,45,Travel_Rarely,Research & Development,1,3,Other,336,3,Male,4,Manager,4,Married,19202,0,No,11,3,1,25,2,3,24,0,7
No,35,Travel_Rarely,Research & Development,25,4,Medical,1014,3,Female,3,Healthcare Representative,3,Divorced,10388,1,Yes,11,3,1,16,3,2,16,10,1
No,40,Travel_Rarely,Sales,26,3,Marketing,1066,3,Male,3,Sales Executive,1,Married,8396,1,No,14,2,1,8,3,2,7,7,5
No,42,Travel_Rarely,Research & Development,8,3,Life Sciences,1860,4,Male,3,Laboratory Technician,3,Single,3968,4,No,13,4,0,8,3,3,0,0,0
No,30,Travel_Rarely,Research & Development,1,2,Medical,1989,4,Male,3,Laboratory Technician,2,Married,3748,1,No,13,3,0,12,6,2,12,8,7
No,36,Travel_Frequently,Research & Development,3,2,Medical,238,4,Male,3,Laboratory Technician,2,Single,2088,4,No,12,3,0,13,3,2,8,7,2
Yes,26,Travel_Frequently,Research & Development,5,2,Medical,848,3,Female,2,Research Scientist,3,Married,2366,1,Yes,14,1,1,8,2,3,8,7,7
No,50,Travel_Rarely,Research & Development,1,3,Medical,249,3,Male,2,Laboratory Technician,3,Married,3690,2,No,15,4,1,5,2,2,3,2,2
No,30,Travel_Rarely,Research & Development,2,1,Medical,198,2,Male,2,Laboratory Technician,4,Single,2720,0,No,13,4,0,6,3,3,5,3,2
No,29,Travel_Rarely,Research & Development,15,3,Life Sciences,346,3,Male,3,Research Scientist,4,Single,2340,1,No,19,1,0,6,1,3,6,5,5
No,45,Travel_Rarely,Research & Development,28,3,Technical Degree,1546,4,Male,3,Research Scientist,4,Married,2132,4,No,20,4,1,8,3,3,5,4,3
