Attrition,Age,Department,DistanceFromHome,Education,EmployeeNumber,EnvironmentSatisfaction,Gender,JobSatisfaction,MaritalStatus,MonthlyIncome,NumCompaniesWorked,OverTime,PercentSalaryHike,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany
0,33,Research & Development,7,3,817,3,Male,3,Married,11691,0,No,11,0,14,3,4,13
0,35,Research & Development,18,2,1412,3,Male,4,Single,9362,2,No,11,0,10,2,3,2
0,42,Research & Development,6,3,1911,3,Male,1,Married,13348,9,No,13,1,18,3,4,13
0,46,Sales,2,3,1204,3,Female,1,Married,17048,8,No,23,0,28,2,3,26
1,22,Research & Development,4,1,593,3,Male,3,Single,3894,5,No,16,0,4,3,3,2
0,24,Research & Development,21,2,1551,3,Male,1,Divorced,2296,0,No,14,3,2,3,3,1
0,34,Research & Development,8,3,2068,2,Male,3,Married,4404,2,No,12,0,6,3,4,4
0,30,Research & Development,20,3,1084,3,Male,1,Married,9957,0,No,15,1,7,1,2,6
0,26,Research & Development,6,3,686,3,Female,4,Married,2659,1,Yes,13,1,3,2,3,3
1,24,Sales,3,2,720,1,Female,3,Single,4577,9,No,14,0,4,3,3,2
0,36,Research & Development,5,2,304,4,Male,2,Single,5914,8,No,16,0,16,3,4,13
1,33,Research & Development,15,1,582,2,Male,3,Married,13610,7,Yes,12,0,15,2,4,7
0,42,Sales,1,1,387,2,Male,3,Married,4907,1,No,25,0,20,3,3,20
0,39,Research & Development,9,3,2022,4,Male,4,Single,19431,2,No,13,0,21,3,2,6
0,44,Human Resources,1,3,1683,3,Female,4,Divorced,3195,4,Yes,18,3,8,2,3,2
0,34,Sales,23,4,60,2,Male,3,Single,4568,0,No,20,0,10,2,3,9
0,30,Research & Development,5,3,197,4,Female,1,Divorced,3204,5,No,14,1,8,3,3,3
1,58,Research & Development,2,1,918,4,Male,4,Divorced,2380,9,Yes,14,1,3,3,2,1
0,46,Sales,3,3,1863,1,Female,1,Divorced,13225,2,No,12,1,25,5,3,19
0,33,Research & Development,28,4,1549,2,Male,3,Married,5207,1,Yes,12,1,15,3,3,15
0,46,Research & Development,1,4,1069,4,Male,4,Divorced,19627,9,No,17,2,23,0,3,2
1,32,Research & Development,7,2,1309,4,Male,3,Married,4883,1,No,18,1,10,3,3,10
0,40,Research & Development,8,2,1724,2,Female,1,Married,6516,2,Yes,16,1,18,3,3,1
0,42,Research & Development,26,5,1242,1,Female,1,Married,13191,3,Yes,17,0,20,6,3,1
1,32,Research & Development,16,1,33,2,Female,1,Single,3919,1,Yes,22,0,10,5,3,10
0,49,Research & Development,8,2,944,1,Female,2,Married,7403,4,No,11,1,29,3,2,26
1,32,Research & Development,2,4,1692,4,Male,2,Single,1393,1,No,12,0,1,2,3,1
0,52,Sales,3,4,776,3,Male,1,Married,16856,1,No,11,0,34,3,4,34
0,26,Research & Development,1,2,1893,2,Female,3,Married,2933,1,Yes,13,1,1,3,2,1
1,37,Sales,1,4,970,1,Male,3,Married,10609,5,No,11,0,17,2,1,14
0,35,Sales,1,5,204,3,Male,2,Married,7295,1,No,13,2,10,3,3,10
0,50,Research & Development,2,3,815,3,Male,3,Married,17639,5,No,16,0,30,3,3,4
0,30,Research & Development,7,4,1224,3,Male,3,Divorced,3491,1,No,13,3,10,4,2,10
0,28,Research & Development,1,3,1834,3,Female,1,Married,3591,1,No,25,1,3,3,3,3
0,27,Sales,3,1,714,4,Female,4,Divorced,4647,1,Yes,20,2,6,3,3,6
0,34,Research & Development,6,4,151,3,Female,2,Divorced,4505,6,No,15,1,12,3,3,1
0,42,Human Resources,10,3,1408,3,Female,1,Married,16799,0,No,14,1,21,5,3,20
0,34,Research & Development,2,4,579,4,Male,3,Divorced,2768,3,No,12,1,14,3,3,7
1,28,Sales,1,3,1486,1,Male,3,Married,2909,3,No,15,1,5,3,4,3
0,38,Sales,14,3,1582,3,Male,2,Married,9924,0,No,11,1,10,3,3,9
0,37,Sales,3,3,152,3,Male,4,Single,7428,2,No,12,0,12,3,3,5
0,45,Research & Development,1,3,336,3,Male,4,Married,19202,0,No,11,1,25,2,3,24
0,35,Research & Development,25,4,1014,3,Female,3,Divorced,10388,1,Yes,11,1,16,3,2,16
0,40,Sales,26,3,1066,3,Male,1,Married,8396,1,No,14,1,8,3,2,7
0,42,Research & Development,8,3,1860,4,Male,3,Single,3968,4,No,13,0,8,3,3,0
0,30,Research & Development,1,2,1989,4,Male,2,Married,3748,1,No,13,0,12,6,2,12
0,36,Research & Development,3,2,238,4,Male,2,Single,2088,4,No,12,0,13,3,2,8
1,26,Research & Development,5,2,848,3,Female,3,Married,2366,1,Yes,14,1,8,2,3,8
