Attrition,Age,DistanceFromHome,EmployeeNumber,Gender,JobSatisfaction,MaritalStatus,MonthlyIncome,OverTime,PercentSalaryHike,TotalWorkingYears
0,27,2,1898,Female,3,Single,6500,No,14,9
0,27,9,1965,Male,4,Single,4105,No,14,7
0,44,2,1703,Female,4,Married,7879,Yes,19,9
0,42,2,1231,Male,1,Married,6272,No,16,10
0,32,1,2016,Female,4,Married,10422,No,19,14
1,40,25,1318,Male,2,Single,9094,Yes,12,9
0,41,4,1722,Male,2,Married,6430,No,19,10
0,32,24,772,Male,4,Married,5309,No,15,10
0,53,8,897,Male,4,Married,11836,No,14,28
1,35,10,1639,Male,1,Married,10306,No,17,15
1,39,5,42,Male,4,Married,2086,No,14,19
1,32,2,1692,Male,2,Single,1393,No,12,1
0,28,2,1136,Male,2,Married,3201,No,17,6
1,23,6,811,Male,1,Married,1601,Yes,21,1
1,36,3,967,Male,4,Married,10325,Yes,11,16
0,29,19,611,Male,4,Divorced,4262,No,12,8
1,18,3,1624,Female,4,Single,1569,Yes,12,0
1,56,24,1907,Male,4,Single,2587,No,16,5
1,22,7,1878,Male,2,Single,2472,Yes,23,1
0,22,16,22,Male,4,Divorced,2935,Yes,13,1
0,45,26,1612,Male,1,Married,4385,No,15,10
0,28,7,1507,Male,1,Single,4898,No,14,5
1,28,1,1486,Male,3,Married,2909,No,15,5
1,29,23,1165,Female,1,Married,7336,No,13,11
0,28,2,846,Female,2,Married,4779,Yes,20,8
0,31,10,1912,Female,4,Divorced,6583,Yes,11,8
0,42,2,477,Male,4,Single,6781,No,23,14
0,35,7,1962,Female,4,Married,5204,Yes,11,10
0,29,10,1143,Female,2,Divorced,3291,No,14,8
0,26,1,1083,Male,1,Married,3955,No,16,6
1,20,10,701,Male,3,Single,1009,Yes,11,1
0,21,9,484,Male,4,Single,2610,No,24,3
0,35,4,1185,Male,4,Married,2376,No,13,2
0,40,8,1552,Male,4,Divorced,4069,Yes,18,8
1,31,1,1331,Female,2,Single,2302,Yes,11,3
0,26,28,641,Male,2,Married,6272,No,20,6
0,49,11,1757,Female,4,Single,4507,No,12,8
0,55,26,1578,Male,4,Married,19586,No,21,36
0,58,21,1938,Female,4,Married,17875,Yes,13,29
0,34,27,247,Female,2,Single,2311,No,15,9
0,37,11,1411,Female,3,Single,3629,No,18,8
0,41,8,1909,Female,2,Married,4393,No,21,14
1,23,8,1684,Male,3,Single,3989,Yes,11,5
1,26,16,394,Male,2,Divorced,2373,Yes,13,5
0,36,10,1312,Female,3,Married,7094,No,12,10
0,38,12,837,Male,1,Divorced,6288,No,15,13
0,30,2,571,Female,4,Single,2564,No,14,12
0,39,1,1737,Male,4,Married,6472,Yes,15,9
0,40,26,1066,Male,1,Married,8396,No,14,8
0,36,13,829,Male,2,Married,2143,No,13,8
0,35,18,2049,Male,3,Married,5689,Yes,14,10
0,50,22,1539,Male,4,Single,14411,Yes,13,32
1,44,10,1200,Male,3,Single,2936,Yes,11,6
1,33,16,1758,Female,1,Single,8564,Yes,20,11
0,37,4,311,Male,4,Divorced,2793,No,17,13
0,35,16,1886,Female,2,Married,4788,Yes,11,4
1,29,1,300,Male,3,Single,2058,No,14,7
1,25,19,952,Male,2,Married,2413,Yes,18,1
0,47,14,728,Male,1,Single,4960,No,12,20
0,48,20,945,Male,3,Married,2259,No,17,13
0,32,2,439,Female,4,Single,5055,No,16,10
1,30,3,297,Female,1,Single,2657,Yes,11,8
1,29,1,816,Female,1,Married,2319,Yes,11,1
0,44,10,40,Male,4,Married,6465,Yes,13,9
0,43,2,1778,Male,4,Single,3539,No,13,10
0,41,7,1035,Female,3,Divorced,19973,No,22,21
0,31,1,308,Male,3,Married,4345,No,12,6
1,33,3,702,Male,1,Single,3348,Yes,11,10
1,48,1,64,Male,3,Single,5381,Yes,13,23
0,44,1,1903,Male,1,Married,5033,No,15,10
0,35,28,1554,Female,3,Married,2430,No,23,6
0,58,10,131,Male,3,Single,13872,No,13,38
0,22,1,872,Male,4,Married,4775,No,22,4
0,53,6,769,Male,4,Single,2450,No,17,19
0,33,5,338,Female,4,Married,2911,No,13,2
1,29,13,1487,Female,2,Single,5765,No,11,7
0,37,16,868,Male,3,Divorced,6334,No,19,9
0,26,23,72,Female,4,Married,4157,Yes,19,5
0,55,20,389,Male,4,Married,5415,Yes,19,12
0,43,25,1076,Male,4,Divorced,10798,No,13,18
1,24,7,647,Female,3,Married,2886,Yes,16,6
0,36,9,699,Male,2,Divorced,8847,Yes,11,13
1,22,4,593,Male,3,Single,3894,No,16,4
1,31,22,1389,Male,3,Married,6179,Yes,15,10
0,37,19,61,Male,2,Married,3022,No,21,8
1,24,9,1494,Male,1,Single,3172,Yes,11,4
0,28,9,377,Male,4,Married,2070,No,23,5
0,26,1,1068,Female,3,Divorced,2007,No,13,5
1,39,2,1127,Male,4,Divorced,12169,No,11,21
0,25,2,1653,Male,3,Divorced,5206,No,17,7
0,56,7,112,Male,4,Single,7260,No,11,37
1,29,24,1868,Male,4,Single,2439,Yes,24,1
0,39,1,1026,Female,4,Married,12742,No,16,21
1,32,11,631,Male,3,Married,4707,No,12,6
1,31,15,1160,Male,3,Married,2610,No,12,2
0,23,10,1592,Male,3,Married,2073,No,16,4
0,31,7,462,Female,4,Single,7143,Yes,14,11
0,34,1,1184,Male,1,Single,5343,No,20,14
0,51,6,1297,Female,3,Single,2838,No,14,8
1,23,7,1702,Male,4,Divorced,2275,Yes,21,3
1,49,28,1420,Male,1,Single,4284,No,20,20
1,33,1,780,Male,4,Single,2686,Yes,13,10
0,30,1,292,Male,3,Single,8474,No,22,12
1,24,3,720,Female,3,Single,4577,No,14,4
0,36,2,1847,Female,2,Married,6962,Yes,22,15
0,35,28,1596,Male,3,Married,3407,No,17,10
0,35,1,204,Male,2,Married,7295,No,13,10
1,19,22,167,Male,3,Single,1675,Yes,19,0
0,55,14,254,Male,2,Single,18722,No,11,36
0,51,2,408,Male,2,Divorced,5482,No,18,13
0,34,10,1055,Female,3,Married,2220,Yes,19,1
0,38,29,273,Male,4,Married,6261,No,18,9
0,47,2,925,Female,4,Single,3294,Yes,18,3
0,43,10,430,Female,4,Single,2455,No,19,9
0,32,13,859,Male,4,Divorced,4403,No,11,8
0,38,1,1961,Male,1,Single,2858,No,14,20
1,36,9,90,Male,3,Married,3388,Yes,17,2
0,38,15,461,Male,4,Divorced,11510,Yes,14,12
0,32,2,8,Male,4,Single,3068,No,13,8
1,41,1,1,Female,4,Single,5993,Yes,11,8
0,45,1,996,Female,4,Divorced,2270,No,14,8
0,39,25,1397,Male,3,Married,10920,No,21,13
0,32,5,1764,Male,2,Single,2718,No,14,12
1,40,24,986,Female,2,Single,13194,Yes,16,22
