Sales,CompPrice,Income,Price,ShelveLoc,Urban,US
9.5,138,73,120,Bad,Yes,Yes
11.22,111,48,83,Good,Yes,Yes
10.06,113,35,80,Medium,Yes,Yes
7.4,117,100,97,Medium,Yes,Yes
4.15,141,64,128,Bad,Yes,No
10.81,124,113,72,Bad,No,Yes
6.63,115,105,108,Medium,Yes,No
11.85,136,81,120,Good,Yes,Yes
6.54,132,110,124,Medium,No,No
4.69,132,113,124,Medium,No,Yes
9.01,121,78,100,Bad,No,Yes
11.96,117,94,94,Good,Yes,Yes
3.98,122,35,136,Medium,Yes,No
10.96,115,28,86,Good,Yes,Yes
11.17,107,117,118,Good,Yes,Yes
8.71,149,95,144,Medium,No,No
7.58,118,32,110,Good,Yes,No
12.29,147,74,131,Good,Yes,Yes
13.91,110,110,68,Good,No,Yes
8.73,129,76,121,Medium,Yes,Yes
6.41,125,90,131,Medium,Yes,Yes
12.13,134,29,109,Good,No,Yes
5.08,128,46,138,Medium,Yes,No
5.87,121,31,109,Medium,Yes,No
10.14,145,119,113,Bad,Yes,Yes
14.9,139,32,82,Good,No,No
8.33,107,115,131,Good,No,Yes
5.27,98,118,107,Medium,Yes,No
2.99,103,74,97,Bad,Yes,Yes
7.81,104,99,102,Bad,Yes,Yes
13.55,125,94,89,Good,Yes,No
8.25,136,58,131,Medium,Yes,Yes
6.2,107,32,137,Good,No,Yes
8.77,114,38,128,Good,Yes,Yes
2.67,115,54,128,Medium,Yes,Yes
11.07,131,84,96,Medium,No,Yes
8.89,122,76,100,Good,No,No
4.95,121,41,110,Medium,Yes,Yes
6.59,109,73,102,Medium,Yes,No
3.24,130,60,138,Bad,No,No
2.07,119,98,126,Bad,No,No
7.96,157,53,124,Bad,Yes,No
10.43,77,69,24,Medium,Yes,No
4.12,123,42,134,Medium,Yes,Yes
4.16,85,79,95,Medium,Yes,Yes
4.56,141,63,135,Bad,Yes,Yes
12.44,127,90,70,Medium,No,Yes
4.38,126,98,108,Bad,Yes,No
3.91,116,52,98,Bad,Yes,No
10.61,157,93,149,Good,Yes,No
1.42,99,32,108,Bad,Yes,Yes
4.42,121,90,108,Bad,Yes,No
7.91,153,40,129,Bad,Yes,Yes
6.92,109,64,119,Medium,Yes,Yes
4.9,134,103,144,Medium,No,Yes
6.85,143,81,154,Medium,Yes,Yes
11.91,133,82,84,Medium,Yes,No
0.91,93,91,117,Bad,Yes,No
5.42,103,93,103,Bad,Yes,Yes
5.21,118,71,114,Medium,Yes,No
8.32,122,102,123,Bad,Yes,Yes
7.32,105,32,107,Medium,No,No
1.82,139,45,133,Bad,Yes,Yes
8.47,119,88,101,Medium,Yes,Yes
7.8,100,67,104,Medium,No,Yes
4.9,122,26,128,Medium,No,No
8.85,127,92,91,Medium,Yes,No
9.01,126,61,115,Medium,Yes,Yes
13.39,149,69,134,Good,Yes,Yes
7.99,127,59,99,Medium,Yes,No
9.46,89,81,99,Good,Yes,Yes
6.5,148,51,150,Medium,No,Yes
5.52,115,45,116,Medium,Yes,No
12.61,118,90,104,Good,No,Yes
6.2,150,68,136,Medium,No,Yes
8.55,88,111,92,Bad,No,Yes
10.64,102,87,70,Medium,Yes,Yes
7.7,118,71,89,Medium,No,Yes
4.43,134,48,145,Medium,Yes,Yes
9.14,134,67,90,Bad,Yes,No
8.01,113,100,79,Bad,Yes,Yes
7.52,116,72,128,Good,Yes,No
11.62,151,83,139,Good,Yes,Yes
4.42,109,36,94,Bad,Yes,Yes
2.23,111,25,121,Bad,No,No
8.47,125,103,112,Medium,No,No
8.7,150,84,134,Medium,Yes,No
11.7,131,67,126,Good,No,Yes
6.56,117,42,111,Medium,Yes,Yes
7.95,128,66,119,Medium,No,No
5.33,115,22,103,Medium,No,No
4.81,97,46,107,Medium,Yes,Yes
4.53,114,113,125,Medium,Yes,No
8.86,145,30,104,Medium,Yes,No
8.39,115,97,84,Bad,Yes,Yes
5.58,134,25,148,Medium,Yes,Yes
9.48,147,42,132,Good,No,Yes
7.45,161,82,129,Bad,Yes,Yes
12.49,122,77,127,Good,No,Yes
4.88,121,47,107,Bad,No,Yes
4.11,113,69,106,Medium,No,Yes
6.2,128,93,118,Medium,Yes,No
5.3,113,22,97,Medium,No,No
5.07,123,91,96,Bad,Yes,Yes
4.62,121,96,138,Medium,Yes,No
5.55,104,100,97,Medium,Yes,Yes
0.16,102,33,139,Medium,No,No
8.55,134,107,108,Medium,Yes,No
3.47,107,79,103,Bad,Yes,No
8.98,115,65,90,Medium,No,No
9,128,62,116,Medium,Yes,Yes
6.62,132,118,151,Medium,Yes,Yes
6.67,116,99,125,Good,Yes,Yes
6.01,131,29,127,Bad,Yes,Yes
9.31,122,87,106,Medium,Yes,Yes
8.54,139,35,129,Medium,Yes,No
5.08,135,75,128,Medium,No,No
8.8,145,53,119,Medium,Yes,No
7.57,112,88,99,Medium,Yes,Yes
7.37,130,94,128,Medium,Yes,Yes
6.87,128,105,131,Medium,Yes,Yes
11.67,125,89,87,Bad,Yes,Yes
6.88,119,100,108,Medium,Yes,Yes
8.19,127,103,155,Good,No,Yes
8.87,131,113,120,Good,Yes,No
9.34,89,78,49,Medium,No,No
11.27,153,68,133,Good,Yes,Yes
6.52,125,48,116,Medium,Yes,Yes
4.96,133,100,126,Bad,Yes,Yes
4.47,143,120,147,Bad,No,Yes
8.41,94,84,77,Medium,Yes,Yes
6.5,108,69,94,Medium,Yes,No
9.54,125,87,136,Good,Yes,Yes
7.62,132,98,97,Bad,Yes,Yes
3.67,132,31,131,Medium,Yes,No
6.44,96,94,120,Medium,No,Yes
5.17,131,75,120,Bad,No,No
6.52,128,42,118,Medium,Yes,No
10.27,125,103,109,Medium,Yes,Yes
12.3,146,62,94,Medium,No,Yes
6.03,133,60,129,Medium,Yes,Yes
6.53,140,42,131,Bad,Yes,No
7.44,124,84,104,Medium,Yes,No
0.53,122,88,159,Bad,Yes,Yes
9.09,132,68,123,Good,No,No
8.77,144,63,117,Medium,Yes,Yes
3.9,114,83,131,Bad,Yes,No
10.51,140,54,119,Good,No,Yes
7.56,110,119,97,Medium,No,Yes
11.48,121,120,87,Medium,Yes,Yes
10.49,122,84,114,Good,No,Yes
10.77,111,58,103,Good,No,Yes
7.64,128,78,128,Good,No,No
5.93,150,36,150,Medium,No,Yes
6.89,129,69,110,Medium,No,Yes
7.71,98,72,69,Medium,Yes,No
7.49,146,34,157,Good,Yes,No
10.21,121,58,90,Medium,No,Yes
12.53,142,90,112,Good,No,Yes
9.32,119,60,70,Bad,No,No
4.67,111,28,111,Medium,No,No
2.93,143,21,160,Medium,No,Yes
3.63,122,74,149,Medium,Yes,No
5.68,130,64,106,Bad,No,No
8.22,148,64,141,Medium,No,Yes
0.37,147,58,191,Bad,Yes,Yes
6.71,119,67,137,Medium,Yes,Yes
6.71,106,73,93,Medium,Yes,No
7.3,129,89,117,Medium,Yes,No
11.48,104,41,77,Good,Yes,Yes
8.01,128,39,118,Medium,Yes,Yes
12.49,93,106,55,Medium,Yes,Yes
9.03,104,102,110,Good,Yes,Yes
6.38,135,91,128,Medium,Yes,Yes
0,139,24,185,Medium,No,No
7.54,115,89,122,Medium,Yes,No
5.61,138,107,154,Medium,No,Yes
10.48,138,72,94,Medium,Yes,Yes
10.66,104,71,81,Medium,No,Yes
7.78,144,25,116,Medium,Yes,Yes
4.94,137,112,149,Bad,Yes,Yes
7.43,121,83,91,Medium,Yes,No
4.74,137,60,140,Bad,Yes,No
5.32,118,74,102,Medium,Yes,Yes
9.95,132,33,97,Medium,No,Yes
10.07,130,100,107,Medium,Yes,Yes
8.68,120,51,86,Medium,No,No
6.03,117,32,96,Bad,Yes,No
8.07,116,37,90,Medium,Yes,No
12.11,118,117,104,Medium,No,Yes
8.79,130,37,101,Medium,No,Yes
6.67,156,42,173,Good,Yes,Yes
7.56,108,26,93,Medium,No,No
13.28,139,70,96,Good,Yes,Yes
7.23,112,98,128,Medium,Yes,Yes
4.19,117,93,112,Bad,Yes,Yes
4.1,130,28,133,Bad,Yes,Yes
2.52,124,61,138,Medium,Yes,No
3.62,112,80,128,Medium,Yes,Yes
6.42,122,88,126,Medium,Yes,Yes
5.56,144,92,146,Medium,No,No
5.94,138,83,134,Medium,Yes,No
4.1,121,78,130,Bad,No,Yes
2.05,131,82,157,Bad,Yes,No
8.74,155,80,124,Medium,Yes,No
5.68,113,22,132,Medium,Yes,No
4.97,162,67,160,Medium,Yes,Yes
8.19,111,105,97,Bad,No,No
7.78,86,54,64,Bad,Yes,No
3.02,98,21,90,Bad,No,Yes
4.36,125,41,123,Bad,No,Yes
9.39,117,118,120,Medium,Yes,Yes
12.04,145,69,105,Medium,Yes,Yes
8.23,149,84,139,Medium,Yes,Yes
4.83,115,115,107,Medium,Yes,Yes
2.34,116,83,144,Bad,Yes,Yes
5.73,141,33,144,Medium,Yes,No
4.34,106,44,111,Medium,No,No
9.7,138,61,120,Medium,Yes,Yes
10.62,116,79,116,Good,Yes,Yes
10.59,131,120,124,Medium,Yes,Yes
6.43,124,44,107,Medium,Yes,No
7.49,136,119,145,Medium,Yes,Yes
3.45,110,45,125,Medium,Yes,Yes
4.1,134,82,141,Medium,No,No
6.68,107,25,82,Bad,Yes,No
7.8,119,33,122,Good,Yes,No
8.69,113,64,101,Medium,Yes,Yes
5.4,149,73,163,Bad,No,Yes
11.19,98,104,72,Medium,No,No
5.16,115,60,114,Bad,No,No
8.09,132,69,122,Medium,No,No
