Sales,CompPrice,Income,Advertising,Population,Price,ShelveLoc,Age,Education,Urban,US
3.72,139.0,111.0,5,310,132,Bad,62,13,Yes,Yes
2.93,143.0,21.0,5,81,160,Medium,67,12,No,Yes
4.53,114.0,,0,97,125,Medium,29,12,Yes,No
8.47,119.0,88.0,10,170,101,Medium,61,13,Yes,Yes
11.85,136.0,81.0,15,425,120,Good,67,10,Yes,Yes
12.49,122.0,,24,382,127,Good,36,16,No,Yes
7.57,112.0,88.0,2,243,99,Medium,62,11,Yes,Yes
7.64,128.0,78.0,0,341,128,Good,45,13,No,No
6.9,120.0,56.0,20,266,90,Bad,78,18,Yes,Yes
4.69,133.0,30.0,0,152,122,Medium,53,17,Yes,No
12.57,132.0,102.0,20,459,107,Good,49,11,Yes,Yes
10.14,,119.0,16,294,113,Bad,42,12,Yes,Yes
6.88,119.0,100.0,5,45,108,Medium,75,10,Yes,Yes
8.78,130.0,30.0,0,391,100,Medium,26,18,Yes,No
11.96,117.0,94.0,4,503,94,Good,50,13,Yes,Yes
8.32,122.0,102.0,19,469,123,Bad,29,13,Yes,Yes
11.19,98.0,104.0,0,404,72,Medium,27,18,No,No
6.11,133.0,88.0,3,105,119,Medium,79,12,Yes,Yes
5.12,123.0,36.0,10,467,100,Bad,74,11,No,Yes
2.99,,74.0,0,359,97,Bad,55,11,Yes,Yes
5.16,115.0,60.0,0,119,114,Bad,38,14,No,No
5.99,117.0,42.0,10,371,121,Bad,26,14,Yes,Yes
9.46,89.0,81.0,15,237,99,Good,74,12,Yes,Yes
11.19,122.0,69.0,7,303,105,Good,45,16,No,Yes
9.43,115.0,62.0,11,289,129,Good,56,16,No,Yes
4.69,132.0,113.0,0,131,124,Medium,76,17,No,Yes
7.68,126.0,41.0,22,403,119,Bad,42,12,Yes,Yes
8.33,,115.0,11,496,131,Good,50,11,No,Yes
12.66,148.0,76.0,3,126,99,Good,60,11,Yes,Yes
7.58,118.0,32.0,0,284,110,Good,63,13,Yes,No
12.61,118.0,90.0,10,54,104,Good,31,11,No,Yes
14.37,95.0,106.0,0,256,53,Good,52,17,Yes,No
12.11,118.0,117.0,18,509,104,Medium,26,15,No,Yes
7.62,132.0,98.0,2,265,97,Bad,62,12,Yes,Yes
12.3,146.0,62.0,10,310,94,Medium,30,13,No,Yes
14.9,,32.0,0,176,82,Good,54,11,No,No
9.5,138.0,73.0,11,276,120,Bad,42,17,Yes,Yes
5.68,113.0,22.0,1,317,132,Medium,28,12,Yes,No
8.68,120.0,51.0,0,93,86,Medium,46,17,No,No
5.83,134.0,82.0,7,473,112,Bad,51,12,No,Yes
7.45,161.0,,5,287,129,Bad,33,16,Yes,Yes
3.62,112.0,80.0,5,500,128,Medium,69,10,Yes,Yes
6.64,118.0,70.0,0,106,89,Bad,39,17,Yes,No
7.82,124.0,25.0,13,87,110,Medium,57,10,Yes,Yes
12.53,142.0,90.0,1,189,112,Good,39,10,No,Yes
9.54,125.0,87.0,9,232,136,Good,72,10,Yes,Yes
9.14,134.0,67.0,0,286,90,Bad,41,13,Yes,No
9.24,126.0,80.0,19,436,126,Medium,52,10,Yes,Yes
10.36,107.0,105.0,18,428,103,Medium,34,12,Yes,Yes
9.4,135.0,40.0,17,497,96,Medium,54,17,No,Yes
1.82,139.0,45.0,0,146,133,Bad,77,17,Yes,Yes
10.66,104.0,71.0,14,89,81,Medium,25,14,No,Yes
6.52,125.0,48.0,3,192,116,Medium,51,14,Yes,Yes
6.68,107.0,25.0,0,412,82,Bad,36,14,Yes,No
6.85,143.0,81.0,5,60,154,Medium,61,18,Yes,Yes
10.81,124.0,113.0,13,501,72,Bad,78,16,No,Yes
6.71,119.0,67.0,17,151,137,Medium,55,11,Yes,Yes
4.17,123.0,96.0,10,71,118,Bad,69,11,Yes,Yes
3.47,108.0,38.0,0,251,81,Bad,72,14,No,No
8.54,139.0,35.0,0,95,129,Medium,42,13,Yes,No
6.41,,90.0,2,367,131,Medium,35,18,Yes,Yes
7.3,129.0,89.0,0,425,117,Medium,45,10,Yes,No
6.88,96.0,39.0,0,161,112,Good,27,14,No,No
5.17,138.0,35.0,6,60,143,Bad,28,18,Yes,No
0.37,147.0,58.0,7,100,191,Bad,27,15,Yes,Yes
8.55,88.0,111.0,23,480,92,Bad,36,16,No,Yes
10.44,124.0,115.0,16,458,105,Medium,62,16,No,Yes
4.36,125.0,41.0,2,357,123,Bad,47,14,No,Yes
2.05,131.0,82.0,0,132,157,Bad,25,14,Yes,No
3.02,98.0,21.0,11,326,90,Bad,76,11,No,Yes
10.31,159.0,80.0,0,362,121,Medium,26,18,Yes,No
5.73,141.0,33.0,0,243,144,Medium,34,17,Yes,No
5.4,149.0,73.0,13,381,163,Bad,26,11,No,Yes
8.86,145.0,,0,67,104,Medium,55,17,Yes,No
13.14,137.0,80.0,10,24,105,Good,61,15,Yes,Yes
6.23,112.0,38.0,17,316,104,Medium,80,16,Yes,Yes
6.67,116.0,99.0,5,298,125,Good,62,12,Yes,Yes
7.77,116.0,26.0,6,434,115,Medium,25,17,Yes,Yes
12.57,138.0,108.0,17,203,128,Good,33,14,Yes,Yes
7.67,129.0,117.0,8,400,101,Bad,36,10,Yes,Yes
3.63,122.0,74.0,0,424,149,Medium,51,13,Yes,No
7.56,108.0,26.0,0,408,93,Medium,56,14,No,No
4.99,122.0,59.0,0,501,112,Bad,32,14,No,No
9.01,126.0,61.0,14,152,115,Medium,47,16,Yes,Yes
6.87,128.0,105.0,11,249,131,Medium,63,13,Yes,Yes
9.34,89.0,78.0,0,181,49,Medium,43,15,No,No
6.88,95.0,44.0,4,208,72,Bad,44,17,Yes,Yes
3.67,132.0,31.0,0,327,131,Medium,76,16,Yes,No
8.69,113.0,64.0,10,68,101,Medium,57,16,Yes,Yes
4.88,121.0,47.0,3,220,107,Bad,56,16,No,Yes
11.99,119.0,26.0,0,284,89,Good,26,10,Yes,No
6.44,96.0,94.0,14,384,120,Medium,36,18,No,Yes
11.82,113.0,66.0,16,322,74,Good,76,15,Yes,Yes
6.63,115.0,105.0,0,45,108,Medium,71,15,Yes,No
7.78,86.0,54.0,0,497,64,Bad,33,12,Yes,No
7.22,135.0,93.0,2,67,119,Medium,34,11,Yes,Yes
6.97,106.0,46.0,11,414,96,Bad,79,17,No,No
9.45,107.0,67.0,12,430,92,Medium,35,12,No,Yes
5.58,137.0,71.0,0,402,116,Medium,78,17,Yes,No
5.36,111.0,52.0,0,12,101,Medium,61,11,Yes,Yes
8.09,132.0,69.0,0,123,122,Medium,27,11,No,No
8.85,127.0,92.0,0,508,91,Medium,56,18,Yes,No
5.35,130.0,58.0,19,366,139,Bad,33,16,Yes,Yes
8.43,138.0,80.0,0,108,126,Good,70,13,No,Yes
3.07,118.0,83.0,13,276,104,Bad,75,10,Yes,Yes
7.53,117.0,118.0,11,429,113,Medium,67,18,No,Yes
11.27,153.0,68.0,2,60,133,Good,59,16,Yes,Yes
8.73,,76.0,16,58,121,Medium,69,12,Yes,Yes
11.93,123.0,98.0,12,408,134,Good,29,10,Yes,Yes
8.31,133.0,97.0,0,70,117,Medium,32,16,Yes,No
10.06,113.0,35.0,10,269,80,Medium,59,12,Yes,Yes
5.33,115.0,,0,491,103,Medium,64,11,No,No
5.3,113.0,22.0,0,57,97,Medium,65,16,No,No
9.32,141.0,34.0,16,361,108,Medium,69,10,Yes,Yes
4.74,137.0,60.0,4,230,140,Bad,25,13,Yes,No
3.13,130.0,62.0,11,396,130,Bad,66,14,Yes,Yes
6.81,132.0,61.0,0,263,125,Medium,41,12,No,No
7.6,146.0,26.0,11,261,131,Medium,39,10,Yes,Yes
4.12,123.0,42.0,11,16,134,Medium,59,13,Yes,Yes
9.08,152.0,81.0,0,191,126,Medium,54,16,Yes,No
8.89,122.0,76.0,0,270,100,Good,60,18,No,No
