X1,X2,X3,X4,X5,X6,X7,X8,Y1,Y2,Y11,Y22
0.74,686.00,245.00,220.50,3.50,4,0.00,0,6.01,10.94,H,H
0.74,686.00,245.00,220.50,3.50,5,0.00,0,6.04,11.17,H,H
0.74,686.00,245.00,220.50,3.50,3,0.00,0,6.05,11.19,H,H
0.74,686.00,245.00,220.50,3.50,2,0.00,0,6.07,10.90,H,H
0.71,710.50,269.50,220.50,3.50,4,0.00,0,6.37,11.29,H,H
0.71,710.50,269.50,220.50,3.50,2,0.00,0,6.37,11.27,H,H
0.71,710.50,269.50,220.50,3.50,3,0.00,0,6.40,11.72,H,H
0.71,710.50,269.50,220.50,3.50,5,0.00,0,6.40,11.67,H,H
0.69,735.00,294.00,220.50,3.50,4,0.00,0,6.77,11.73,H,H
0.69,735.00,294.00,220.50,3.50,3,0.00,0,6.79,12.05,H,H
0.69,735.00,294.00,220.50,3.50,5,0.00,0,6.81,11.93,H,H
0.69,735.00,294.00,220.50,3.50,2,0.00,0,6.85,11.74,H,H
0.66,759.50,318.50,220.50,3.50,3,0.00,0,7.10,12.23,H,H
0.66,759.50,318.50,220.50,3.50,4,0.00,0,7.10,12.40,H,H
0.66,759.50,318.50,220.50,3.50,5,0.00,0,7.10,12.14,H,H
0.66,759.50,318.50,220.50,3.50,2,0.00,0,7.18,12.40,H,H
0.62,808.50,367.50,220.50,3.50,4,0.00,0,8.45,12.08,H,H
0.62,808.50,367.50,220.50,3.50,3,0.00,0,8.49,12.22,H,H
0.62,808.50,367.50,220.50,3.50,5,0.00,0,8.50,12.04,H,H
0.62,808.50,367.50,220.50,3.50,2,0.00,0,8.60,12.07,H,H
0.74,686.00,245.00,220.50,3.50,4,0.10,4,10.07,13.21,H,H
0.74,686.00,245.00,220.50,3.50,2,0.10,4,10.08,13.20,H,H
0.74,686.00,245.00,220.50,3.50,5,0.10,4,10.14,13.53,H,H
0.74,686.00,245.00,220.50,3.50,3,0.10,4,10.15,13.36,H,H
0.74,686.00,245.00,220.50,3.50,4,0.10,2,10.32,13.57,H,H
