Date,Open,High,Low,Close,Volume,DataSplit
2014-09-30,2023.18,2029.17,2007.3,2020.09,322812,0
2014-10-01,2013.47,2013.47,1989.84,1991.54,351581,0
2014-10-02,1984.43,1985.06,1966.17,1976.16,322656,0
2014-10-06,1987.89,1988.39,1968.3,1968.39,325078,0
2014-10-07,1979.83,1982.96,1966.22,1972.91,328234,0
2014-10-08,1957.9,1974.27,1957.9,1965.25,266180,0
2014-10-10,1953.98,1953.98,1931.88,1940.92,342823,0
2014-10-13,1919.48,1932.37,1918.48,1927.21,308917,0
2014-10-14,1933.45,1940.21,1926.87,1929.25,335506,0
2014-10-15,1932.11,1938.85,1918.77,1925.91,310341,0
2014-10-16,1911.45,1922.94,1904.77,1918.83,313610,0
2014-10-17,1923.51,1923.51,1896.54,1900.66,362077,0
2014-10-20,1918.84,1933.12,1917.54,1930.06,344669,0
2014-10-21,1923.62,1923.62,1911.03,1915.28,405921,0
2014-10-22,1936.91,1936.99,1924.21,1936.97,399095,0
2014-10-23,1932.43,1944.45,1924.14,1931.65,372833,0
2014-10-24,1942.46,1942.72,1916.84,1925.69,419427,0
2014-10-27,1933.91,1939.25,1929.26,1931.97,408839,0
2014-10-28,1935.46,1936.28,1924.37,1925.68,414616,0
2014-10-29,1938.8,1961.49,1931.59,1961.17,396614,0
2014-10-30,1956.92,1959.49,1944.24,1958.93,311048,0
2014-10-31,1963.26,1967.08,1951.07,1964.43,349405,0
2014-11-03,1959.66,1961.04,1947.83,1952.97,344497,0
2014-11-04,1950.15,1956.73,1928.52,1935.19,391712,0
2014-11-05,1938.61,1944.5,1928.99,1931.43,332276,0
2014-11-06,1933.45,1939.32,1923.05,1936.48,360571,0
2014-11-07,1935.75,1943.26,1932.17,1939.87,255424,0
2014-11-10,1952.79,1965.35,1952.79,1958.23,313262,0
2014-11-11,1957.87,1965.41,1956.23,1963,311396,0
2014-11-12,1965.21,1974.69,1961.66,1967.27,348499,0
2014-11-13,1970.64,1973.33,1954.88,1960.51,332594,0
2014-11-14,1959.64,1959.64,1940.49,1945.14,314797,0
2014-11-17,1941.83,1948.33,1935.95,1943.63,277521,0
2014-11-18,1951.93,1967.01,1951.93,1967.01,251273,0
2014-11-19,1974.41,1974.41,1959.21,1966.87,279559,0
2014-11-20,1960.72,1962.69,1952.44,1958.04,339217,0
2014-11-21,1966.89,1969.43,1959.81,1964.84,345924,0
2014-11-24,1982.48,1985.18,1974.37,1978.54,325447,0
2014-11-25,1981.52,1981.85,1973.8,1980.21,283188,0
2014-11-26,1984.83,1985.43,1972.95,1980.84,253287,0
2014-11-27,1993.65,1994.82,1982.08,1982.09,295509,0
2014-11-28,1983.22,1984.73,1975.66,1980.78,340696,0
2014-12-01,1971.95,1971.97,1962.15,1965.22,333977,0
2014-12-02,1959.4,1965.83,1954.4,1965.83,317911,0
2014-12-03,1969.57,1973.96,1964.77,1969.91,271111,0
2014-12-04,1976.3,1988.56,1976.1,1986.61,244390,0
2014-12-05,1986.6,1989.17,1983.36,1986.62,305547,0
2014-12-08,1988.8,1990.04,1976.89,1978.95,295138,0
2014-12-09,1977.05,1977.15,1968.85,1970.95,541161,0
2014-12-10,1964.04,1966.11,1943.27,1945.56,367889,0
2014-12-11,1930.46,1937.23,1916.49,1916.59,343634,0
2014-12-12,1921.61,1926.67,1915,1921.71,363470,0
2014-12-15,1903.12,1920.43,1899.61,1920.36,294421,0
2014-12-16,1909.01,1919.6,1901.13,1904.13,369417,0
2014-12-17,1913.28,1913.28,1900.16,1900.16,307268,0
2014-12-18,1917.67,1919.24,1881.73,1897.5,337298,0
2014-12-19,1920.75,1930.08,1914.27,1929.98,291791,0
2014-12-22,1938.16,1944.2,1928.89,1943.12,324534,0
2014-12-23,1942.12,1944.75,1936.75,1939.02,300797,0
2014-12-24,1940.76,1947.35,1936.74,1946.61,283866,0
2014-12-26,1947.6,1954.77,1944.22,1948.16,297006,0
2014-12-29,1937.27,1941.33,1927.83,1927.86,265809,0
2014-12-30,1934.51,1937.55,1910.78,1915.59,256436,0
2015-01-02,1914.24,1929.15,1909.67,1926.44,258775,0
2015-01-05,1921.96,1921.96,1903.37,1915.75,313442,0
2015-01-06,1895.48,1900.02,1877.38,1882.45,303687,0
2015-01-07,1878.9,1887.6,1876.27,1883.83,280509,0
2015-01-08,1895.85,1907.23,1891.77,1904.65,262207,0
2015-01-09,1919.8,1929.1,1915.85,1924.7,308780,0
2015-01-12,1918.18,1924.66,1917.88,1920.95,311915,0
2015-01-13,1915.03,1920.77,1910.27,1917.14,338989,0
2015-01-14,1919.31,1925.68,1913.51,1913.66,297516,0
2015-01-15,1914.06,1919.69,1908.6,1914.14,266544,0
2015-01-16,1907.07,1907.07,1885.62,1888.13,298732,0
2015-01-19,1902.81,1912.42,1900.26,1902.62,281120,0
2015-01-20,1908.62,1918.85,1907.97,1918.31,280894,0
2015-01-21,1917.33,1921.88,1909.86,1921.23,300843,0
2015-01-22,1926.01,1932.5,1916.56,1920.82,343131,0
2015-01-23,1945.36,1945.36,1930.65,1936.09,367702,0
2015-01-26,1928.26,1936.4,1924.14,1935.68,330607,0
2015-01-27,1941.9,1952.41,1940.72,1952.4,466961,0
2015-01-28,1946.71,1963.53,1943.59,1961.58,400930,0
2015-01-29,1950.83,1960.12,1946.2,1951.02,391034,0
2015-01-30,1964.13,1964.13,1948.6,1949.26,441477,0
2015-02-02,1947.91,1956.1,1944.58,1952.68,364831,0
2015-02-03,1960.11,1960.35,1940.74,1951.96,369978,0
2015-02-04,1963.37,1970.27,1961.57,1962.79,348031,0
2015-02-05,1961.15,1962.15,1945.42,1952.84,395652,0
2015-02-06,1955.13,1955.52,1945.82,1955.52,309817,0
2015-02-09,1949.5,1952.86,1944.79,1947,310181,0
2015-02-10,1949.3,1954.2,1935.86,1935.86,329202,0
2015-02-11,1942.34,1948.89,1937.95,1945.7,307454,0
2015-02-12,1947.21,1947.47,1932.75,1941.63,334824,0
2015-02-13,1949.32,1957.5,1946.94,1957.5,351080,0
2015-02-16,1960.03,1963.44,1955.39,1958.23,350943,0
2015-02-17,1955.77,1962.97,1952.33,1961.45,304531,0
2015-02-23,1974.44,1976.96,1966.77,1968.39,347580,0
2015-02-24,1975.65,1980.38,1972.61,1976.12,309543,0
2015-02-25,1988.47,1992.03,1984.53,1990.47,369497,0
2015-02-26,1993.27,1993.43,1983.94,1993.08,385656,0
2015-02-27,1992.76,1993.34,1982.5,1985.8,424547,0
2015-03-02,1996.72,1999.13,1988.33,1996.81,373365,0
2015-03-03,2002.5,2003.05,1995.93,2001.38,444865,0
2015-03-04,2001.76,2003.85,1996.5,1998.29,374540,0
2015-03-05,1996.81,2002.48,1993.92,1998.38,373682,0
2015-03-06,2003.97,2013.73,2003.18,2012.94,393346,0
2015-03-09,2004.94,2005.81,1990.87,1992.82,296746,0
2015-03-10,2000.66,2003.19,1982.22,1984.77,433405,0
2015-03-11,1971.04,1984.6,1969.13,1980.83,399532,0
2015-03-12,1979.22,1988.77,1970.59,1970.59,384041,0
2015-03-13,1987.17,1991.87,1982.96,1985.79,326706,0
2015-03-16,1985.59,1991.79,1982.26,1987.33,319163,0
2015-03-17,1998.26,2029.91,1997.27,2029.91,356554,0
2015-03-18,2032.19,2036.13,2026.72,2028.45,362009,0
2015-03-19,2047.13,2047.13,2031.07,2037.89,468284,0
2015-03-20,2037.13,2040,2027.81,2037.24,351731,0
2015-03-23,2043.22,2043.92,2032.35,2036.59,314897,0
2015-03-24,2035.08,2041.77,2028.54,2041.37,328833,0
2015-03-25,2043.16,2046.97,2038.14,2042.81,423409,0
2015-03-26,2027.2,2036.7,2019.51,2022.56,342260,0
2015-03-27,2026.75,2027.25,2016.88,2019.8,448964,0
2015-03-30,2026.6,2033.27,2018.12,2030.04,439556,0
2015-03-31,2042.31,2046.9,2032.24,2041.03,555933,0
2015-04-01,2035.4,2039.04,2024.64,2028.45,542801,0
2015-04-02,2036.9,2040.45,2028.22,2029.07,655863,0
2015-04-03,2035.83,2045.94,2031.27,2045.42,498635,0
2015-04-06,2049.87,2055.45,2043.26,2046.43,460493,0
2015-04-07,2059.05,2059.09,2043.79,2047.03,436232,0
2015-04-08,2048.75,2060.19,2046.09,2059.26,552684,0
2015-04-09,2060.3,2064.46,2054.17,2058.87,529861,0
2015-04-10,2066.32,2089.09,2065.39,2087.76,658383,0
2015-04-13,2094.1,2099.97,2088.82,2098.92,561806,0
2015-04-14,2101.76,2111.73,2095.97,2111.72,648846,0
2015-04-15,2114.56,2122.72,2110.25,2119.96,451397,0
2015-04-16,2134.14,2139.9,2125.54,2139.9,476419,0
2015-04-17,2142.72,2144.76,2134.1,2143.5,464626,0
2015-04-20,2126.55,2146.73,2126.55,2146.71,509037,0
2015-04-21,2153.42,2153.84,2140.12,2144.79,561780,0
2015-04-22,2146.59,2161.23,2125.88,2143.89,769386,0
2015-04-23,2156.94,2174.72,2139.33,2173.41,521587,0
2015-04-24,2181.24,2189.54,2154.27,2159.8,508419,0
2015-04-27,2169.14,2169.14,2152.09,2157.54,392339,0
2015-04-28,2162.5,2164.52,2144.85,2147.67,415054,0
2015-04-29,2155.01,2156.24,2126.36,2142.63,458065,0
2015-04-30,2134.94,2136.9,2121.29,2127.17,509129,0
2015-05-04,2134.51,2139.3,2128.72,2132.23,355620,0
2015-05-06,2122.03,2123.22,2095.6,2104.58,428091,0
2015-05-07,2098.48,2099.44,2067.99,2091,423246,0
2015-05-08,2090.19,2094.06,2082.72,2085.52,309504,0
2015-05-11,2106.12,2110.79,2097.38,2097.38,329704,0
2015-05-12,2100.63,2101.72,2088.64,2096.77,391923,0
2015-05-13,2100.1,2115.36,2100.08,2114.16,377032,0
2015-05-14,2115.59,2121.68,2111.72,2120.33,430832,0
2015-05-15,2132.53,2134.36,2104.77,2106.5,491705,0
2015-05-18,2108.15,2113.72,2099.48,2113.72,445154,0
2015-05-19,2114.29,2126.89,2107.62,2120.85,418479,0
2015-05-20,2128.01,2140.24,2125.49,2139.54,452114,0
2015-05-21,2139.68,2140.6,2121.49,2122.81,398146,0
2015-05-22,2131.11,2146.1,2126.88,2146.1,444585,0
2015-05-26,2146.47,2148.7,2130.3,2143.5,381383,0
2015-05-27,2133.49,2134.95,2103.64,2107.5,439029,0
2015-05-28,2117.77,2123.52,2110.89,2110.89,416116,0
2015-05-29,2109.38,2123.39,2106.7,2114.8,456143,0
2015-06-01,2110.12,2110.88,2086,2102.37,426927,0
2015-06-02,2102.62,2107.17,2076.16,2078.64,520056,0
2015-06-03,2078.51,2087.95,2059.34,2063.16,541167,0
2015-06-04,2070.49,2082.6,2062.75,2072.86,400364,0
2015-06-05,2062.22,2075.02,2060.91,2068.1,394291,0
2015-06-08,2068.51,2068.51,2056.5,2065.19,393563,0
2015-06-09,2063.4,2073.75,2057.21,2064.03,421880,0
2015-06-10,2079.13,2080.03,2049.13,2051.32,427360,0
2015-06-11,2065.07,2065.07,2051.1,2056.61,457020,0
2015-06-12,2068.45,2074.78,2044.87,2052.17,388258,0
2015-06-15,2041.07,2049.68,2033.72,2042.32,313945,0
2015-06-16,2045.01,2045.77,2008.46,2028.72,381408,0
2015-06-17,2035.48,2037.12,2021.5,2034.86,354723,0
2015-06-18,2046.19,2052,2036.78,2041.88,390973,0
2015-06-19,2056.54,2057.71,2044.71,2046.96,400329,0
2015-06-22,2059.6,2068.07,2050.3,2055.16,266962,0
2015-06-23,2071.3,2086.09,2066.21,2081.2,329799,0
2015-06-24,2086.69,2087.68,2076.78,2085.53,400753,0
2015-06-25,2077.84,2088.16,2073.95,2085.06,575912,0
2015-06-26,2083.4,2097.01,2080.79,2090.26,492773,0
2015-06-29,2056.44,2068.85,2054.33,2060.49,503807,0
2015-06-30,2054.83,2075.02,2049.44,2074.2,392413,0
2015-07-01,2077.27,2100.34,2072.54,2097.89,471565,0
2015-07-02,2107.11,2110.81,2098.76,2107.33,565339,0
2015-07-03,2107.51,2109.68,2094.02,2104.41,419549,0
2015-07-06,2076.06,2089.86,2052.23,2053.93,474042,0
2015-07-07,2067.04,2067.93,2028.98,2040.29,502809,0
2015-07-08,2045.88,2046.33,2010.83,2016.21,453118,0
2015-07-09,2000.19,2027.81,1983.78,2027.81,408457,0
