DateTime,Count,Temperature,Humidity,WindSpeed,Visibility,Solar,Rainfall,Snowfall,Seasons,Holiday,FuncDay
2017-12-01 00:00:00,254,-5.2,37,2.2,2000,0.0,0.0,0.0,Winter,No Holiday,Yes
2017-12-01 01:00:00,204,-5.5,38,0.8,2000,0.0,0.0,0.0,Winter,No Holiday,Yes
2017-12-01 02:00:00,173,-6.0,39,1.0,2000,0.0,0.0,0.0,Winter,No Holiday,Yes
2017-12-01 03:00:00,107,-6.2,40,0.9,2000,0.0,0.0,0.0,Winter,No Holiday,Yes
2017-12-01 04:00:00,78,-6.0,36,2.3,2000,0.0,0.0,0.0,Winter,No Holiday,Yes
2017-12-01 05:00:00,100,-6.4,37,1.5,2000,0.0,0.0,0.0,Winter,No Holiday,Yes
2017-12-01 06:00:00,181,-6.6,35,1.3,2000,0.0,0.0,0.0,Winter,No Holiday,Yes
2017-12-01 07:00:00,460,-7.4,38,0.9,2000,0.0,0.0,0.0,Winter,No Holiday,Yes
2017-12-01 08:00:00,930,-7.6,37,1.1,2000,0.01,0.0,0.0,Winter,No Holiday,Yes
2017-12-01 09:00:00,490,-6.5,27,0.5,1928,0.23,0.0,0.0,Winter,No Holiday,Yes
2017-12-01 10:00:00,339,-3.5,24,1.2,1996,0.65,0.0,0.0,Winter,No Holiday,Yes
2017-12-01 11:00:00,360,-0.5,21,1.3,1936,0.94,0.0,0.0,Winter,No Holiday,Yes
2017-12-01 12:00:00,449,1.7,23,1.4,2000,1.11,0.0,0.0,Winter,No Holiday,Yes
2017-12-01 13:00:00,451,2.4,25,1.6,2000,1.16,0.0,0.0,Winter,No Holiday,Yes
2017-12-01 14:00:00,447,3.0,26,2.0,2000,1.01,0.0,0.0,Winter,No Holiday,Yes
2017-12-01 15:00:00,463,2.1,36,3.2,2000,0.54,0.0,0.0,Winter,No Holiday,Yes
2017-12-01 16:00:00,484,1.2,54,4.2,793,0.24,0.0,0.0,Winter,No Holiday,Yes
2017-12-01 17:00:00,555,0.8,58,1.6,2000,0.08,0.0,0.0,Winter,No Holiday,Yes
