Date,Count,Hour,Seasons,FunctionDay,R_S,Cnt_LagD7,Cnt_LagD14,Cnt_LagW2,Count_lag2,Temperature_lag2,Humidity_lag2,Wind_lag2,Visibility_lag2,DewPoint_lag2,Solar_lag2,Rainfall_lag2,Snowfall_lag2,ProperHumidity,Weekday,Workingday,RushHour,TempGroup
2017-12-01,254,0,Winter,Yes,,,,,,,,,,,,,,0,,1,0,
2017-12-01,204,1,Winter,Yes,,,,,,,,,,,,,,0,,1,0,
2017-12-01,173,2,Winter,Yes,0,,,,254,-5.2,37,2.2,2000,-17.6,0,0,0,1,4,1,0,Very Cold
2017-12-01,107,3,Winter,Yes,0,,,,204,-5.5,38,0.8,2000,-17.6,0,0,0,1,4,1,0,Very Cold
2017-12-01,78,4,Winter,Yes,0,,,,173,-6,39,1,2000,-17.7,0,0,0,1,4,1,0,Very Cold
2017-12-01,100,5,Winter,Yes,0,,,,107,-6.2,40,0.9,2000,-17.6,0,0,0,1,4,1,0,Very Cold
2017-12-01,181,6,Winter,Yes,0,,,,78,-6,36,2.3,2000,-18.6,0,0,0,1,4,1,0,Very Cold
2017-12-01,460,7,Winter,Yes,0,,,,100,-6.4,37,1.5,2000,-18.7,0,0,0,1,4,1,1,Very Cold
2017-12-01,930,8,Winter,Yes,0,,,,181,-6.6,35,1.3,2000,-19.5,0,0,0,1,4,1,1,Very Cold
2017-12-01,490,9,Winter,Yes,0,,,,460,-7.4,38,0.9,2000,-19.3,0,0,0,1,4,1,0,Very Cold
2017-12-01,339,10,Winter,Yes,0,,,,930,-7.6,37,1.1,2000,-19.8,0.01,0,0,1,4,1,0,Very Cold
2017-12-01,360,11,Winter,Yes,0,,,,490,-6.5,27,0.5,1928,-22.4,0.23,0,0,1,4,1,0,Very Cold
2017-12-01,449,12,Winter,Yes,0,,,,339,-3.5,24,1.2,1996,-21.2,0.65,0,0,1,4,1,0,Very Cold
2017-12-01,451,13,Winter,Yes,0,,,,360,-0.5,21,1.3,1936,-20.2,0.94,0,0,1,4,1,0,Very Cold
2017-12-01,447,14,Winter,Yes,0,,,,449,1.7,23,1.4,2000,-17.2,1.11,0,0,1,4,1,0,Cold
2017-12-01,463,15,Winter,Yes,0,,,,451,2.4,25,1.6,2000,-15.6,1.16,0,0,1,4,1,0,Cold
2017-12-01,484,16,Winter,Yes,0,,,,447,3,26,2,2000,-14.6,1.01,0,0,1,4,1,0,Cold
2017-12-01,555,17,Winter,Yes,0,,,,463,2.1,36,3.2,2000,-11.4,0.54,0,0,1,4,1,1,Cold
2017-12-01,862,18,Winter,Yes,0,,,,484,1.2,54,4.2,793,-7,0.24,0,0,0,4,1,1,Cold
2017-12-01,600,19,Winter,Yes,0,,,,555,0.8,58,1.6,2000,-6.5,0.08,0,0,0,4,1,1,Cold
2017-12-01,426,20,Winter,Yes,0,,,,862,0.6,66,1.4,2000,-5,0,0,0,0,4,1,0,Cold
2017-12-01,405,21,Winter,Yes,0,,,,600,0,77,1.7,2000,-3.5,0,0,0,0,4,1,0,Very Cold
2017-12-01,398,22,Winter,Yes,0,,,,426,-0.3,79,1.5,1913,-3.5,0,0,0,0,4,1,0,Very Cold
2017-12-01,323,23,Winter,Yes,0,,,,405,-0.8,81,0.8,1687,-3.6,0,0,0,0,4,1,0,Very Cold
2017-12-02,328,0,Winter,Yes,0,,,,398,-0.9,83,1.5,1380,-3.4,0,0,0,0,4,1,0,Very Cold
2017-12-02,308,1,Winter,Yes,0,,,,323,-1.3,84,1,1265,-3.6,0,0,0,0,4,1,0,Very Cold
2017-12-02,262,2,Winter,Yes,0,,,,328,-1.8,87,1.1,994,-3.6,0,0,0,0,5,0,0,Very Cold
2017-12-02,167,3,Winter,Yes,0,,,,308,-2.2,86,0.6,990,-4.2,0,0,0,0,5,0,0,Very Cold
2017-12-02,89,4,Winter,Yes,0,,,,262,-2.9,86,1.5,1256,-4.9,0,0,0,0,5,0,0,Very Cold
2017-12-02,79,5,Winter,Yes,0,,,,167,-3.5,81,2.2,1221,-6.2,0,0,0,0,5,0,0,Very Cold
2017-12-02,70,6,Winter,Yes,0,,,,89,-3.8,79,2,1167,-6.9,0,0,0,0,5,0,0,Very Cold
2017-12-02,146,7,Winter,Yes,0,,,,79,-4,79,1.5,1202,-7.1,0,0,0,0,5,0,0,Very Cold
2017-12-02,219,8,Winter,Yes,0,,,,70,-4.3,82,2.1,1178,-6.9,0,0,0,0,5,0,0,Very Cold
2017-12-02,328,9,Winter,Yes,0,,,,146,-4.4,81,2.5,1276,-7.1,0,0,0,0,5,0,0,Very Cold
