Rented Bike Count,Temperature,Humidity,Datetime
254,-5.2,37.0,2017-12-01 00:00:00
204,-5.5,38.0,2017-12-01 01:00:00
173,-6.0,39.0,2017-12-01 02:00:00
107,-6.2,40.0,2017-12-01 03:00:00
78,-6.0,36.0,2017-12-01 04:00:00
100,-6.4,37.0,2017-12-01 05:00:00
181,-6.6,35.0,2017-12-01 06:00:00
460,-7.4,38.0,2017-12-01 07:00:00
930,-7.6,37.0,2017-12-01 08:00:00
490,-6.5,27.0,2017-12-01 09:00:00
339,-3.5,24.0,2017-12-01 10:00:00
360,-0.5,21.0,2017-12-01 11:00:00
449,1.7,23.0,2017-12-01 12:00:00
451,2.4,25.0,2017-12-01 13:00:00
447,3.0,26.0,2017-12-01 14:00:00
463,2.1,36.0,2017-12-01 15:00:00
484,1.2,54.0,2017-12-01 16:00:00
555,0.8,58.0,2017-12-01 17:00:00
862,0.6,66.0,2017-12-01 18:00:00
600,0.0,77.0,2017-12-01 19:00:00
426,-0.3,79.0,2017-12-01 20:00:00
405,-0.8,81.0,2017-12-01 21:00:00
398,-0.9,83.0,2017-12-01 22:00:00
323,-1.3,84.0,2017-12-01 23:00:00
328,-1.8,87.0,2017-12-02 00:00:00
308,-2.2,86.0,2017-12-02 01:00:00
262,-2.9,86.0,2017-12-02 02:00:00
167,-3.5,81.0,2017-12-02 03:00:00
89,-3.8,79.0,2017-12-02 04:00:00
79,-4.0,79.0,2017-12-02 05:00:00
70,-4.3,82.0,2017-12-02 06:00:00
146,-4.4,81.0,2017-12-02 07:00:00
219,-4.2,79.0,2017-12-02 08:00:00
328,-2.9,68.0,2017-12-02 09:00:00
334,-0.4,57.0,2017-12-02 10:00:00
388,1.9,49.0,2017-12-02 11:00:00
479,4.3,41.0,2017-12-02 12:00:00
606,6.0,36.0,2017-12-02 13:00:00
611,7.3,35.0,2017-12-02 14:00:00
589,7.6,41.0,2017-12-02 15:00:00
618,6.4,48.0,2017-12-02 16:00:00
572,6.0,51.0,2017-12-02 17:00:00
489,5.5,53.0,2017-12-02 18:00:00
385,5.0,52.0,2017-12-02 19:00:00
359,4.6,51.0,2017-12-02 20:00:00
377,4.1,55.0,2017-12-02 21:00:00
354,3.5,54.0,2017-12-02 22:00:00
366,4.0,56.0,2017-12-02 23:00:00
342,4.0,58.0,2017-12-03 00:00:00
227,3.9,69.0,2017-12-03 01:00:00
228,3.3,79.0,2017-12-03 02:00:00
117,3.4,71.0,2017-12-03 03:00:00
76,3.5,73.0,2017-12-03 04:00:00
32,3.9,75.0,2017-12-03 05:00:00
13,3.4,86.0,2017-12-03 06:00:00
22,3.1,91.0,2017-12-03 07:00:00
