Date,Count,Hour,Seasons,FunctionDay,Count_lag2,Temperature_lag2,Humidity_lag2,Wind_lag2,Visibility_lag2,Solar_lag2,Rainfall_lag2,Snowfall_lag2,ProperHumidity,Workingday,RushHour
2017-12-01,173,2,Winter,Yes,254,-5.2,37,2.2,2000,0,0,0,1,1,0
2017-12-01,107,3,Winter,Yes,204,-5.5,38,0.8,2000,0,0,0,1,1,0
2017-12-01,78,4,Winter,Yes,173,-6,39,1,2000,0,0,0,1,1,0
2017-12-01,100,5,Winter,Yes,107,-6.2,40,0.9,2000,0,0,0,1,1,0
2017-12-01,181,6,Winter,Yes,78,-6,36,2.3,2000,0,0,0,1,1,0
2017-12-01,460,7,Winter,Yes,100,-6.4,37,1.5,2000,0,0,0,1,1,1
2017-12-01,930,8,Winter,Yes,181,-6.6,35,1.3,2000,0,0,0,1,1,1
2017-12-01,490,9,Winter,Yes,460,-7.4,38,0.9,2000,0,0,0,1,1,0
2017-12-01,339,10,Winter,Yes,930,-7.6,37,1.1,2000,0.01,0,0,1,1,0
2017-12-01,360,11,Winter,Yes,490,-6.5,27,0.5,1928,0.23,0,0,1,1,0
2017-12-01,449,12,Winter,Yes,339,-3.5,24,1.2,1996,0.65,0,0,1,1,0
2017-12-01,451,13,Winter,Yes,360,-0.5,21,1.3,1936,0.94,0,0,1,1,0
2017-12-01,447,14,Winter,Yes,449,1.7,23,1.4,2000,1.11,0,0,1,1,0
2017-12-01,463,15,Winter,Yes,451,2.4,25,1.6,2000,1.16,0,0,1,1,0
2017-12-01,484,16,Winter,Yes,447,3,26,2,2000,1.01,0,0,1,1,0
2017-12-01,555,17,Winter,Yes,463,2.1,36,3.2,2000,0.54,0,0,1,1,1
2017-12-01,862,18,Winter,Yes,484,1.2,54,4.2,793,0.24,0,0,0,1,1
2017-12-01,600,19,Winter,Yes,555,0.8,58,1.6,2000,0.08,0,0,0,1,1
2017-12-01,426,20,Winter,Yes,862,0.6,66,1.4,2000,0,0,0,0,1,0
2017-12-01,405,21,Winter,Yes,600,0,77,1.7,2000,0,0,0,0,1,0
2017-12-01,398,22,Winter,Yes,426,-0.3,79,1.5,1913,0,0,0,0,1,0
2017-12-01,323,23,Winter,Yes,405,-0.8,81,0.8,1687,0,0,0,0,1,0
2017-12-02,328,0,Winter,Yes,398,-0.9,83,1.5,1380,0,0,0,0,1,0
2017-12-02,308,1,Winter,Yes,323,-1.3,84,1,1265,0,0,0,0,1,0
2017-12-02,262,2,Winter,Yes,328,-1.8,87,1.1,994,0,0,0,0,0,0
2017-12-02,167,3,Winter,Yes,308,-2.2,86,0.6,990,0,0,0,0,0,0
2017-12-02,89,4,Winter,Yes,262,-2.9,86,1.5,1256,0,0,0,0,0,0
2017-12-02,79,5,Winter,Yes,167,-3.5,81,2.2,1221,0,0,0,0,0,0
2017-12-02,70,6,Winter,Yes,89,-3.8,79,2,1167,0,0,0,0,0,0
2017-12-02,146,7,Winter,Yes,79,-4,79,1.5,1202,0,0,0,0,0,0
2017-12-02,219,8,Winter,Yes,70,-4.3,82,2.1,1178,0,0,0,0,0,0
2017-12-02,328,9,Winter,Yes,146,-4.4,81,2.5,1276,0,0,0,0,0,0
2017-12-02,334,10,Winter,Yes,219,-4.2,79,2.1,1436,0.01,0,0,0,0,0
2017-12-02,388,11,Winter,Yes,328,-2.9,68,1.6,1487,0.3,0,0,0,0,0
2017-12-02,479,12,Winter,Yes,334,-0.4,57,1.6,1309,0.8,0,0,0,0,0
2017-12-02,606,13,Winter,Yes,388,1.9,49,1.8,1406,1,0,0,0,0,0
2017-12-02,611,14,Winter,Yes,479,4.3,41,1.3,1666,1.09,0,0,0,0,0
2017-12-02,589,15,Winter,Yes,606,6,36,1.8,1780,1.12,0,0,1,0,0
2017-12-02,618,16,Winter,Yes,611,7.3,35,1.3,1955,0.99,0,0,1,0,0
2017-12-02,572,17,Winter,Yes,589,7.6,41,2.3,1953,0.74,0,0,0,0,0
2017-12-02,489,18,Winter,Yes,618,6.4,48,2.6,1945,0.22,0,0,0,0,0
2017-12-02,385,19,Winter,Yes,572,6,51,2.5,1891,0.06,0,0,0,0,0
2017-12-02,359,20,Winter,Yes,489,5.5,53,1.5,1697,0,0,0,0,0,0
2017-12-02,377,21,Winter,Yes,385,5,52,2.3,1666,0,0,0,0,0,0
2017-12-02,354,22,Winter,Yes,359,4.6,51,1.2,1585,0,0,0,0,0,0
2017-12-02,366,23,Winter,Yes,377,4.1,55,1.2,1448,0,0,0,0,0,0
2017-12-03,342,0,Winter,Yes,354,3.5,54,1.5,1446,0,0,0,0,0,0
2017-12-03,227,1,Winter,Yes,366,4,56,1,1352,0,0,0,0,0,0
2017-12-03,228,2,Winter,Yes,342,4,58,1.4,1296,0,0,0,0,0,0
2017-12-03,117,3,Winter,Yes,227,3.9,69,1.7,485,0,0,0,0,0,0
2017-12-03,76,4,Winter,Yes,228,3.3,79,1.4,830,0,0,0,0,0,0
2017-12-03,32,5,Winter,Yes,117,3.4,71,1.6,1011,0,0.5,0,0,0,0
2017-12-03,13,6,Winter,Yes,76,3.5,73,1,1060,0,0,0,0,0,0
2017-12-03,22,7,Winter,Yes,32,3.9,75,1.9,914,0,0,0,0,0,0
2017-12-03,85,8,Winter,Yes,13,3.4,86,2.5,278,0,1,0,0,0,0
2017-12-03,152,9,Winter,Yes,22,3.1,91,1.2,129,0,0,0,0,0,0
2017-12-03,200,10,Winter,Yes,85,3.2,92,1.8,244,0,0,0,0,0,0
2017-12-03,273,11,Winter,Yes,152,3.5,91,1.8,231,0.02,2.5,0,0,0,0
2017-12-03,333,12,Winter,Yes,200,4.4,89,2.2,257,0.24,0,0,0,0,0
2017-12-03,495,13,Winter,Yes,273,5.1,87,1.4,321,0.25,0,0,0,0,0
2017-12-03,563,14,Winter,Yes,333,5.8,85,1.7,349,0.43,0,0,0,0,0
2017-12-03,621,15,Winter,Yes,495,6.8,81,1.9,390,0.6,0,0,0,0,0
2017-12-03,598,16,Winter,Yes,563,7.6,76,1.2,422,0.69,0,0,0,0,0
2017-12-03,545,17,Winter,Yes,621,8,73,1.6,433,0.53,0,0,0,0,0
2017-12-03,443,18,Winter,Yes,598,7.6,77,1.6,399,0.2,0,0,0,0,0
2017-12-03,422,19,Winter,Yes,545,6.7,82,1.5,358,0.05,0,0,0,0,0
2017-12-03,397,20,Winter,Yes,443,6,84,1.9,327,0,0,0,0,0,0
2017-12-03,385,21,Winter,Yes,422,5.7,85,1.7,309,0,0,0,0,0,0
2017-12-03,350,22,Winter,Yes,397,5.2,87,1.4,253,0,0,0,0,0,0
2017-12-03,303,23,Winter,Yes,385,4.7,87,1.2,247,0,0,0,0,0,0
2017-12-04,285,0,Winter,Yes,350,4.3,89,1.8,201,0,0,0,0,0,0
2017-12-04,186,1,Winter,Yes,303,3.9,90,1.3,194,0,0,0,0,0,0
2017-12-04,112,2,Winter,Yes,285,4.2,88,0.6,216,0,0,0,0,1,0
2017-12-04,65,3,Winter,Yes,186,4.3,87,0.5,221,0,0,0,0,1,0
2017-12-04,41,4,Winter,Yes,112,4.4,87,1.8,207,0,0,0,0,1,0
2017-12-04,82,5,Winter,Yes,65,3.6,85,2.3,206,0,0,0,0,1,0
2017-12-04,200,6,Winter,Yes,41,2.8,89,1.5,130,0,0,0,0,1,0
2017-12-04,498,7,Winter,Yes,82,2,83,2.7,253,0,0,0,0,1,1
2017-12-04,937,8,Winter,Yes,200,1.2,76,3.7,371,0,0.1,0,0,1,1
2017-12-04,509,9,Winter,Yes,498,0.2,68,3.4,702,0,0,0,0,1,0
2017-12-04,311,10,Winter,Yes,937,-0.8,69,3.5,954,0.01,0,0,0,1,0
2017-12-04,379,11,Winter,Yes,509,-1.5,47,4.2,1888,0.22,0,0,0,1,0
2017-12-04,393,12,Winter,Yes,311,-1.1,40,4.5,2000,0.64,0,0,1,1,0
2017-12-04,391,13,Winter,Yes,379,-0.5,41,4.1,1799,0.94,0,0,0,1,0
2017-12-04,338,14,Winter,Yes,393,-0.3,38,4.8,1823,1.11,0,0,1,1,0
