date,close,open,high,low,diff
2019년 12월 31일,"1,155.07","1,157.97","1,159.19","1,153.14",(0.0025)
2019년 12월 30일,"1,157.97","1,160.97","1,161.30","1,154.89",(0.0015)
2019년 12월 27일,"1,159.68","1,162.15","1,162.83","1,158.12",(0.0023)
2019년 12월 26일,"1,162.30","1,161.04","1,163.42","1,160.34",0.0013 
2019년 12월 25일,"1,160.76","1,163.52","1,164.09","1,160.68",(0.0024)
2019년 12월 24일,"1,163.52","1,164.04","1,166.61","1,160.71",(0.0004)
2019년 12월 23일,"1,164.04","1,159.39","1,165.20","1,159.38",0.0040 
2019년 12월 20일,"1,159.40","1,163.23","1,166.05","1,157.87",(0.0033)
2019년 12월 19일,"1,163.27","1,167.62","1,168.24","1,163.03",(0.0029)
2019년 12월 18일,"1,166.66","1,163.24","1,168.89","1,161.99",0.0022 
2019년 12월 17일,"1,164.15","1,168.48","1,170.80","1,162.60",(0.0037)
2019년 12월 16일,"1,168.48","1,176.90","1,177.90","1,167.98",(0.0066)
2019년 12월 13일,"1,176.21","1,172.81","1,178.74","1,168.44",0.0028 
2019년 12월 12일,"1,172.89","1,189.61","1,192.70","1,170.73",(0.0141)
2019년 12월 11일,"1,189.61","1,190.49","1,196.14","1,189.61",(0.0007)
2019년 12월 10일,"1,190.49","1,191.43","1,194.86","1,189.60",(0.0001)
2019년 12월 09일,"1,190.55","1,186.31","1,193.21","1,186.01",0.0037 
2019년 12월 06일,"1,186.21","1,188.62","1,192.74","1,185.63",(0.0023)
2019년 12월 05일,"1,188.92","1,192.18","1,193.65","1,187.95",(0.0020)
2019년 12월 04일,"1,191.32","1,188.94","1,195.88","1,187.80",0.0011 
2019년 12월 03일,"1,190.06","1,185.48","1,193.99","1,184.40",0.0036 
2019년 12월 02일,"1,185.78","1,181.96","1,187.61","1,178.35",0.0035 
2019년 11월 29일,"1,181.70","1,179.13","1,183.16","1,177.91",0.0024 
2019년 11월 28일,"1,178.82","1,176.71","1,181.10","1,175.98",0.0016 
2019년 11월 27일,"1,176.97","1,173.42","1,179.19","1,172.63",0.0031 
2019년 11월 26일,"1,173.32","1,173.80","1,179.21","1,170.70",(0.0005)
2019년 11월 25일,"1,173.90","1,180.75","1,180.77","1,173.10",(0.0054)
2019년 11월 22일,"1,180.33","1,177.65","1,181.42","1,175.52",0.0029 
2019년 11월 21일,"1,176.86","1,170.23","1,179.31","1,169.56",0.0052 
2019년 11월 20일,"1,170.82","1,168.35","1,172.71","1,167.73",0.0021 
2019년 11월 19일,"1,168.35","1,167.23","1,171.23","1,165.83",0.0010 
2019년 11월 18일,"1,167.23","1,163.90","1,168.56","1,162.93",0.0031 
2019년 11월 15일,"1,163.65","1,169.08","1,170.31","1,163.41",(0.0046)
2019년 11월 14일,"1,169.08","1,172.39","1,173.17","1,168.62",(0.0021)
2019년 11월 13일,"1,171.51","1,165.95","1,173.91","1,164.71",0.0043 
2019년 11월 12일,"1,166.53","1,165.46","1,167.34","1,160.68",0.0009 
2019년 11월 11일,"1,165.45","1,159.25","1,167.68","1,158.45",0.0058 
2019년 11월 08일,"1,158.76","1,154.47","1,159.37","1,153.74",0.0030 
2019년 11월 07일,"1,155.31","1,161.43","1,163.60","1,153.11",(0.0054)
2019년 11월 06일,"1,161.58","1,156.99","1,162.98","1,155.99",0.0041 
2019년 11월 05일,"1,156.82","1,163.86","1,163.94","1,154.35",(0.0053)
2019년 11월 04일,"1,162.95","1,164.53","1,164.53","1,157.51",(0.0016)
2019년 11월 01일,"1,164.80","1,169.37","1,171.13","1,163.49",(0.0046)
2019년 10월 31일,"1,170.24","1,165.41","1,171.72","1,159.80",0.0041 
2019년 10월 30일,"1,165.41","1,168.39","1,171.00","1,164.91",(0.0018)
2019년 10월 29일,"1,167.55","1,167.78","1,169.74","1,162.47",(0.0009)
2019년 10월 28일,"1,168.61","1,172.10","1,172.20","1,168.01",(0.0027)
2019년 10월 25일,"1,171.82","1,175.28","1,175.96","1,170.91",(0.0029)
2019년 10월 24일,"1,175.21","1,169.77","1,175.21","1,166.99",0.0039 
2019년 10월 23일,"1,170.67","1,173.07","1,177.30","1,170.48",(0.0021)
2019년 10월 22일,"1,173.09","1,173.33","1,175.00","1,169.87",0.0005 
2019년 10월 21일,"1,172.49","1,178.65","1,180.56","1,168.83",(0.0054)
2019년 10월 18일,"1,178.91","1,179.07","1,183.19","1,178.62",(0.0001)
2019년 10월 17일,"1,179.07","1,185.98","1,188.07","1,175.15",(0.0063)
2019년 10월 16일,"1,186.51","1,185.79","1,191.32","1,184.30",0.0014 
2019년 10월 15일,"1,184.88","1,183.79","1,186.83","1,181.88",0.0002 
2019년 10월 14일,"1,184.70","1,183.40","1,187.23","1,180.80",0.0010 
2019년 10월 11일,"1,183.48","1,190.74","1,193.10","1,178.29",(0.0059)
2019년 10월 10일,"1,190.46","1,198.50","1,202.08","1,189.45",(0.0067)
2019년 10월 09일,"1,198.50","1,200.02","1,200.40","1,196.80",(0.0013)
2019년 10월 08일,"1,200.02","1,197.33","1,200.31","1,192.51",0.0022 
2019년 10월 07일,"1,197.33","1,192.30","1,198.92","1,192.30",0.0043 
2019년 10월 04일,"1,192.25","1,201.89","1,203.58","1,191.85",(0.0080)
2019년 10월 03일,"1,201.89","1,205.37","1,206.99","1,201.45",(0.0029)
2019년 10월 02일,"1,205.37","1,203.37","1,207.89","1,201.50",0.0017 
2019년 10월 01일,"1,203.37","1,199.09","1,204.61","1,196.62",0.0036 
2019년 09월 30일,"1,199.09","1,203.18","1,204.30","1,195.90",(0.0032)
2019년 09월 27일,"1,202.99","1,201.23","1,204.02","1,197.20",0.0021 
2019년 09월 26일,"1,200.46","1,199.82","1,203.29","1,197.99",0.0005 
2019년 09월 25일,"1,199.82","1,195.53","1,202.67","1,194.50",0.0036 
2019년 09월 24일,"1,195.53","1,195.04","1,199.06","1,192.75",0.0004 
2019년 09월 23일,"1,195.04","1,194.14","1,199.39","1,191.00",0.0008 
2019년 09월 20일,"1,194.13","1,195.35","1,196.30","1,187.40",(0.0010)
2019년 09월 19일,"1,195.35","1,191.78","1,198.00","1,190.50",0.0030 
2019년 09월 18일,"1,191.73","1,187.62","1,195.07","1,187.04",0.0035 
2019년 09월 17일,"1,187.62","1,185.02","1,191.70","1,183.79",0.0022 
2019년 09월 16일,"1,185.02","1,181.80","1,186.60","1,181.80",0.0045 
2019년 09월 13일,"1,179.72","1,182.44","1,184.72","1,175.75",(0.0023)
2019년 09월 12일,"1,182.44","1,190.68","1,191.61","1,177.90",(0.0069)
