date,close,open,high,low,volume_k,diff
2019-12-30,61.68,61.71,62.34,61.09,427.15,-0.0006
2019-12-27,61.72,61.73,61.97,61.24,351.9,0.0006
2019-12-26,61.68,61.2,61.83,61.06,265.09,0.008
2019-12-25,61.19,61.45,61.52,61.17,0,0.0013
2019-12-24,61.11,60.63,61.16,60.47,204.54,0.0097
2019-12-23,60.52,60.41,60.77,60.1,314.71,0.0013
2019-12-20,60.44,61.11,61.2,60.02,552.52,-0.0127
2019-12-19,61.22,60.86,61.47,60.79,35.46,0.0048
2019-12-18,60.93,60.55,61.18,60.32,131.07,-0.0002
2019-12-17,60.94,60.23,61.06,60.03,163.74,0.0121
2019-12-16,60.21,59.87,60.34,59.71,347.4,0.0023
2019-12-13,60.07,59.36,60.48,59.27,512.29,0.015
2019-12-12,59.18,58.88,59.72,58.75,530.85,0.0071
2019-12-11,58.76,59.06,59.22,58.11,589.65,-0.0081
2019-12-10,59.24,58.92,59.52,58.52,566.82,0.0037
2019-12-09,59.02,59.11,59.25,58.23,511.56,-0.003
2019-12-06,59.2,58.32,59.85,57.7,679.61,0.0132
2019-12-05,58.43,58.36,59.12,58.1,649.46,0
2019-12-04,58.43,56.43,58.66,56.28,760.54,0.0415
2019-12-03,56.1,55.96,56.8,55.35,560.55,0.0025
2019-12-02,55.96,55.47,56.67,55.42,616.42,0.0143
2019-11-29,55.17,58.13,58.3,55.02,718.72,-0.0501
2019-11-28,58.08,57.97,58.29,57.64,0,-0.0005
2019-11-27,58.11,58.27,58.68,57.51,454.26,-0.0051
2019-11-26,58.41,57.92,58.56,57.76,443.82,0.0069
2019-11-25,58.01,57.92,58.15,57.21,420.64,0.0042
2019-11-22,57.77,58.31,58.74,57.5,508.24,-0.0138
2019-11-21,58.58,57,58.67,56.6,593.53,0.0257
2019-11-20,57.11,55.16,57.25,54.76,31.92,0.0344
2019-11-19,55.21,56.9,57.11,55.04,121.21,-0.0323
2019-11-18,57.05,57.88,58.09,56.55,159.33,-0.0116
2019-11-15,57.72,56.91,57.97,56.43,375.99,0.0167
2019-11-14,56.77,57.39,57.79,56.63,516.83,-0.0061
2019-11-13,57.12,56.79,57.53,56.2,547.64,0.0056
2019-11-12,56.8,56.89,57.55,56.54,586.57,-0.0011
2019-11-11,56.86,57.4,57.4,56.25,498.98,-0.0066
2019-11-08,57.24,57.08,57.48,55.76,636.94,0.0016
2019-11-07,57.15,56.35,57.88,56.27,678.17,0.0142
2019-11-06,56.35,57.26,57.85,56.11,623.26,-0.0154
2019-11-05,57.23,56.56,57.5,56.3,435.32,0.0122
2019-11-04,56.54,56.41,57.43,55.83,580.35,0.006
2019-11-01,56.2,54.15,56.33,54.07,538.12,0.0373
2019-10-31,54.18,54.9,55.59,53.71,677.42,-0.016
2019-10-30,55.06,55.53,55.73,54.42,659.33,-0.0086
2019-10-29,55.54,55.8,55.91,54.61,521.46,-0.0048
2019-10-28,55.81,56.65,56.92,55.58,437.02,-0.015
2019-10-25,56.66,56.07,56.74,55.6,445.02,0.0076
2019-10-24,56.23,55.9,56.51,55.41,480.76,0.0046
2019-10-23,55.97,54.3,56.07,53.62,620.2,0.0334
2019-10-22,54.16,53.39,54.62,53.1,33.92,0.0159
2019-10-21,53.31,53.71,54.03,52.71,95.98,-0.0087
2019-10-18,53.78,54.09,54.62,53.35,174.48,-0.0028
2019-10-17,53.93,52.99,54.16,52.62,418.42,0.0107
2019-10-16,53.36,52.92,53.74,52.51,451.64,0.0104
2019-10-15,52.81,53.51,53.79,52.39,511.25,-0.0146
2019-10-14,53.59,54.9,54.9,52.77,467.64,-0.0203
2019-10-11,54.7,53.88,54.93,53.64,741.7,0.0215
2019-10-10,53.55,52.69,53.97,51.38,613.94,0.0183
2019-10-09,52.59,52.57,53.74,52.31,632.67,-0.0008
2019-10-08,52.63,52.81,53.27,51.81,658.32,-0.0023
2019-10-07,52.75,52.69,54.06,52.59,549.02,-0.0011
2019-10-04,52.81,52.29,53.35,52.04,541.1,0.0069
2019-10-03,52.45,52.47,52.91,50.99,642.47,-0.0036
2019-10-02,52.64,54,54.42,52.17,590.31,-0.0183
2019-10-01,53.62,54.28,54.84,53.05,589.18,-0.0083
2019-09-30,54.07,56.54,56.57,53.98,532.52,-0.0329
2019-09-27,55.91,56.51,56.76,54.75,712.97,-0.0089
2019-09-26,56.41,56.69,56.84,55.41,599.65,-0.0014
2019-09-25,56.49,56.7,57.02,55.55,563.55,-0.014
2019-09-24,57.29,58.44,58.49,56.69,591.53,-0.023
2019-09-23,58.64,59.25,59.39,57.37,526.79,0.0095
2019-09-20,58.09,58.65,59.1,57.79,37.98,-0.0007
2019-09-19,58.13,58.2,59.54,58.01,112.33,0.0003
2019-09-18,58.11,58.81,59.43,57.67,216.96,-0.0207
2019-09-17,59.34,61.96,62.59,58.46,993.24,-0.0566
2019-09-16,62.9,61.48,63.38,58.77,1.40M,0.1468
2019-09-13,54.85,55.15,55.68,54.44,599.47,-0.0044
2019-09-12,55.09,55.93,56.34,54,845.98,-0.0118
2019-09-11,55.75,57.89,58.3,55.61,858.77,-0.0287
2019-09-10,57.4,58.03,58.76,57.2,755.47,-0.0078
2019-09-09,57.85,56.8,58.16,56.58,646.99,0.0235
2019-09-06,56.52,56.19,56.95,54.83,714.29,0.0039
2019-09-05,56.3,55.95,57.76,55.75,712.47,0.0007
2019-09-04,56.26,53.92,56.58,53.84,682.3,0.043
2019-09-03,53.94,55,55.24,52.84,970.8,-0.0132
2019-09-02,54.66,54.81,55.22,54.36,0,-0.0026
2019-09-01,54.8,55,55,54.56,0,-0.0054
2019-08-30,55.1,56.63,56.72,54.55,708.27,-0.0284
2019-08-29,56.71,55.88,56.89,55.43,630.76,0.0167
2019-08-28,55.78,55.71,56.75,55.34,674.05,0.0155
2019-08-27,54.93,53.76,55.72,53.69,596.62,0.024
2019-08-26,53.64,53.25,55.26,52.96,679.02,-0.0098
2019-08-23,54.17,55.35,55.6,53.24,807.15,-0.0213
