"Ozone","Solar.R","Wind","Temp","Month","Weekday","WorkingDay","ozone_ma7","Solar.R_scale1"
41,190,7.4,67,"5","화요일","1",67,0.559633027522936
36,118,8,72,"5","수요일","1",69.5,0.339449541284404
12,149,12.6,74,"5","목요일","1",71,0.434250764525994
18,313,11.5,62,"5","금요일","1",68.75,0.935779816513762
NA,299,14.3,56,"5","토요일","0",66.2,0.892966360856269
28,299,14.9,66,"5","일요일","0",66.1666666666667,0.892966360856269
23,299,8.6,65,"5","월요일","1",66,0.892966360856269
19,99,13.8,59,"5","화요일","1",64.8571428571429,0.281345565749235
8,19,20.1,61,"5","수요일","1",63.2857142857143,0.036697247706422
NA,194,8.6,69,"5","목요일","1",62.5714285714286,0.571865443425077
7,256,6.9,74,"5","금요일","1",64.2857142857143,0.761467889908257
16,256,9.7,69,"5","토요일","0",66.1428571428571,0.761467889908257
11,290,9.2,66,"5","일요일","0",66.1428571428571,0.865443425076453
14,274,10.9,68,"5","월요일","1",66.5714285714286,0.81651376146789
18,65,13.2,58,"5","화요일","1",66.4285714285714,0.17737003058104
14,334,11.5,64,"5","수요일","1",66.8571428571429,1
34,307,12,66,"5","목요일","1",66.4285714285714,0.917431192660551
6,78,18.4,57,"5","금요일","1",64,0.217125382262997
30,322,11.5,68,"5","토요일","0",63.8571428571429,0.963302752293578
11,44,9.7,62,"5","일요일","0",63.2857142857143,0.113149847094801
1,8,9.7,59,"5","월요일","1",62,0.00305810397553517
11,320,16.6,73,"5","화요일","1",64.1428571428571,0.957186544342508
4,25,9.7,61,"5","수요일","1",63.7142857142857,0.055045871559633
32,92,12,61,"5","목요일","1",63,0.259938837920489
NA,66,16.6,57,"5","금요일","1",63,0.180428134556575
NA,266,14.9,58,"5","토요일","0",61.5714285714286,0.792048929663609
NA,13,8,57,"5","일요일","0",60.8571428571429,0.018348623853211
23,13,12,67,"5","월요일","1",62,0.018348623853211
45,252,14.9,81,"5","화요일","1",63.1428571428571,0.749235474006116
115,223,5.7,79,"5","수요일","1",65.7142857142857,0.660550458715596
37,279,7.4,76,"5","목요일","1",67.8571428571429,0.831804281345566
NA,286,8.6,78,"6","금요일","1",70.8571428571429,0.853211009174312
NA,287,9.7,74,"6","토요일","0",73.1428571428571,0.856269113149847
NA,242,16.1,67,"6","일요일","0",74.5714285714286,0.718654434250764
NA,186,9.2,84,"6","월요일","1",77,0.547400611620795
NA,220,8.6,85,"6","화요일","1",77.5714285714286,0.651376146788991
NA,264,14.3,79,"6","수요일","1",77.5714285714286,0.785932721712538
29,127,9.7,82,"6","목요일","1",78.4285714285714,0.36697247706422
NA,273,6.9,87,"6","금요일","1",79.7142857142857,0.813455657492355
71,291,13.8,90,"6","토요일","0",82,0.868501529051988
39,323,11.5,87,"6","일요일","0",84.8571428571429,0.966360856269113
NA,259,10.9,93,"6","월요일","1",86.1428571428571,0.770642201834862
NA,250,9.2,92,"6","화요일","1",87.1428571428571,0.743119266055046
23,148,8,82,"6","수요일","1",87.5714285714286,0.431192660550459
NA,332,13.8,80,"6","목요일","1",87.2857142857143,0.99388379204893
NA,322,11.5,79,"6","금요일","1",86.1428571428571,0.963302752293578
21,191,14.9,77,"6","토요일","0",84.2857142857143,0.562691131498471
37,284,20.7,72,"6","일요일","0",82.1428571428571,0.847094801223242
20,37,9.2,65,"6","월요일","1",78.1428571428571,0.0917431192660551
12,120,11.5,73,"6","화요일","1",75.4285714285714,0.345565749235474
13,137,10.3,76,"6","수요일","1",74.5714285714286,0.397553516819572
NA,150,6.3,77,"6","목요일","1",74.1428571428571,0.437308868501529
NA,59,1.7,76,"6","금요일","1",73.7142857142857,0.159021406727829
NA,91,4.6,76,"6","토요일","0",73.5714285714286,0.256880733944954
NA,250,6.3,76,"6","일요일","0",74.1428571428571,0.743119266055046
NA,135,8,75,"6","월요일","1",75.5714285714286,0.391437308868502
NA,127,8,78,"6","화요일","1",76.2857142857143,0.36697247706422
NA,47,10.3,73,"6","수요일","1",75.8571428571429,0.122324159021407
NA,98,11.5,80,"6","목요일","1",76.2857142857143,0.2782874617737
NA,31,14.9,77,"6","금요일","1",76.4285714285714,0.073394495412844
NA,138,8,83,"6","토요일","0",77.4285714285714,0.400611620795107
135,269,4.1,84,"7","일요일","0",78.5714285714286,0.801223241590214
49,248,9.2,85,"7","월요일","1",80,0.737003058103975
32,236,9.2,81,"7","화요일","1",80.4285714285714,0.700305810397553
NA,101,10.9,84,"7","수요일","1",82,0.287461773700306
64,175,4.6,83,"7","목요일","1",82.4285714285714,0.513761467889908
40,314,10.9,83,"7","금요일","1",83.2857142857143,0.938837920489297
77,276,5.1,88,"7","토요일","0",84,0.82262996941896
97,267,6.3,92,"7","일요일","0",85.1428571428571,0.795107033639144
97,272,5.7,92,"7","월요일","1",86.1428571428571,0.81039755351682
85,175,7.4,89,"7","화요일","1",87.2857142857143,0.513761467889908
NA,139,8.6,82,"7","수요일","1",87,0.403669724770642
10,264,14.3,73,"7","목요일","1",85.5714285714286,0.785932721712538
27,175,14.9,81,"7","금요일","1",85.2857142857143,0.513761467889908
NA,291,14.9,91,"7","토요일","0",85.7142857142857,0.868501529051988
7,48,14.3,80,"7","일요일","0",84,0.125382262996942
48,260,6.9,81,"7","월요일","1",82.4285714285714,0.773700305810398
35,274,10.3,82,"7","화요일","1",81.4285714285714,0.81651376146789
61,285,6.3,84,"7","수요일","1",81.7142857142857,0.850152905198777
79,187,5.1,87,"7","목요일","1",83.7142857142857,0.55045871559633
63,220,11.5,85,"7","금요일","1",84.2857142857143,0.651376146788991
16,7,6.9,74,"7","토요일","0",81.8571428571429,0
NA,258,9.7,81,"7","일요일","0",82,0.767584097859327
NA,295,11.5,82,"7","월요일","1",82.1428571428571,0.880733944954128
80,294,8.6,86,"7","화요일","1",82.7142857142857,0.877675840978593
108,223,8,85,"7","수요일","1",82.8571428571429,0.660550458715596
20,81,8.6,82,"7","목요일","1",82.1428571428571,0.226299694189602
52,82,12,86,"7","금요일","1",82.2857142857143,0.229357798165138
82,213,7.4,88,"7","토요일","0",84.2857142857143,0.629969418960245
50,275,7.4,86,"7","일요일","0",85,0.819571865443425
64,253,7.4,83,"7","월요일","1",85.1428571428571,0.752293577981651
59,254,9.2,81,"7","화요일","1",84.4285714285714,0.755351681957186
39,83,6.9,81,"8","수요일","1",83.8571428571429,0.232415902140673
9,24,13.8,81,"8","목요일","1",83.7142857142857,0.0519877675840979
16,77,7.4,82,"8","금요일","1",83.1428571428571,0.214067278287462
78,255,6.9,86,"8","토요일","0",82.8571428571429,0.758409785932722
35,255,7.4,85,"8","일요일","0",82.7142857142857,0.758409785932722
66,255,4.6,87,"8","월요일","1",83.2857142857143,0.758409785932722
122,255,4,89,"8","화요일","1",84.4285714285714,0.758409785932722
89,229,10.3,90,"8","수요일","1",85.7142857142857,0.678899082568807
110,207,8,90,"8","목요일","1",87,0.611620795107034
NA,222,8.6,92,"8","금요일","1",88.4285714285714,0.657492354740061
NA,137,11.5,86,"8","토요일","0",88.4285714285714,0.397553516819572
44,192,11.5,86,"8","일요일","0",88.5714285714286,0.565749235474006
28,273,11.5,82,"8","월요일","1",87.8571428571429,0.813455657492355
65,157,9.7,80,"8","화요일","1",86.5714285714286,0.458715596330275
NA,64,11.5,79,"8","수요일","1",85,0.174311926605505
22,71,10.3,77,"8","목요일","1",83.1428571428571,0.195718654434251
59,51,6.3,79,"8","금요일","1",81.2857142857143,0.134556574923547
23,115,7.4,76,"8","토요일","0",79.8571428571429,0.330275229357798
31,244,10.9,78,"8","일요일","0",78.7142857142857,0.724770642201835
44,190,10.3,78,"8","월요일","1",78.1428571428571,0.559633027522936
21,259,15.5,77,"8","화요일","1",77.7142857142857,0.770642201834862
9,36,14.3,72,"8","수요일","1",76.7142857142857,0.0886850152905199
NA,255,12.6,75,"8","목요일","1",76.4285714285714,0.758409785932722
45,212,9.7,79,"8","금요일","1",76.4285714285714,0.62691131498471
168,238,3.4,81,"8","토요일","0",77.1428571428571,0.706422018348624
73,215,8,86,"8","일요일","0",78.2857142857143,0.636085626911315
NA,153,5.7,88,"8","월요일","1",79.7142857142857,0.446483180428135
76,203,9.7,97,"8","화요일","1",82.5714285714286,0.599388379204893
118,225,2.3,94,"8","수요일","1",85.7142857142857,0.666666666666667
84,237,6.3,96,"8","목요일","1",88.7142857142857,0.703363914373089
85,188,6.3,94,"8","금요일","1",90.8571428571429,0.553516819571865
96,167,6.9,91,"9","토요일","0",92.2857142857143,0.489296636085627
78,197,5.1,92,"9","일요일","0",93.1428571428571,0.581039755351682
73,183,2.8,93,"9","월요일","1",93.8571428571429,0.53822629969419
91,189,4.6,93,"9","화요일","1",93.2857142857143,0.556574923547401
47,95,7.4,87,"9","수요일","1",92.2857142857143,0.269113149847095
32,92,15.5,84,"9","목요일","1",90.5714285714286,0.259938837920489
20,252,10.9,80,"9","금요일","1",88.5714285714286,0.749235474006116
23,220,10.3,78,"9","토요일","0",86.7142857142857,0.651376146788991
21,230,10.9,75,"9","일요일","0",84.2857142857143,0.681957186544342
24,259,9.7,73,"9","월요일","1",81.4285714285714,0.770642201834862
44,236,14.9,81,"9","화요일","1",79.7142857142857,0.700305810397553
21,259,15.5,76,"9","수요일","1",78.1428571428571,0.770642201834862
28,238,6.3,77,"9","목요일","1",77.1428571428571,0.706422018348624
9,24,10.9,71,"9","금요일","1",75.8571428571429,0.0519877675840979
13,112,11.5,71,"9","토요일","0",74.8571428571429,0.321100917431193
46,237,6.9,78,"9","일요일","0",75.2857142857143,0.703363914373089
18,224,13.8,67,"9","월요일","1",74.4285714285714,0.663608562691132
