Ozone,Solar.R,Wind,Temp,Date
41,190,7.4,67,1973-05-01
36,118,8,72,1973-05-02
12,149,12.6,74,1973-05-03
18,313,11.5,62,1973-05-04
19,,14.3,56,1973-05-05
28,,14.9,66,1973-05-06
23,299,8.6,65,1973-05-07
19,99,13.8,59,1973-05-08
8,19,20.1,61,1973-05-09
20,194,8.6,69,1973-05-10
7,,6.9,74,1973-05-11
16,256,9.7,69,1973-05-12
11,290,9.2,66,1973-05-13
14,274,10.9,68,1973-05-14
18,65,13.2,58,1973-05-15
14,334,11.5,64,1973-05-16
34,307,12,66,1973-05-17
6,78,18.4,57,1973-05-18
30,322,11.5,68,1973-05-19
11,44,9.7,62,1973-05-20
1,8,9.7,59,1973-05-21
11,320,16.6,73,1973-05-22
4,25,9.7,61,1973-05-23
32,92,12,61,1973-05-24
17,66,16.6,57,1973-05-25
18,266,14.9,58,1973-05-26
15,,8,57,1973-05-27
23,13,12,67,1973-05-28
45,252,14.9,81,1973-05-29
115,223,5.7,79,1973-05-30
37,279,7.4,76,1973-05-31
34,286,8.6,78,1973-06-01
29,287,9.7,74,1973-06-02
18,242,16.1,67,1973-06-03
48,186,9.2,84,1973-06-04
49,220,8.6,85,1973-06-05
26,264,14.3,79,1973-06-06
29,127,9.7,82,1973-06-07
62,273,6.9,87,1973-06-08
71,291,13.8,90,1973-06-09
39,323,11.5,87,1973-06-10
56,259,10.9,93,1973-06-11
62,250,9.2,92,1973-06-12
23,148,8,82,1973-06-13
27,332,13.8,80,1973-06-14
26,322,11.5,79,1973-06-15
21,191,14.9,77,1973-06-16
37,284,20.7,72,1973-06-17
20,37,9.2,65,1973-06-18
12,120,11.5,73,1973-06-19
13,137,10.3,76,1973-06-20
49,150,6.3,77,1973-06-21
70,59,1.7,76,1973-06-22
69,91,4.6,76,1973-06-23
52,250,6.3,76,1973-06-24
44,135,8,75,1973-06-25
55,127,8,78,1973-06-26
23,47,10.3,73,1973-06-27
50,98,11.5,80,1973-06-28
24,31,14.9,77,1973-06-29
66,138,8,83,1973-06-30
135,269,4.1,84,1973-07-01
49,248,9.2,85,1973-07-02
32,236,9.2,81,1973-07-03
39,101,10.9,84,1973-07-04
64,175,4.6,83,1973-07-05
40,314,10.9,83,1973-07-06
77,276,5.1,88,1973-07-07
97,267,6.3,92,1973-07-08
97,272,5.7,92,1973-07-09
85,175,7.4,89,1973-07-10
46,139,8.6,82,1973-07-11
10,264,14.3,73,1973-07-12
27,175,14.9,81,1973-07-13
42,291,14.9,91,1973-07-14
7,48,14.3,80,1973-07-15
48,260,6.9,81,1973-07-16
35,274,10.3,82,1973-07-17
61,285,6.3,84,1973-07-18
79,187,5.1,87,1973-07-19
63,220,11.5,85,1973-07-20
16,7,6.9,74,1973-07-21
50,258,9.7,81,1973-07-22
49,295,11.5,82,1973-07-23
80,294,8.6,86,1973-07-24
108,223,8,85,1973-07-25
20,81,8.6,82,1973-07-26
52,82,12,86,1973-07-27
82,213,7.4,88,1973-07-28
50,275,7.4,86,1973-07-29
64,253,7.4,83,1973-07-30
59,254,9.2,81,1973-07-31
39,83,6.9,81,1973-08-01
9,24,13.8,81,1973-08-02
16,77,7.4,82,1973-08-03
78,,6.9,86,1973-08-04
35,,7.4,85,1973-08-05
66,,4.6,87,1973-08-06
122,255,4,89,1973-08-07
89,229,10.3,90,1973-08-08
110,207,8,90,1973-08-09
79,222,8.6,92,1973-08-10
48,137,11.5,86,1973-08-11
44,192,11.5,86,1973-08-12
28,273,11.5,82,1973-08-13
65,157,9.7,80,1973-08-14
32,64,11.5,79,1973-08-15
22,71,10.3,77,1973-08-16
59,51,6.3,79,1973-08-17
23,115,7.4,76,1973-08-18
31,244,10.9,78,1973-08-19
44,190,10.3,78,1973-08-20
21,259,15.5,77,1973-08-21
9,36,14.3,72,1973-08-22
24,255,12.6,75,1973-08-23
45,212,9.7,79,1973-08-24
168,238,3.4,81,1973-08-25
73,215,8,86,1973-08-26
87,153,5.7,88,1973-08-27
76,203,9.7,97,1973-08-28
118,225,2.3,94,1973-08-29
84,237,6.3,96,1973-08-30
85,188,6.3,94,1973-08-31
96,167,6.9,91,1973-09-01
78,197,5.1,92,1973-09-02
73,183,2.8,93,1973-09-03
91,189,4.6,93,1973-09-04
47,95,7.4,87,1973-09-05
32,92,15.5,84,1973-09-06
20,252,10.9,80,1973-09-07
23,220,10.3,78,1973-09-08
21,230,10.9,75,1973-09-09
24,259,9.7,73,1973-09-10
44,236,14.9,81,1973-09-11
21,259,15.5,76,1973-09-12
28,238,6.3,77,1973-09-13
9,24,10.9,71,1973-09-14
13,112,11.5,71,1973-09-15
46,237,6.9,78,1973-09-16
18,224,13.8,67,1973-09-17
13,27,10.3,76,1973-09-18
24,238,10.3,68,1973-09-19
16,201,8,82,1973-09-20
13,238,12.6,64,1973-09-21
23,14,9.2,71,1973-09-22
36,139,10.3,81,1973-09-23
7,49,10.3,69,1973-09-24
14,20,16.6,63,1973-09-25
30,193,6.9,70,1973-09-26
23,145,13.2,77,1973-09-27
14,191,14.3,75,1973-09-28
18,131,8,76,1973-09-29
20,223,11.5,68,1973-09-30
