Ozone,Solar.R,Wind,Temp,Date
34,286,8.6,78,1973-06-01
29,287,9.7,74,1973-06-02
18,242,16.1,67,1973-06-03
48,186,9.2,84,1973-06-04
49,220,8.6,85,1973-06-05
26,264,14.3,79,1973-06-06
29,127,9.7,82,1973-06-07
62,273,6.9,87,1973-06-08
71,291,13.8,90,1973-06-09
39,323,11.5,87,1973-06-10
56,259,10.9,93,1973-06-11
62,250,9.2,92,1973-06-12
23,148,8,82,1973-06-13
27,332,13.8,80,1973-06-14
26,322,11.5,79,1973-06-15
21,191,14.9,77,1973-06-16
37,284,20.7,72,1973-06-17
20,37,9.2,65,1973-06-18
12,120,11.5,73,1973-06-19
13,137,10.3,76,1973-06-20
49,150,6.3,77,1973-06-21
70,59,1.7,76,1973-06-22
69,91,4.6,76,1973-06-23
52,250,6.3,76,1973-06-24
44,135,8,75,1973-06-25
55,127,8,78,1973-06-26
23,47,10.3,73,1973-06-27
50,98,11.5,80,1973-06-28
24,31,14.9,77,1973-06-29
66,138,8,83,1973-06-30
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
