Date,Holiday,Functioning Day
01/12/2017,No Holiday,Yes
02/12/2017,No Holiday,Yes
03/12/2017,No Holiday,Yes
04/12/2017,No Holiday,Yes
05/12/2017,No Holiday,Yes
06/12/2017,No Holiday,Yes
07/12/2017,No Holiday,Yes
08/12/2017,No Holiday,Yes
09/12/2017,No Holiday,Yes
10/12/2017,No Holiday,Yes
11/12/2017,No Holiday,Yes
12/12/2017,No Holiday,Yes
13/12/2017,No Holiday,Yes
14/12/2017,No Holiday,Yes
15/12/2017,No Holiday,Yes
16/12/2017,No Holiday,Yes
17/12/2017,No Holiday,Yes
18/12/2017,No Holiday,Yes
19/12/2017,No Holiday,Yes
20/12/2017,No Holiday,Yes
21/12/2017,No Holiday,Yes
22/12/2017,Holiday,Yes
23/12/2017,No Holiday,Yes
24/12/2017,Holiday,Yes
25/12/2017,Holiday,Yes
26/12/2017,No Holiday,Yes
27/12/2017,No Holiday,Yes
28/12/2017,No Holiday,Yes
29/12/2017,No Holiday,Yes
30/12/2017,No Holiday,Yes
31/12/2017,Holiday,Yes
01/01/2018,Holiday,Yes
02/01/2018,No Holiday,Yes
03/01/2018,No Holiday,Yes
04/01/2018,No Holiday,Yes
05/01/2018,No Holiday,Yes
06/01/2018,No Holiday,Yes
07/01/2018,No Holiday,Yes
08/01/2018,No Holiday,Yes
09/01/2018,No Holiday,Yes
10/01/2018,No Holiday,Yes
11/01/2018,No Holiday,Yes
12/01/2018,No Holiday,Yes
13/01/2018,No Holiday,Yes
14/01/2018,No Holiday,Yes
15/01/2018,No Holiday,Yes
16/01/2018,No Holiday,Yes
17/01/2018,No Holiday,Yes
18/01/2018,No Holiday,Yes
19/01/2018,No Holiday,Yes
20/01/2018,No Holiday,Yes
21/01/2018,No Holiday,Yes
22/01/2018,No Holiday,Yes
23/01/2018,No Holiday,Yes
24/01/2018,No Holiday,Yes
25/01/2018,No Holiday,Yes
26/01/2018,No Holiday,Yes
27/01/2018,No Holiday,Yes
28/01/2018,No Holiday,Yes
29/01/2018,No Holiday,Yes
30/01/2018,No Holiday,Yes
31/01/2018,No Holiday,Yes
01/02/2018,No Holiday,Yes
02/02/2018,No Holiday,Yes
03/02/2018,No Holiday,Yes
04/02/2018,No Holiday,Yes
05/02/2018,No Holiday,Yes
06/02/2018,No Holiday,Yes
07/02/2018,No Holiday,Yes
08/02/2018,No Holiday,Yes
09/02/2018,No Holiday,Yes
10/02/2018,No Holiday,Yes
11/02/2018,No Holiday,Yes
12/02/2018,No Holiday,Yes
13/02/2018,No Holiday,Yes
14/02/2018,No Holiday,Yes
15/02/2018,Holiday,Yes
16/02/2018,Holiday,Yes
17/02/2018,Holiday,Yes
18/02/2018,No Holiday,Yes
19/02/2018,No Holiday,Yes
20/02/2018,No Holiday,Yes
21/02/2018,No Holiday,Yes
22/02/2018,No Holiday,Yes
23/02/2018,No Holiday,Yes
24/02/2018,No Holiday,Yes
25/02/2018,No Holiday,Yes
26/02/2018,No Holiday,Yes
27/02/2018,No Holiday,Yes
28/02/2018,No Holiday,Yes
01/03/2018,Holiday,Yes
02/03/2018,No Holiday,Yes
03/03/2018,No Holiday,Yes
04/03/2018,No Holiday,Yes
05/03/2018,No Holiday,Yes
06/03/2018,No Holiday,Yes
07/03/2018,No Holiday,Yes
08/03/2018,No Holiday,Yes
09/03/2018,No Holiday,Yes
10/03/2018,No Holiday,Yes
11/03/2018,No Holiday,Yes
12/03/2018,No Holiday,Yes
13/03/2018,No Holiday,Yes
14/03/2018,No Holiday,Yes
15/03/2018,No Holiday,Yes
16/03/2018,No Holiday,Yes
17/03/2018,No Holiday,Yes
18/03/2018,No Holiday,Yes
19/03/2018,No Holiday,Yes
20/03/2018,No Holiday,Yes
21/03/2018,No Holiday,Yes
22/03/2018,No Holiday,Yes
23/03/2018,No Holiday,Yes
24/03/2018,No Holiday,Yes
25/03/2018,No Holiday,Yes
26/03/2018,No Holiday,Yes
27/03/2018,No Holiday,Yes
28/03/2018,No Holiday,Yes
29/03/2018,No Holiday,Yes
30/03/2018,No Holiday,Yes
31/03/2018,No Holiday,Yes
01/04/2018,No Holiday,Yes
02/04/2018,No Holiday,Yes
03/04/2018,No Holiday,Yes
04/04/2018,No Holiday,Yes
05/04/2018,No Holiday,Yes
06/04/2018,No Holiday,Yes
07/04/2018,No Holiday,Yes
08/04/2018,No Holiday,Yes
09/04/2018,No Holiday,Yes
10/04/2018,No Holiday,Yes
11/04/2018,No Holiday,No
12/04/2018,No Holiday,Yes
13/04/2018,No Holiday,Yes
14/04/2018,No Holiday,Yes
15/04/2018,No Holiday,Yes
16/04/2018,No Holiday,Yes
17/04/2018,No Holiday,Yes
18/04/2018,No Holiday,Yes
19/04/2018,No Holiday,Yes
20/04/2018,No Holiday,Yes
21/04/2018,No Holiday,Yes
22/04/2018,No Holiday,Yes
23/04/2018,No Holiday,Yes
24/04/2018,No Holiday,Yes
25/04/2018,No Holiday,Yes
26/04/2018,No Holiday,Yes
27/04/2018,No Holiday,Yes
28/04/2018,No Holiday,Yes
29/04/2018,No Holiday,Yes
30/04/2018,No Holiday,Yes
01/05/2018,Holiday,Yes
02/05/2018,No Holiday,Yes
03/05/2018,No Holiday,Yes
04/05/2018,No Holiday,Yes
05/05/2018,No Holiday,Yes
06/05/2018,No Holiday,Yes
07/05/2018,No Holiday,Yes
08/05/2018,No Holiday,Yes
09/05/2018,No Holiday,Yes
10/05/2018,No Holiday,No
11/05/2018,No Holiday,Yes
12/05/2018,No Holiday,Yes
13/05/2018,No Holiday,Yes
14/05/2018,No Holiday,Yes
15/05/2018,No Holiday,Yes
16/05/2018,No Holiday,Yes
17/05/2018,No Holiday,Yes
18/05/2018,No Holiday,Yes
