Creditability,Account Balance,Duration of Credit (month),Payment Status of Previous Credit,Purpose,Credit Amount($),Length of current employment(Month),Sex & Marital Status,Duration in Current address,Most valuable available asset,Age (years),Type of apartment,No of Credits at this Bank,Occupation,No of dependents,Telephone,Foreign Worker
1,3,24,2,0,1249,2,4,2,1,28,2,1,3,1,1,1
1,2,9,2,0,276,3,4,4,1,22,1,1,2,1,1,1
1,1,18,4,2,1049,2,2,4,2,21,1,1,3,1,1,1
1,1,24,4,1,6419,5,2,4,4,44,3,2,4,2,2,1
1,3,12,2,2,1424,5,2,4,1,55,2,1,4,1,2,1
1,2,30,2,3,1715,3,2,1,3,26,2,1,3,1,1,1
1,3,10,4,0,781,5,3,4,4,63,3,2,3,1,2,1
0,1,42,2,3,3965,2,3,3,3,34,2,1,3,1,1,1
1,2,24,2,3,3758,1,2,4,4,23,1,1,1,1,1,1
0,1,48,2,0,3931,4,3,4,4,46,3,1,3,2,1,1
1,3,30,4,3,2831,3,2,2,3,33,2,1,3,1,2,1
1,3,12,4,2,1935,5,3,4,1,43,2,3,3,1,2,1
0,3,12,1,9,609,2,2,1,1,26,2,1,1,1,1,1
0,1,12,2,3,674,4,4,1,2,20,2,1,3,1,1,1
1,1,15,2,9,806,3,2,4,2,22,2,1,2,1,1,1
1,3,21,2,3,3160,5,3,3,2,41,2,1,3,1,2,1
1,1,6,2,2,1374,3,3,2,1,36,2,1,2,1,2,1
1,3,36,4,3,3342,5,3,2,3,51,2,1,3,1,2,1
1,2,12,2,9,841,4,2,4,1,23,1,1,2,1,1,1
1,2,12,2,0,7472,1,2,2,1,24,1,1,1,1,1,1
1,2,18,2,0,6260,4,3,3,1,28,1,1,2,1,1,1
1,3,36,4,3,9566,3,2,2,3,31,2,2,3,1,1,1
1,1,24,1,1,3632,3,2,4,3,22,1,1,3,1,1,2
1,3,10,2,8,894,4,2,3,2,40,2,1,3,1,2,1
1,2,8,2,9,907,2,4,2,1,26,2,1,3,1,2,1
0,1,12,2,4,741,1,2,3,2,22,2,1,3,1,1,1
1,2,12,2,0,2002,4,3,4,2,30,1,1,3,2,2,1
0,2,12,2,3,1331,2,3,1,3,22,2,1,3,1,1,1
1,2,6,2,3,368,5,3,4,2,38,2,1,3,1,1,1
0,1,12,2,0,1274,2,2,1,1,37,2,1,2,1,1,1
0,3,18,2,3,433,1,2,4,1,22,1,1,3,1,1,1
0,1,48,0,1,4605,5,3,4,4,24,3,2,3,2,1,1
1,3,6,1,3,1750,5,3,4,2,45,2,1,2,2,1,1
0,2,12,2,3,1534,2,4,1,1,23,1,1,3,1,1,1
0,1,33,4,2,4281,3,2,4,3,23,2,2,3,1,1,1
0,2,12,2,5,639,3,3,2,3,30,2,1,3,1,1,1
1,2,9,2,3,1082,5,3,4,3,37,2,2,2,1,1,1
1,3,24,2,2,2892,5,1,4,4,51,3,1,3,1,1,1
0,2,30,2,0,2150,3,2,2,4,24,2,1,3,1,1,1
1,3,15,3,3,1478,3,4,3,1,33,2,2,3,1,1,1
1,3,24,2,0,1393,3,3,2,1,31,2,1,3,1,2,1
1,2,12,2,9,1037,4,3,4,1,39,2,1,2,1,1,1
1,2,12,4,0,958,4,3,3,1,47,2,2,2,2,1,1
