x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,amount,fraud
0.733,-0.544,-0.601,0.02,0.181,0.172,-1.768,-0.083,-0.323,0.11,-0.019,-0.457,-0.088,0.167,0.27,-0.513,-0.006,0.044,199.45,0
1.942,-0.056,1.319,1.197,0.367,0.265,0.006,0.31,-0.522,-0.223,-0.268,-0.595,0.345,-1.04,-0.432,0.28,-0.018,-0.057,1.98,0
-0.223,1.182,0.166,-1.328,0.151,-0.101,-0.489,0.476,0.034,-0.174,0.404,1.288,-0.076,0.071,-0.787,-0.218,0.382,0.259,0.89,0
0.672,-1.261,-0.602,-0.866,-0.335,0.875,0.786,0.012,1.338,0.655,0.201,0.078,-0.527,0.133,0.745,0.041,-0.074,0.049,340.31,0
-3.368,0.099,0.458,-1.572,0.672,-3.188,1.019,-0.59,1.93,0.265,0.861,1.249,1.851,-0.117,1.22,0.0,1.036,0.004,320.01,1
1.99,-0.033,-0.538,-1.633,-0.369,0.471,-0.038,0.017,-0.259,-0.255,-0.224,-0.508,0.455,0.873,-0.43,0.146,-0.066,-0.051,2.28,0
-0.305,0.937,1.279,-0.787,-0.369,0.342,0.394,-0.189,-0.145,0.131,-0.455,-0.814,0.244,0.375,-0.311,0.1,0.088,-0.114,1.98,0
1.017,-0.209,-0.717,0.722,0.382,0.364,0.456,1.077,-0.799,-0.017,0.336,0.953,-0.13,-0.279,0.299,-0.211,0.082,0.035,49.0,0
-1.591,-0.683,-2.51,0.51,0.405,-0.008,0.074,0.481,0.966,1.07,0.301,0.028,1.079,0.398,-0.139,1.057,-0.232,0.07,500.0,0
-1.028,0.884,-0.4,0.301,0.661,-0.721,-0.507,-0.493,0.909,0.238,0.132,0.369,0.131,0.217,-0.099,-0.254,0.269,0.122,101.27,0
-0.724,0.491,0.671,0.603,0.191,-0.65,-0.415,-0.051,1.279,0.274,0.025,-0.122,-0.252,0.104,0.575,0.475,-0.031,0.053,80.9,0
0.389,-1.252,-1.02,1.471,0.584,0.587,-2.554,-1.559,-0.601,0.336,0.218,0.093,-0.385,-0.311,0.286,0.168,-0.015,0.066,338.83,0
-0.93,0.878,-0.389,0.916,0.947,0.107,-1.109,-0.147,1.346,0.047,-0.018,0.016,-0.27,-0.874,0.112,-0.251,0.275,0.091,11.5,0
1.811,-0.22,0.156,-0.303,-0.019,0.371,0.448,-0.296,-0.124,0.055,0.0,-0.057,0.161,0.636,-0.252,0.159,-0.042,-0.013,89.9,0
-0.377,-0.51,-0.026,0.375,0.03,-0.816,-0.807,-0.719,0.81,0.322,0.391,1.018,-0.183,0.285,0.014,-0.141,-0.085,-0.096,79.98,0
-2.714,1.454,-0.288,0.127,-0.062,2.392,-1.106,0.818,0.001,1.066,-0.314,0.72,-0.339,0.076,0.186,-0.215,0.418,0.076,11.36,0
2.111,-0.042,0.554,-0.812,-0.34,0.423,-0.276,-0.355,0.327,-0.202,-0.061,-0.019,0.073,0.528,0.229,0.544,-0.105,-0.072,9.99,0
2.156,-0.936,1.881,3.244,0.714,-0.755,0.203,0.931,-1.143,-0.508,-0.133,0.067,0.159,0.735,-0.036,0.815,-0.044,-0.069,17.0,0
0.878,0.158,-0.411,-0.313,-0.15,-0.815,1.48,0.56,-1.057,0.25,-0.104,-0.654,0.006,0.379,0.17,-0.279,-0.014,0.063,154.99,0
1.063,-0.121,-0.723,0.594,0.362,0.595,0.147,-0.294,-0.282,-0.137,0.021,0.271,0.008,0.022,0.318,-0.397,0.086,0.025,11.5,0
-0.893,0.899,0.109,-0.979,-0.177,-0.326,0.651,0.819,0.041,0.043,-0.214,-0.524,0.209,0.378,-0.136,0.053,0.017,0.137,3.58,0
2.111,-1.403,1.125,3.846,1.02,0.186,0.142,0.473,0.267,0.075,0.436,1.264,0.107,0.762,-0.073,0.043,0.042,-0.05,23.88,0
-0.898,0.911,0.38,-0.121,0.19,-0.832,-0.124,-0.033,-1.097,-0.121,0.316,0.866,-0.419,0.236,0.602,-0.289,0.054,0.054,6.41,0
1.939,-0.233,0.514,-0.163,0.097,1.024,-1.671,-0.501,0.572,-0.139,-0.237,-0.654,0.115,-0.138,-0.073,-0.096,-0.03,-0.024,53.02,0
1.741,-0.53,-0.964,-0.256,0.024,1.159,0.451,0.645,-0.731,-0.036,0.141,0.383,0.181,0.018,-0.362,-0.745,0.065,-0.002,101.0,0
-0.538,0.617,-0.149,0.499,-0.038,0.659,-0.737,-0.816,-0.103,-0.155,-0.045,0.284,-0.233,0.092,0.115,-0.35,-0.325,-0.196,37.0,0
0.014,0.341,0.59,0.181,0.317,0.625,-1.329,-0.515,-0.283,-0.199,0.278,0.822,0.015,0.132,-1.041,0.414,-0.0,0.169,3.77,0
2.023,0.137,0.047,-1.453,-0.29,0.854,-1.088,0.409,-0.002,-0.269,-0.331,-0.844,0.282,-0.121,-0.153,-0.583,-0.003,-0.023,9.99,0
-0.756,0.701,-0.166,-0.848,0.018,1.03,1.279,-0.914,-0.68,0.047,-0.151,-0.25,0.02,0.499,-0.419,0.651,0.216,0.163,24.0,0
0.826,-1.322,-0.93,-0.477,-0.268,-0.939,0.866,0.168,-0.915,0.078,-0.245,-0.663,-0.228,0.167,0.282,1.089,-0.1,0.045,284.98,0
1.058,-0.256,-0.783,0.281,0.252,0.492,0.205,-0.422,-0.218,-0.069,0.17,0.683,-0.084,0.315,0.365,0.506,0.016,0.012,29.99,0
1.269,0.054,-0.074,-0.235,0.016,-0.002,-0.634,0.439,0.354,-0.104,0.035,0.061,-0.188,-0.474,0.572,0.465,-0.047,-0.008,10.17,0
0.057,0.868,0.476,-1.037,-0.2,-0.039,0.064,-0.396,-0.029,-0.032,-0.27,-0.596,0.051,-0.117,-0.469,0.147,0.247,0.096,3.58,0
1.405,-0.958,1.01,3.536,0.927,-0.545,0.358,1.294,0.591,0.247,0.337,0.753,-0.15,1.05,0.585,-0.036,0.038,0.022,24.99,0
2.077,-0.868,-0.772,-0.398,-0.095,-0.474,0.75,-0.568,-0.443,-0.51,-0.316,-0.341,0.222,-0.324,-0.356,0.555,-0.037,-0.06,31.6,0
-0.512,0.796,-0.209,-0.31,0.144,-0.128,-0.222,-1.378,0.54,0.075,0.045,0.44,-0.177,0.604,-0.192,0.332,0.356,0.193,4.79,0
1.968,-0.246,-0.435,-0.21,0.035,2.445,1.208,-0.248,-0.006,-0.301,-0.237,-0.352,0.323,-0.529,-0.409,-0.955,0.028,-0.048,3.2,0
-2.839,-2.151,1.337,-0.969,0.71,-1.066,1.319,0.089,0.043,1.018,0.25,-0.403,-0.169,0.034,0.578,-0.395,0.17,-0.319,64.18,0
2.079,0.103,0.489,-1.472,-0.466,-0.09,-0.029,-0.308,0.289,-0.236,0.212,0.746,-0.037,0.082,0.389,0.22,-0.085,-0.089,1.47,0
-0.484,0.27,2.381,3.751,1.246,0.512,-0.162,0.485,-0.425,-0.206,-0.012,-0.046,0.221,0.662,-1.474,-0.854,-0.057,-0.07,17.21,0
-0.267,0.984,0.889,0.19,0.546,-0.372,-0.082,-0.988,0.619,-0.069,-0.241,-0.749,0.04,-0.368,-0.338,0.157,0.107,0.02,12.99,0
1.233,0.184,0.592,1.075,0.26,-0.112,0.906,0.741,0.155,-0.047,-0.217,-0.611,-0.093,-1.732,0.439,-0.491,0.049,0.006,10.49,0
1.884,-0.327,-0.584,-0.323,0.077,1.424,-1.858,-0.986,0.144,-0.365,-0.525,-1.33,0.447,-0.142,-0.397,-1.099,0.043,-0.031,28.29,0
1.204,0.141,-0.604,-0.807,-0.019,-0.089,-0.73,0.418,0.1,-0.15,-0.203,-0.67,0.161,0.505,0.129,0.068,-0.038,0.009,0.89,0
0.912,-1.376,-0.429,-0.126,-0.347,-0.901,1.52,-0.02,-0.041,0.239,-0.343,-1.019,-0.461,-0.912,0.544,1.142,-0.122,0.04,313.95,0
1.126,0.191,0.04,0.189,0.234,-0.203,-0.113,0.923,-0.631,-0.147,-0.182,-0.503,0.18,-0.333,0.031,0.137,0.005,0.013,1.78,0
-1.286,0.984,-0.883,-0.81,0.281,-0.326,0.453,0.747,-0.147,-0.41,0.123,0.376,0.247,0.416,-0.275,0.222,-0.727,-0.288,100.0,0
-0.361,0.811,1.335,1.018,0.359,1.296,1.05,-0.947,-0.853,-0.044,-0.356,-0.496,0.111,-1.719,-0.636,0.221,0.368,0.132,16.99,0
1.824,0.359,-0.75,-0.455,0.025,-0.471,-0.397,-0.093,-2.222,-0.336,0.247,0.734,0.327,0.886,-0.412,-0.058,0.008,-0.023,1.0,0
-1.958,1.286,1.098,2.057,-1.778,1.241,-1.562,-0.572,-0.186,-0.293,0.836,0.289,-0.332,-1.388,-0.158,-0.104,-2.644,-0.958,3.03,0
-0.971,1.103,0.206,-0.77,-0.426,0.077,-0.632,-0.264,-0.63,0.187,-0.254,-0.428,-0.044,0.492,-0.34,-0.196,-0.19,-0.222,8.99,0
1.678,-1.245,-0.482,0.849,0.156,-0.251,0.87,-2.003,-0.212,-0.225,-0.744,-1.824,0.322,0.121,-0.438,-1.146,0.044,0.0,193.51,0
1.149,-0.816,1.267,3.894,1.038,1.069,-0.075,-0.106,0.819,0.169,-0.25,-0.751,-0.009,1.08,0.273,0.951,-0.043,0.018,69.32,0
-2.157,-0.677,-0.778,-0.337,0.193,-1.335,-0.472,-0.391,-0.021,1.033,0.4,-0.148,0.754,0.014,0.768,0.983,-0.389,-0.088,495.04,0
0.8,-1.861,-1.374,1.199,0.505,1.077,-0.064,1.242,-1.364,-0.292,-0.302,-0.307,0.093,-0.621,-0.129,0.007,0.112,0.048,188.6,0
-3.777,-4.304,5.69,1.408,1.439,0.882,-0.188,0.281,-1.065,1.172,0.534,0.129,0.544,0.745,0.913,0.697,-0.2,0.117,116.0,0
-3.625,3.596,-0.775,-1.156,0.365,1.726,1.43,0.953,-0.423,1.571,-0.729,-0.716,0.092,0.317,0.391,-0.042,-0.07,-0.806,9.97,0
2.03,0.209,0.257,-1.071,-0.28,0.36,0.614,0.145,-0.214,-0.137,-0.318,-0.775,0.401,1.01,-0.319,0.143,-0.055,-0.024,1.98,0
-0.286,0.894,0.874,0.617,0.1,-0.561,0.394,1.486,0.612,0.092,0.015,0.066,-0.216,-1.329,-0.115,-0.301,0.167,0.136,29.99,0
1.99,0.494,0.53,-1.464,-0.214,0.32,-0.646,0.468,-0.509,-0.185,0.155,0.594,-0.037,-0.211,0.184,-0.118,0.016,-0.003,1.0,0
-0.965,-2.5,-0.583,-0.871,-0.889,-1.816,-1.119,-1.627,-0.905,1.095,0.623,1.051,1.832,0.028,-1.17,0.58,-0.192,0.152,739.98,0
1.156,0.13,-0.388,-0.438,0.173,0.032,-1.74,0.831,-0.331,-0.226,-0.216,-0.715,0.194,0.134,0.024,0.1,-0.022,0.015,1.29,0
0.009,-2.341,-1.4,1.058,0.39,1.017,-1.007,-0.322,-0.14,0.937,0.199,-0.439,-0.349,-0.198,-0.277,0.928,-0.115,0.092,562.92,0
0.93,-0.972,-0.533,1.96,0.747,-0.58,-0.851,0.816,-2.39,-0.589,-0.04,0.435,0.013,-1.05,0.122,-0.116,0.126,0.019,79.0,0
-0.625,0.905,0.443,0.122,0.265,-0.88,-0.863,1.013,0.757,0.053,-0.176,-0.617,-0.161,-0.369,-0.051,0.263,0.038,0.068,1.29,0
-0.838,-0.145,0.901,-0.605,-0.492,-2.347,1.468,0.773,-1.181,-0.086,-0.212,0.097,0.057,0.598,-0.483,0.032,-0.367,-0.108,0.0,0
