text,label
i feel the melancholy running my veins as well,sadness
im feeling cranky im very defensive about it,anger
i should feel blessed to have but what about me cause i thought i mattered in this situation,joy
i do know is this i have no desire to spend my life feeling discontent so i seek a solution to the problem,sadness
im feeling awfully spiteful right now,anger
i feel empty when the baby isnt there,sadness
i was feeling a bit lonely because poor henrietta had been in the shop for so long and ariel was right in chelmsford waiting for me,sadness
im happy to have finished the script s its good to have a feeling of accomplishment but im feeling rather discontent,sadness
i look down feeling alone and wantig to be that way,sadness
i feel totally ungrateful and extremely lucky,sadness
i have many days where i feel hopeless today the light at the end of my yellow brick road was shining just a little brighter,sadness
i feel more inhibited more shy in my own town with a camera than i do in the centre of london,sadness
ive been feeling myself with a fake sense of purpose,sadness
i feel respected and i feel like i am worth something,joy
i feel for my beloved that is reciprocated,love
i was cleaning up the place and about minutes in i started feeling paranoid and what i can only assume is the beginning of a psychotic episode,fear
i feel that there is a lot of me that would not be accepted if only the emotional side of me is wanted,joy
i love it i love doing it that way the pride and self satisfaction i feel when i do something by hand like that is a more pleasant feeling than what most other things in life can offer me these days,joy
i am definitely feeling the festive vibe and i have been busy with christmas y things mince pies are very much a british xmas goodie that i had never heard of before i met my husband well maybe in a song but other than that,joy
i am quite a regular reader of your blog and each time i read an experience i feel the greatness and kindness of our beloved father sai,joy
i think of these folks when i am feeling miserable for having to acknowledge i must actually do something to make the world a better place,sadness
i feel it all one of the many standouts from feist s dare i say masterpiece album the reminder broke down the usual barrier between audience and performer,sadness
i love the most about them is the slight cat eye shape of the lenses they instantly make me feel likeaudrey hepburn in breakfast at tiffanys so glamorous and of course that gorgeous case doesnt hurt either,joy
i feel sarcastic poetry coming on,anger
i know what it feels like to legitemately liked by someone that somehow got me to feel the same way which trust me takes alot i want that in my life,love
i asked him how it felt to be under a flogger wielded by me he said it made him feel more submissive to me that he was more and more mine at least for the night,sadness
i really like the job so far and i feel like i am genuinely putting some good out into the world,joy
i merely say i do not feel those activities to be acceptable for godly men for examples to others,joy
i know i have an international audience but even now i feel pleasantly shocked that i can reach certain parts of the world,surprise
i am feeling so nostalgic lately i would like to say it is because i am yearning for a simpler time but those times i find myself thinking of are far from simple,love
i start feeling resentful or overwhelmed it s a sure sign that i need mothering,anger
i feel that is why she suddenly got mad at mom,anger
i feel like i am the only person who is not ecstatic to be here right now,joy
i get lots of praises i feel proud sometimes,joy
im feeling strong healthy motivated and just overall positive about everything,joy
i am still undeniably big having that weight gone feels pretty terrific,joy
i realized what i am passionate about helping women feel accepted and appreciated,love
ive been waking up and automatically thinking in portugu s also lately and it feels fantastic,joy
im starting to think we may need to have to put a big sign on our door telling them so at least that would save me from feeling rude,anger
i feel beaten by it,sadness
when i heard a rumour that the st year exam results were out i had fear that i might be one of the failures,fear
i try my best to be stoic i try to keep myself from feeling any emotions by being carefree and far from serious,joy
i feel like the most moronic naive individual on the face of the planet right now,sadness
im stupid and make me feel like im worthless,sadness
i guess i m a sucker for the grand and endless battle between apparent good and apparent evil and i m no different than anyone else who feels they have the divine gift of discernment in situations like this,joy
i seem to see the five years after the chinese pavilion which is the content of the exhibition on immigration but to see the plateau province in this country is treated as one country so i feel very unhappy and i think this is a national tourist attraction they point then why not prudent,sadness
i am feeling rebellious i will start from the end instead of the beginning a very good place to start,anger
i sometimes feel like an artistic redcoat,joy
i feel kind of pathetic that i have such a hard time with this all,sadness
i think this may be the reason i would want to fly back to uae because there i can be oblivious of these conflicts that plague me conflicts that i feel helpless resolving,sadness
i will definitely be passing on my thanks to these wonderfully gifted people but words alone are difficult to express their awesomness and the feeling of safety when they are caring for us,love
i feel accepted there said panorma who is from indonesia,love
i hurt went on and found someone more worthwhile so why when i cast my mind back to those times does it still make me feel ashamed,sadness
i am afraid that i will feel very regretful at that time,sadness
i feel so valued but vastly underpaid,joy
i wound up feeling pleased with how tightly paced the film is,joy
ill be honest i feel almost as relieved now as i did when i first found out i was getting book published,joy
i was also worried about the long trip because i had vomited the night before and as you may guess im not feeling well at all,joy
i want to talk to you about but with the limited time we have on the phone and with our current arrangment i feel hesitant to bring it up,fear
i have been feeling is any indication on this childs personality then i am petrified,fear
i feel weepy a lot,sadness
i do really feel treasured by you too,love
i always feel like im entirely pathetic and needy but those people usually tell me that i was neither just quieter than usual,sadness
i kinda like you when i saw hannah montana but since you broke up with nick i feel like you are so a heartless person,anger
i was feeling disillusioned,sadness
i wasnt the only one feeling very pleased about it all laurie was beside himself that all the old structures and artefacts were still sitting around untouched in pretty much the same condition as the day the last locomotive went through,joy
i do feel weird why seldom people eat at there,fear
i still feel cute in my tight little work out pants and snug t shirt,joy
i cope with being made to feel inadequate,sadness
i feel lonely and lost,sadness
i was sick of feeling so lethargic all the time,sadness
i dance the more i feel joy the more generous i become with myself the more i live in the present the more i let myself off the trauma hook the less important the past becomes,joy
i move in to sit real close close enough to smell the cherry candy you ve been sucking on close enough to feel nervous,fear
i feel this strange shift between us the heat between us intensifying and i get excited my nerves bubbling up inside me,fear
i am terrified and not feeling terribly keen right now,joy
id like to think i could live happily away from home but i know id definitely feel homesick id miss my friends and our fun outings the most,sadness
i feel really anxious,fear
i feel so uptight and tense,fear
i feel are chased away by the friendly hand that clutched mine,joy
i feel like i have been beaten up and looking back on my week i can see why,sadness
i want to do with my life is an amazing feeling and i couldnt be more pleased about where my future is headed,joy
i promise to respect my personal boundaries acknowledge that i am a perfect and divine being and that i have the right to say no when i need to without feeling guilty,sadness
i feel like a kid that s been naughty,love
i have been having a really hard time feeling hopeful about much over the last few months,joy
i feel guilty after i do these things,sadness
i feel bothered at the fact that some of us have been given so many chances but i don t see the least bit of appreciation and utter gratefulness downright from their souls,anger
i woke up on a beautiful sunday morning feeling restless and miserable,fear
i feel these phrases or sentences in and of themselves are a wonderful story all on their own,joy
i feel stressed tired worn out out of shape or neglected,sadness
i feel like i need to just face the world and stop being afraid of repercussions,fear
i have been absolutely useless written about nothing at all and feel like im neglecting my faithful followers by failing to update the blog today,joy
im starting to feel myself becoming bitter,anger
i think there s nobody there but when i reach there i feel suspicious,fear
i feel as though im supposed to be sympathetic but im having a hard time feeling that way im finding the repetition more annoying than anything else and im afraid its showing,love
i begin feeling dull throbbing pain in my forefoot and after i am done running i have pain in the lateral area of my foot that was once broken,sadness
i feel i owe my adoring fans a lj entry every once and a while,love
i keep feel irritated,anger
i miss our talks our cuddling our kissing and the feelings that you can only share with your beloved,joy
i feel so carefree i never think of the crap going on in my life,joy
i was still feeling ok energy and distance wise etc it was just so slow and this was frustrating me a lot,joy
i feel so unwelcome its sickening,sadness
i feel all numb,sadness
i wanna tell you how i feel but im scared,fear
i feel fantastic and i find that i have a renewed sense of strength and endurance,joy
im lulled into a fantasy of walking hand in hand in some remote location preferably the beach at sunset its cliched i know and feeling love and loving in return,love
i think this feeling is fro trusting in god and sometimes its just apathy,joy
i could loose my job i would be so f amp ed for xmas i hate xmas i hate holidays i wish they would go away i feel nervous i feel sad what if i disappoint my family my friends,fear
i feel he is loyal to his staff to a fault,love
i spent so much of this year waiting for these summer moments and it feels like i ve resigned summer to a certain extent just waiting to get on with life and start a new chapter in st paul,sadness
i can usually do a month without feeling homesick,sadness
i just be feeling curious about a few tings,surprise
i didn t feel like i was being bitchy at the time but upon retrospect why wouldn t he think that i was trying to shake him off,anger
i feel stupid the pointlessness of the cu,sadness
i convince myself to write i feel like im just exposing how lousy i am at what im trying to do,sadness
i really want this challenge to be a fun way for everyone to knock a few games off our backlogs without feeling pressured to reach any certain goals,fear
i feel that i have contributed in a positive way to seven,joy
i want to enter in defiance but coming from a different culture i feel offended that i am not allowed,anger
i truly feel sorry for them,sadness
i am tired and not feeling well all morning,joy
