Attrition,Age,Department,DistanceFromHome,EducationField,Gender,MaritalStatus,MonthlyIncome,RelationshipSatisfaction,WorkLifeBalance
Yes,28,Research & Development,17,Technical Degree,Male,Divorced,2367,1,2
No,20,Sales,9,Life Sciences,Male,Single,2728,1,3
No,28,Research & Development,1,Life Sciences,Male,Divorced,1563,4,1
No,25,Research & Development,1,Medical,Female,Single,2096,4,2
No,51,Research & Development,1,Life Sciences,Male,Married,2723,2,2
No,40,Research & Development,2,Medical,Female,Single,2342,4,2
Yes,19,Sales,22,Marketing,Male,Single,1675,4,2
No,29,Research & Development,1,Life Sciences,Male,Divorced,2720,4,3
No,41,Research & Development,9,Life Sciences,Male,Divorced,2289,2,3
No,28,Human Resources,1,Life Sciences,Male,Divorced,2706,2,3
No,45,Research & Development,9,Life Sciences,Male,Divorced,2348,3,1
No,26,Research & Development,1,Life Sciences,Female,Married,2933,3,2
Yes,31,Sales,1,Life Sciences,Female,Single,1359,2,3
No,27,Research & Development,14,Life Sciences,Male,Married,2235,4,2
Yes,30,Research & Development,3,Technical Degree,Female,Single,2657,3,3
No,28,Research & Development,1,Medical,Male,Single,2154,3,2
No,26,Research & Development,4,Life Sciences,Male,Single,2875,2,2
No,24,Research & Development,9,Life Sciences,Male,Divorced,2694,3,3
Yes,28,Sales,1,Technical Degree,Male,Married,2909,4,4
Yes,24,Human Resources,22,Human Resources,Male,Married,1555,3,3
Yes,33,Research & Development,25,Medical,Male,Single,2313,2,3
No,26,Research & Development,23,Life Sciences,Female,Divorced,2886,2,1
Yes,30,Research & Development,22,Life Sciences,Female,Married,2132,2,3
No,33,Human Resources,3,Human Resources,Male,Divorced,2277,3,4
No,51,Research & Development,6,Medical,Female,Single,2838,2,2
Yes,36,Research & Development,16,Life Sciences,Female,Single,2743,3,3
Yes,30,Sales,9,Medical,Male,Single,1081,3,2
No,45,Research & Development,28,Technical Degree,Male,Married,2132,4,3
No,42,Research & Development,2,Medical,Male,Single,2515,4,3
Yes,39,Sales,5,Technical Degree,Male,Married,2086,3,4
No,30,Research & Development,3,Life Sciences,Male,Married,2097,3,1
No,37,Research & Development,9,Medical,Male,Married,2326,3,2
Yes,39,Research & Development,6,Medical,Male,Married,2404,4,1
No,34,Research & Development,26,Technical Degree,Female,Divorced,2029,3,3
Yes,19,Research & Development,10,Medical,Female,Single,1859,2,4
No,29,Sales,10,Life Sciences,Male,Single,2642,3,3
Yes,28,Research & Development,2,Medical,Male,Single,2561,3,2
No,37,Research & Development,4,Life Sciences,Male,Married,2996,4,3
No,35,Research & Development,8,Life Sciences,Male,Married,2269,4,3
Yes,27,Research & Development,17,Life Sciences,Female,Single,2394,4,3
No,27,Research & Development,5,Life Sciences,Female,Single,2379,3,2
No,24,Human Resources,10,Medical,Male,Married,2145,4,3
No,29,Research & Development,4,Technical Degree,Female,Divorced,2109,3,3
No,40,Research & Development,2,Medical,Female,Married,2001,2,3
No,30,Research & Development,16,Life Sciences,Male,Married,2862,2,2
No,49,Research & Development,16,Medical,Female,Divorced,2587,2,2
Yes,31,Sales,1,Life Sciences,Female,Single,2302,1,4
No,35,Sales,8,Life Sciences,Female,Married,2572,2,2
Yes,21,Sales,12,Life Sciences,Female,Single,2716,4,3
No,29,Research & Development,9,Life Sciences,Male,Married,2451,1,2
No,26,Research & Development,3,Life Sciences,Female,Married,2061,1,3
No,35,Research & Development,23,Medical,Male,Married,2705,2,4
No,35,Research & Development,3,Life Sciences,Male,Married,1281,3,3
No,44,Research & Development,1,Medical,Male,Single,2436,3,3
No,32,Research & Development,2,Technical Degree,Male,Single,2176,4,3
No,34,Sales,14,Technical Degree,Female,Divorced,2579,4,3
No,30,Research & Development,23,Life Sciences,Male,Divorced,2613,3,2
No,30,Research & Development,3,Medical,Female,Divorced,2083,3,3
Yes,41,Research & Development,2,Life Sciences,Female,Divorced,2778,3,2
No,22,Research & Development,11,Medical,Female,Married,2244,4,3
No,32,Research & Development,7,Life Sciences,Male,Married,2794,3,1
Yes,26,Human Resources,20,Medical,Female,Married,2148,3,3
No,34,Research & Development,10,Life Sciences,Male,Divorced,2008,2,3
No,48,Research & Development,2,Technical Degree,Male,Single,2559,3,2
No,19,Research & Development,25,Life Sciences,Female,Single,2994,4,3
Yes,33,Research & Development,2,Life Sciences,Female,Married,2707,1,4
No,43,Research & Development,10,Life Sciences,Female,Single,2455,1,3
No,24,Research & Development,23,Medical,Male,Married,2725,2,3
No,38,Sales,1,Life Sciences,Male,Single,2858,1,2
Yes,19,Research & Development,2,Life Sciences,Male,Single,1102,3,2
No,21,Sales,9,Medical,Male,Single,2610,3,2
No,45,Research & Development,10,Life Sciences,Male,Married,2654,4,2
Yes,29,Research & Development,8,Other,Male,Married,2119,4,2
No,40,Research & Development,10,Life Sciences,Female,Married,2213,3,3
No,38,Human Resources,2,Human Resources,Male,Divorced,2592,4,3
No,35,Sales,28,Life Sciences,Female,Married,2430,1,3
No,30,Research & Development,2,Medical,Male,Single,2720,4,3
