INCOME,OVERAGE,LEFTOVER,HOUSE,HANDSET_PRICE,OVER_15MINS_CALLS_PER_MONTH,AVERAGE_CALL_DURATION,CHURN
31953,0,6,313378,161,0,4,STAY
36147,0,13,800586,244,0,6,STAY
27273,230,0,305049,201,16,15,STAY
120070,38,33,788235,780,3,2,LEAVE
29215,208,85,224784,241,21,1,STAY
133728,64,48,632969,626,3,2,STAY
42052,224,0,697949,191,10,5,STAY
84744,0,20,688098,357,0,5,STAY
38171,0,7,274218,190,0,5,STAY
105824,174,18,153560,687,25,4,LEAVE
20120,43,0,623166,209,5,8,STAY
50939,76,13,587207,336,3,5,STAY
23553,244,0,926178,158,4,5,STAY
143501,63,0,515444,530,3,10,STAY
36940,259,0,979303,236,10,8,STAY
159902,0,20,213299,516,1,4,STAY
45482,82,6,607518,157,5,2,STAY
41513,0,15,214276,167,1,2,STAY
53391,74,69,599957,287,5,2,LEAVE
52308,0,50,187864,394,27,2,STAY
129795,0,0,281839,684,0,13,LEAVE
86658,78,15,150852,296,4,5,STAY
96390,251,14,221453,371,26,4,LEAVE
23322,60,0,281214,302,3,13,LEAVE
26224,49,75,282685,189,4,1,LEAVE
47502,0,0,507873,199,1,11,STAY
62951,45,10,403085,304,5,5,STAY
42647,164,0,459225,214,12,14,STAY
39654,72,28,951514,225,5,2,LEAVE
101335,216,0,414892,420,20,14,LEAVE
53769,0,26,428647,295,0,1,STAY
43107,55,11,300669,211,5,6,LEAVE
80136,0,0,210851,266,1,6,LEAVE
20381,0,23,981435,165,0,6,STAY
150692,184,0,671805,631,0,6,STAY
158937,0,18,560905,547,29,6,STAY
134424,51,0,182350,467,5,13,LEAVE
153885,0,18,947313,721,1,6,STAY
122010,0,0,265954,711,1,12,STAY
20389,0,0,277834,189,0,4,STAY
117970,173,23,850122,694,26,4,LEAVE
149610,186,0,203399,445,15,1,LEAVE
75565,0,0,262921,270,0,14,LEAVE
60057,159,0,439553,321,28,11,LEAVE
32061,68,55,247138,209,5,2,STAY
20548,0,13,618233,247,0,4,STAY
30775,0,6,643457,136,1,4,LEAVE
107959,0,0,617587,616,1,15,STAY
28021,194,40,696708,146,22,1,STAY
27635,0,0,455968,163,10,14,LEAVE
102647,181,18,242728,754,1,6,STAY
49443,217,8,828084,238,25,4,STAY
79672,198,27,459549,336,26,1,LEAVE
73689,0,73,435407,142,0,2,LEAVE
42585,72,83,477745,142,4,1,STAY
134513,41,0,253245,442,4,11,STAY
78108,196,29,390598,370,18,1,LEAVE
40980,76,18,812104,231,3,11,STAY
54833,69,0,541065,378,4,14,STAY
34722,47,42,420046,171,3,6,LEAVE
120331,238,27,256742,706,12,1,LEAVE
140079,203,52,537868,413,17,2,LEAVE
84371,38,22,763123,292,14,4,STAY
81764,206,23,644395,501,1,6,STAY
55050,71,61,371115,274,3,2,LEAVE
86891,65,6,907035,382,4,5,STAY
133389,240,71,415379,747,29,1,LEAVE
77412,218,0,489869,277,19,15,LEAVE
124035,227,0,262871,501,13,14,LEAVE
57460,56,63,526910,327,5,2,STAY
23229,0,64,192175,230,1,1,LEAVE
137059,239,0,194351,588,29,6,STAY
79054,165,12,177411,351,27,4,LEAVE
123665,217,22,726234,544,28,4,STAY
24861,56,0,179200,603,4,14,LEAVE
100800,215,0,188219,859,10,12,LEAVE
24484,55,0,762598,224,5,5,STAY
28916,192,88,723263,245,21,1,STAY
103506,78,22,258527,631,1,4,STAY
33720,0,13,268966,174,0,5,STAY
124947,0,11,902765,422,0,6,STAY
101746,0,7,223810,748,1,6,STAY
34845,0,35,382242,203,1,2,LEAVE
154686,0,9,933975,736,0,4,STAY
56065,0,86,702828,250,0,1,STAY
87141,0,20,277228,250,1,4,LEAVE
61104,56,13,183349,857,5,4,LEAVE
124092,94,65,395269,561,3,2,STAY
101798,0,16,554036,880,1,4,STAY
151731,74,0,885746,536,26,11,LEAVE
45473,204,15,361403,197,15,5,LEAVE
39899,0,65,967576,141,1,12,STAY
42459,0,0,783857,192,1,10,STAY
38814,0,48,814203,188,1,2,STAY
45870,214,0,201417,159,19,8,LEAVE
76717,0,82,883593,381,0,2,LEAVE
50871,232,32,608297,381,18,1,STAY
113468,0,10,214042,483,0,5,STAY
129023,45,5,675998,752,4,1,LEAVE
44986,219,0,977398,235,25,11,STAY
79719,202,79,176013,256,21,5,LEAVE
113504,57,24,809188,192,3,5,STAY
97754,97,45,937656,286,4,1,STAY
40385,65,23,453600,216,3,5,STAY
43915,158,15,151890,197,24,5,LEAVE
70863,186,9,705316,546,19,5,STAY
27886,63,63,461456,241,1,2,STAY
31556,71,76,324804,195,15,1,LEAVE
84992,197,8,736073,396,1,4,STAY
63466,67,0,728459,254,4,14,STAY
55347,59,0,922404,331,13,15,STAY
24146,203,8,276961,332,25,6,LEAVE
24811,0,59,693081,225,0,2,LEAVE
64779,62,85,247953,393,3,1,LEAVE
116815,211,87,199709,827,23,2,LEAVE
33406,55,0,168170,185,4,14,LEAVE
111935,176,75,932300,555,16,2,LEAVE
56005,154,23,270679,206,0,12,LEAVE
126919,0,11,242869,565,1,6,STAY
110061,0,25,902824,817,0,1,LEAVE
86392,223,0,938183,322,20,11,STAY
45347,56,66,768301,177,4,2,STAY
115403,35,0,617684,719,5,15,LEAVE
42787,232,17,169276,347,19,6,LEAVE
91345,206,63,395398,335,28,1,LEAVE
154596,163,12,825253,810,14,6,LEAVE
62386,0,63,525716,307,0,2,LEAVE
135797,59,14,150953,641,5,4,STAY
26918,0,10,261614,179,0,6,STAY
107768,174,0,278811,604,10,12,STAY
64377,148,21,403102,347,10,10,STAY
83020,211,81,310469,165,12,1,LEAVE
76113,209,0,192765,162,14,8,LEAVE
139334,38,41,378749,705,4,2,LEAVE
154628,58,0,531069,454,3,10,STAY
76995,55,23,388798,648,3,4,STAY
152863,0,75,200579,605,0,2,LEAVE
82251,69,0,615508,345,5,8,STAY
55191,0,13,889707,271,0,6,STAY
132729,245,0,975834,319,21,10,LEAVE
111211,219,0,636157,447,26,8,STAY
30742,82,59,175583,146,4,1,STAY
98101,175,12,185838,381,14,6,LEAVE
92165,152,0,771245,372,26,15,STAY
65410,0,32,259440,361,1,2,LEAVE
106193,203,0,458895,491,21,8,LEAVE
43913,218,73,184765,243,14,2,LEAVE
125614,0,82,172512,673,1,1,STAY
33536,196,0,293898,179,19,9,LEAVE
91018,171,22,803631,378,14,5,STAY
126755,228,0,178369,594,14,9,LEAVE
41874,0,0,477865,198,4,8,LEAVE
96808,0,56,413429,307,0,11,LEAVE
