COLLEGE,INCOME,OVERAGE,LEFTOVER,HOUSE,HANDSET_PRICE,OVER_15MINS_CALLS_PER_MONTH,AVERAGE_CALL_DURATION,REPORTED_SATISFACTION,REPORTED_USAGE_LEVEL,CONSIDERING_CHANGE_OF_PLAN,CHURN
1,145297,71,37,969515,478,4,1,avg,very_little,no,0
0,115956,0,11,899704,710,0,5,unsat,very_high,actively_looking_into_it,0
0,40683,212,15,844664,188,24,5,very_unsat,very_little,no,0
1,33043,0,81,539732,162,1,1,unsat,very_little,never_thought,0
1,50743,0,22,430005,318,16,5,unsat,very_high,actively_looking_into_it,0
0,68371,195,7,977876,376,27,4,very_sat,very_little,actively_looking_into_it,0
1,67292,74,0,262167,340,5,8,very_unsat,little,no,0
1,139652,62,31,318364,659,4,1,very_sat,little,actively_looking_into_it,0
0,122534,0,55,483254,395,1,2,very_unsat,little,actively_looking_into_it,0
0,87933,0,6,887360,363,0,6,avg,very_high,never_thought,0
1,21930,0,43,539140,243,0,2,very_sat,little,actively_looking_into_it,0
0,85909,70,17,276802,392,3,4,unsat,little,actively_looking_into_it,0
0,130057,220,0,203681,681,17,14,very_unsat,high,actively_looking_into_it,0
1,74401,0,23,390979,331,5,9,avg,little,never_thought,0
1,20423,0,84,973992,272,0,2,very_sat,little,actively_looking_into_it,0
1,139460,0,5,427563,434,1,5,very_unsat,very_little,no,0
1,158857,0,16,850341,575,0,10,very_unsat,high,considering,0
1,77706,179,19,517122,323,14,4,very_unsat,avg,actively_looking_into_it,0
1,65698,0,21,488891,324,1,6,sat,little,no,0
0,78959,86,0,258352,371,5,2,very_sat,little,considering,0
0,32135,0,23,653989,333,0,4,avg,avg,no,0
1,134964,73,52,246886,204,4,1,very_unsat,very_high,actively_looking_into_it,0
1,36616,0,0,784676,196,1,15,very_unsat,little,actively_looking_into_it,0
1,108835,0,24,487688,479,1,4,unsat,very_little,no,0
0,126396,0,70,584521,140,5,2,very_unsat,high,actively_looking_into_it,0
0,100717,0,16,527257,637,0,6,unsat,very_little,no,0
0,89773,0,77,834003,344,0,4,very_unsat,very_high,actively_looking_into_it,0
1,60909,212,8,641085,138,13,6,very_sat,avg,actively_looking_into_it,0
1,75854,193,68,436142,300,11,2,unsat,very_high,actively_looking_into_it,0
1,146115,0,9,171825,402,1,5,very_unsat,very_little,considering,0
0,109483,0,0,725532,767,1,2,avg,little,actively_looking_into_it,0
1,30142,59,13,673653,237,5,5,very_unsat,very_little,considering,0
1,107020,0,20,174178,453,0,4,avg,very_little,considering,0
1,123871,77,22,363416,315,5,5,avg,very_high,actively_looking_into_it,0
0,89247,93,19,166814,253,21,5,very_sat,very_little,considering,0
0,75566,61,25,288001,274,4,1,very_unsat,little,actively_looking_into_it,0
1,89177,0,13,597635,381,0,4,very_unsat,very_little,actively_looking_into_it,0
1,86570,0,0,375577,323,1,10,very_unsat,little,actively_looking_into_it,0
0,113716,55,0,210936,626,4,15,avg,little,never_thought,0
1,51673,60,0,297004,306,3,13,unsat,very_high,actively_looking_into_it,0
1,46016,193,83,592013,231,28,1,sat,very_high,considering,0
0,95330,52,16,296781,273,3,4,avg,high,perhaps,0
1,89795,168,0,348723,272,29,10,avg,very_little,never_thought,1
0,51795,47,7,186207,374,3,5,avg,very_high,actively_looking_into_it,0
1,125146,62,22,233209,400,4,6,very_unsat,very_high,actively_looking_into_it,0
1,58202,221,57,676819,354,0,2,unsat,avg,no,0
1,109340,205,30,197946,472,17,1,very_unsat,very_little,considering,0
0,153148,46,0,562938,217,4,11,unsat,little,actively_looking_into_it,0
1,146898,0,0,544681,712,5,9,avg,little,no,0
0,49012,0,59,616894,188,1,1,unsat,little,considering,0
1,53269,235,0,178392,261,21,8,unsat,very_high,considering,0
0,118522,0,78,225408,872,1,1,avg,avg,actively_looking_into_it,0
1,120346,0,10,568914,758,0,4,unsat,avg,perhaps,0
0,130524,0,23,414476,747,0,6,very_sat,very_high,considering,0
0,120234,0,0,415932,603,0,1,very_unsat,little,actively_looking_into_it,0
1,90315,45,0,290027,327,4,8,very_unsat,very_high,actively_looking_into_it,0
0,75859,0,5,266790,368,5,6,very_unsat,little,no,0
1,62827,33,68,494317,294,28,2,very_sat,little,no,0
1,123036,252,76,557623,522,18,1,very_unsat,very_high,actively_looking_into_it,0
0,110587,0,77,295428,696,1,2,very_unsat,little,considering,0
1,84726,48,19,211426,369,4,5,very_sat,very_little,considering,0
1,44822,59,12,265067,160,3,5,very_sat,very_little,actively_looking_into_it,0
0,81842,75,0,666825,255,4,14,unsat,very_little,considering,0
0,40170,44,0,436516,181,3,9,very_unsat,very_high,considering,0
0,87663,69,11,683329,393,3,5,very_unsat,high,never_thought,0
0,38205,77,18,459411,215,3,4,sat,avg,no,0
0,34463,198,17,983076,178,19,6,unsat,high,no,0
1,23556,52,75,952361,248,4,1,very_unsat,little,no,0
1,64126,0,0,996624,278,0,11,very_unsat,little,no,0
1,122877,0,12,519053,821,1,6,very_sat,little,never_thought,0
0,32015,42,37,865359,222,5,1,very_unsat,very_high,actively_looking_into_it,0
1,37573,0,15,475819,187,0,4,very_unsat,very_high,actively_looking_into_it,0
0,72414,0,16,991413,250,16,4,unsat,high,actively_looking_into_it,0
0,35776,0,0,313602,149,0,2,avg,little,considering,0
1,41625,55,88,957205,235,4,2,avg,very_high,considering,0
0,31433,0,80,895081,191,20,2,very_unsat,avg,actively_looking_into_it,0
1,83444,66,0,905435,255,3,14,unsat,little,considering,0
1,159579,0,13,263901,201,1,6,unsat,very_high,actively_looking_into_it,0
0,95390,68,11,461117,485,3,4,very_sat,very_high,actively_looking_into_it,0
1,50321,227,19,845180,260,26,6,very_unsat,very_high,perhaps,0
0,68178,0,18,237022,254,20,5,very_sat,little,considering,0
1,40526,68,13,485574,234,4,6,very_unsat,very_high,considering,0
0,132961,42,14,917255,458,4,1,very_sat,very_little,considering,0
0,46573,60,0,342723,185,0,11,very_unsat,little,actively_looking_into_it,0
1,63299,67,60,182526,333,5,1,very_unsat,very_high,considering,0
1,125219,47,0,894893,771,3,10,very_unsat,avg,perhaps,0
1,46325,65,10,921185,200,5,6,very_unsat,very_high,considering,0
1,27032,0,7,295522,141,1,5,unsat,very_high,considering,0
1,140070,0,16,242549,229,1,4,very_unsat,very_high,actively_looking_into_it,0
0,33586,173,17,738093,170,29,4,very_sat,little,no,0
1,36061,181,0,706649,196,15,13,avg,very_little,no,0
0,105947,54,46,245380,818,3,1,sat,high,considering,0
0,123867,0,17,265868,777,0,5,avg,high,considering,0
0,34281,23,24,217605,153,5,5,very_unsat,little,considering,0
1,94244,83,76,720337,168,5,1,unsat,little,considering,0
1,45329,0,10,736477,226,1,4,very_sat,little,considering,0
0,50213,86,0,254085,256,5,9,very_sat,avg,considering,0
1,134135,37,0,529366,727,5,12,very_sat,very_high,considering,0
0,40926,0,23,956873,169,0,5,avg,little,actively_looking_into_it,0
0,108732,0,41,182807,615,1,2,unsat,little,considering,0
1,29700,0,32,766399,179,20,1,very_unsat,little,actively_looking_into_it,0
0,76393,0,39,819019,257,1,1,unsat,little,perhaps,0
0,47382,70,0,483153,222,1,15,very_unsat,very_high,considering,0
0,57610,77,0,367569,357,3,12,very_unsat,high,considering,0
1,76328,0,0,425368,303,1,13,avg,very_little,no,0
1,36880,81,0,903916,155,4,9,very_unsat,very_little,considering,0
1,22216,0,78,456188,240,3,1,avg,little,considering,0
0,64387,69,0,291815,266,5,15,very_sat,little,never_thought,0
0,136497,0,20,150298,452,1,4,very_sat,little,actively_looking_into_it,0
0,102926,0,9,197486,504,0,4,very_unsat,little,no,0
0,46265,0,7,169599,174,0,5,very_sat,little,no,0
1,121809,69,0,346511,692,5,8,very_sat,very_little,actively_looking_into_it,0
1,30284,0,86,663730,157,1,2,very_sat,very_little,actively_looking_into_it,0
1,89111,0,10,829587,354,20,4,very_unsat,very_high,no,0
0,55842,0,13,501475,379,0,6,very_unsat,very_high,actively_looking_into_it,0
0,34824,0,0,298534,135,0,9,very_sat,very_high,actively_looking_into_it,0
1,96060,188,0,469774,339,12,9,unsat,little,perhaps,0
1,42066,0,28,725171,224,1,2,very_unsat,very_high,no,0
0,85544,149,0,383739,252,11,15,very_sat,high,considering,0
1,61781,163,11,600767,255,19,5,very_unsat,little,never_thought,0
0,22814,0,22,922705,130,0,5,very_sat,little,actively_looking_into_it,0
0,135967,0,0,643556,350,1,9,very_unsat,little,no,1
0,66995,0,0,251737,254,3,14,very_unsat,very_high,never_thought,0
1,94644,0,0,679882,368,16,15,unsat,very_little,never_thought,0
1,111792,48,14,328001,780,3,5,very_sat,high,considering,0
1,24599,44,0,247009,197,3,10,very_unsat,little,considering,0
0,119893,0,0,373546,495,0,12,very_unsat,little,considering,0
0,82466,0,0,999996,294,0,11,unsat,very_high,no,0
0,96115,70,5,860016,287,4,6,very_unsat,very_little,considering,0
1,75947,0,0,721881,393,1,14,unsat,very_little,considering,0
