id,COLLEGE,INCOME ,OVERAGE,LEFTOVER,HOUSE,HANDSET_PRICE,OVER_15MINS_CALLS_PER_MONTH,AVERAGE_CALL_DURATION,REPORTED_SATISFACTION,REPORTED_USAGE_LEVEL,CONSIDERING_CHANGE_OF_PLAN,CHURN
1,0,31953,0,6,313378,161,0,4,unsat,little,no,STAY
2,1,36147,0,13,800586,244,0,6,unsat,little,considering,STAY
3,1,27273,230,0,305049,201,16,15,unsat,very_little,perhaps,STAY
4,0,120070,38,33,788235,780,3,2,unsat,very_high,considering,LEAVE
5,1,29215,208,85,224784,241,21,1,very_unsat,little,never_thought,STAY
6,0,133728,64,48,632969,626,3,2,unsat,high,no,STAY
7,0,42052,224,0,697949,191,10,5,very_unsat,little,actively_looking_into_it,STAY
8,1,84744,0,20,688098,357,0,5,very_unsat,little,considering,STAY
9,0,38171,0,7,274218,190,0,5,very_sat,little,actively_looking_into_it,STAY
10,0,105824,174,18,153560,687,25,4,very_sat,little,never_thought,LEAVE
11,0,20120,43,0,623166,209,5,8,very_sat,little,never_thought,STAY
12,1,50939,76,13,587207,336,3,5,avg,little,considering,STAY
13,0,23553,244,0,926178,158,4,5,very_unsat,very_little,actively_looking_into_it,STAY
14,1,143501,63,0,515444,530,3,10,unsat,high,considering,STAY
15,1,36940,259,0,979303,236,10,8,very_sat,very_high,considering,STAY
16,0,159902,0,20,213299,516,1,4,very_sat,high,actively_looking_into_it,STAY
17,0,45482,82,6,607518,157,5,2,avg,very_high,no,STAY
18,0,41513,0,15,214276,167,1,2,very_unsat,very_high,considering,STAY
19,0,53391,74,69,599957,287,5,2,very_unsat,very_high,no,LEAVE
20,1,52308,0,50,187864,394,27,2,very_unsat,little,considering,STAY
21,0,129795,0,0,281839,684,0,13,very_unsat,very_little,no,LEAVE
22,1,86658,78,15,150852,296,4,5,very_sat,very_high,never_thought,STAY
23,1,96390,251,14,221453,371,26,4,very_sat,very_little,actively_looking_into_it,LEAVE
24,0,23322,60,0,281214,302,3,13,unsat,very_high,never_thought,LEAVE
25,1,26224,49,75,282685,189,4,1,very_sat,very_little,perhaps,LEAVE
26,1,47502,0,0,507873,199,1,11,avg,very_high,actively_looking_into_it,STAY
27,1,62951,45,10,403085,304,5,5,unsat,very_high,perhaps,STAY
28,0,42647,164,0,459225,214,12,14,very_unsat,very_high,actively_looking_into_it,STAY
29,1,39654,72,28,951514,225,5,2,unsat,very_little,no,LEAVE
30,0,101335,216,0,414892,420,20,14,very_sat,very_little,considering,LEAVE
31,1,53769,0,26,428647,295,0,1,very_sat,very_high,considering,STAY
32,0,43107,55,11,300669,211,5,6,very_sat,very_high,considering,LEAVE
33,0,80136,0,0,210851,266,1,6,very_sat,little,no,LEAVE
34,0,20381,0,23,981435,165,0,6,avg,little,considering,STAY
35,1,150692,184,0,671805,631,0,6,unsat,little,no,STAY
36,0,158937,0,18,560905,547,29,6,very_sat,high,no,STAY
37,0,134424,51,0,182350,467,5,13,very_sat,little,considering,LEAVE
38,1,153885,0,18,947313,721,1,6,sat,little,never_thought,STAY
39,0,122010,0,0,265954,711,1,12,very_unsat,little,no,STAY
40,1,20389,0,0,277834,189,0,4,very_unsat,very_little,actively_looking_into_it,STAY
41,1,117970,173,23,850122,694,26,4,sat,little,actively_looking_into_it,LEAVE
42,0,149610,186,0,203399,445,15,1,very_unsat,avg,actively_looking_into_it,LEAVE
43,1,75565,0,0,262921,270,0,14,very_unsat,little,considering,LEAVE
44,0,60057,159,0,439553,321,28,11,very_unsat,little,no,LEAVE
45,1,32061,68,55,247138,209,5,2,very_unsat,little,no,STAY
46,1,20548,0,13,618233,247,0,4,sat,very_high,no,STAY
47,1,30775,0,6,643457,136,1,4,avg,little,never_thought,LEAVE
48,1,107959,0,0,617587,616,1,15,sat,very_high,actively_looking_into_it,STAY
49,0,28021,194,40,696708,146,22,1,avg,high,actively_looking_into_it,STAY
50,1,27635,0,0,455968,163,10,14,avg,very_little,considering,LEAVE
51,1,102647,181,18,242728,754,1,6,very_unsat,little,perhaps,STAY
