year,household,k_male,k_female,f_male,f_female
1981,,4160,4191,,
1982,,4160,4191,,
1983,2116,4160,4191,,
1984,2246,4160,4191,,
1985,2338,4788,4838,7,6
1986,2428,4899,4888,7,5
1987,2518,5000,4979,6,5
1988,2658,5156,5120,5,5
1989,2817,5305,5261,6,5
1990,2820,5321,5282,5,4
1991,3330,5468,5405,18,14
1992,3383,5500,5435,19,16
1993,3431,5478,5412,19,17
1994,3456,5409,5351,21,19
1995,3448,5302,5249,24,21
1996,3457,5231,5187,27,25
1997,3499,5187,5150,28,25
1998,3459,5147,5124,27,24
1999,3491,5141,5123,30,28
2000,3540,5167,5145,32,30
2001,3570,5142,5122,34,34
2002,3624,5109,5098,36,37
2003,3715,5085,5089,49,54
2004,3780,5075,5098,54,61
2005,3871,5062,5105,61,68
2006,3979,5062,5119,83,92
2007,4046,5063,5130,111,118
2008,4098,5062,5139,123,132
2009,4117,5059,5149,122,134
2010,4224,5111,5201,125,137
2011,4193,5074,5176,135,145
2012,4178,5041,5154,118,129
2013,4182,5008,5136,118,126
2014,4194,4980,5123,129,137
2015,4190,4931,5091,133,142
2016,4190,4877,5054,131,143
2017,4220,4830,5027,128,140
2018,4264,4774,4992,137,147
2019,4328,4744,4985,134,148
2020,4418,4702,4967,115,128
2021,4426,4618,4891,104,123
2022,4446,4570,4858,106,134
