ProductID,ProductName,Category,SubCategory
p1052661,새우깡,간식,과자
p1054261,고구마스틱,간식,과자
p1097821,짱구,간식,과자
p1097831,감자칩,간식,과자
p1119071,뿌셔뿌셔,간식,과자
p1235451,콘칩,간식,과자
p1006281,소보루빵,간식,빵
p1006411,통단팥빵,간식,빵
p1011291,낱개캔디,간식,사탕류
p1139681,감귤컵푸딩,간식,사탕류
p1139701,포도컵푸딩,간식,사탕류
p1178011,사과_소,과일,과수
p1237811,사과_대,과일,과수
p1002841,딸기_대,과일,과채
p1030071,토마토,과일,과채
p1194801,딸기_소,과일,과채
p1200641,참외,과일,과채
p1149381,팥아이스크림,유제품,아이스크림
p1149391,배아이스크림,유제품,아이스크림
p1149401,사과아이스크림,유제품,아이스크림
p1149411,딸기아이스크림,유제품,아이스크림
p1152861,포토아이스크림,유제품,아이스크림
p1231011,초코아이스크림,유제품,아이스크림
p1234751,초코콘,유제품,아이스크림
p1127201,플레인요거트,유제품,요거트
p1255281,딸기요거트,유제품,요거트
p1072601,우유1000,유제품,우유
p1133371,우유200,유제품,우유
p1162631,저지방우유,유제품,우유
p1246581,초코우유,유제품,우유
p1284851,유기농우유,유제품,우유
p1005771,두부_소,반찬류,두부
p1005891,두부_대,반찬류,두부
p1026741,유부,반찬류,두부
p1036481,순두부,반찬류,두부
p1100371,연두부,반찬류,두부
p1256521,부침용두부,반찬류,두부
p1005621,숙주나물,반찬류,나물류
p1175481,콩나물,반찬류,나물류
p1013161,느타리버섯,채소,버섯
p1097591,팽이버섯,채소,버섯
p1001771,마늘,채소,뿌리채소
p1013251,당근,채소,뿌리채소
p1089531,감자칩,채소,뿌리채소
p1159481,무,채소,뿌리채소
p1179241,열무,채소,뿌리채소
p1191881,당근,채소,뿌리채소
p1201601,양파,채소,뿌리채소
p1233511,피망,채소,뿌리채소
p1299491,당근,채소,뿌리채소
p1012951,애호박,채소,열매채소
p1144371,청오이,채소,열매채소
p1207281,브로컬리,채소,열매채소
p1207951,백오이,채소,열매채소
p1012581,깻잎,채소,잎채소
p1012641,상추,채소,잎채소
p1012751,파,채소,잎채소
p1012761,쌈모음,채소,잎채소
p1012811,시금치,채소,잎채소
p1012881,부추,채소,잎채소
p1144661,양배출,채소,잎채소
p1211951,무농약시금치,채소,잎채소
