date,sales,tot_sales,weekday,month,y
2013-01-01,65,388,1,1,53.0
2013-01-02,71,371,2,1,68.0
2013-01-03,53,434,3,1,77.0
2013-01-04,68,465,4,1,79.0
2013-01-05,77,527,5,1,44.0
2013-01-06,79,488,6,1,55.0
2013-01-07,44,362,0,1,64.0
2013-01-08,55,422,1,1,63.0
2013-01-09,64,396,2,1,65.0
2013-01-10,63,442,3,1,65.0
2013-01-11,65,480,4,1,68.0
2013-01-12,65,463,5,1,51.0
2013-01-13,68,530,6,1,51.0
2013-01-14,51,336,0,1,61.0
2013-01-15,51,430,1,1,57.0
2013-01-16,61,421,2,1,73.0
2013-01-17,57,394,3,1,63.0
2013-01-18,73,443,4,1,81.0
2013-01-19,63,489,5,1,55.0
2013-01-20,81,492,6,1,66.0
2013-01-21,55,337,0,1,57.0
2013-01-22,66,397,1,1,67.0
2013-01-23,57,368,2,1,67.0
2013-01-24,67,430,3,1,75.0
2013-01-25,67,449,4,1,91.0
2013-01-26,75,469,5,1,47.0
2013-01-27,91,563,6,1,75.0
2013-01-28,47,324,0,1,50.0
2013-01-29,75,444,1,1,65.0
2013-01-30,50,405,2,1,75.0
2013-01-31,65,449,3,1,84.0
2013-02-01,75,552,4,2,79.0
2013-02-02,84,520,5,2,62.0
2013-02-03,79,564,6,2,56.0
2013-02-04,62,397,0,2,54.0
2013-02-05,56,437,1,2,73.0
2013-02-06,54,446,2,2,67.0
2013-02-07,73,503,3,2,77.0
2013-02-08,67,509,4,2,87.0
2013-02-09,77,567,5,2,69.0
2013-02-10,87,547,6,2,80.0
2013-02-11,69,382,0,2,79.0
2013-02-12,80,424,1,2,80.0
2013-02-13,79,438,2,2,71.0
2013-02-14,80,499,3,2,74.0
2013-02-15,71,539,4,2,93.0
2013-02-16,74,536,5,2,59.0
2013-02-17,93,584,6,2,68.0
2013-02-18,59,395,0,2,66.0
2013-02-19,68,419,1,2,76.0
2013-02-20,66,429,2,2,73.0
2013-02-21,76,492,3,2,77.0
2013-02-22,73,453,4,2,95.0
2013-02-23,77,549,5,2,52.0
2013-02-24,95,568,6,2,55.0
2013-02-25,52,416,0,2,64.0
2013-02-26,55,460,1,2,69.0
2013-02-27,64,457,2,2,84.0
2013-02-28,69,484,3,2,88.0
2013-03-01,84,616,4,3,86.0
2013-03-02,88,693,5,3,83.0
2013-03-03,86,725,6,3,80.0
2013-03-04,83,465,0,3,86.0
2013-03-05,80,538,1,3,66.0
2013-03-06,86,543,2,3,99.0
2013-03-07,66,543,3,3,97.0
2013-03-08,99,575,4,3,95.0
2013-03-09,97,634,5,3,74.0
2013-03-10,95,651,6,3,69.0
2013-03-11,74,462,0,3,97.0
2013-03-12,69,522,1,3,93.0
2013-03-13,97,499,2,3,93.0
2013-03-14,93,529,3,3,91.0
2013-03-15,93,612,4,3,80.0
2013-03-16,91,606,5,3,62.0
2013-03-17,80,678,6,3,71.0
2013-03-18,62,437,0,3,70.0
2013-03-19,71,525,1,3,86.0
2013-03-20,70,505,2,3,94.0
2013-03-21,86,595,3,3,89.0
2013-03-22,94,649,4,3,94.0
2013-03-23,89,674,5,3,59.0
2013-03-24,94,685,6,3,86.0
2013-03-25,59,498,0,3,86.0
2013-03-26,86,529,1,3,95.0
2013-03-27,86,538,2,3,98.0
2013-03-28,95,559,3,3,110.0
2013-03-29,98,656,4,3,90.0
2013-03-30,110,654,5,3,74.0
2013-03-31,90,671,6,3,91.0
2013-04-01,74,541,0,4,86.0
2013-04-02,91,606,1,4,88.0
2013-04-03,86,591,2,4,107.0
2013-04-04,88,646,3,4,120.0
2013-04-05,107,739,4,4,128.0
2013-04-06,120,697,5,4,76.0
2013-04-07,128,789,6,4,84.0
2013-04-08,76,551,0,4,97.0
2013-04-09,84,589,1,4,105.0
2013-04-10,97,625,2,4,118.0
2013-04-11,105,673,3,4,110.0
2013-04-12,118,733,4,4,124.0
2013-04-13,110,725,5,4,76.0
2013-04-14,124,838,6,4,98.0
2013-04-15,76,554,0,4,92.0
2013-04-16,98,651,1,4,87.0
2013-04-17,92,592,2,4,105.0
2013-04-18,87,669,3,4,98.0
2013-04-19,105,741,4,4,107.0
2013-04-20,98,758,5,4,79.0
2013-04-21,107,768,6,4,99.0
2013-04-22,79,560,0,4,106.0
2013-04-23,99,607,1,4,106.0
2013-04-24,106,635,2,4,95.0
2013-04-25,106,701,3,4,113.0
2013-04-26,95,738,4,4,104.0
2013-04-27,113,751,5,4,71.0
2013-04-28,104,779,6,4,73.0
2013-04-29,71,489,0,4,97.0
2013-04-30,73,613,1,4,119.0
2013-05-01,97,701,2,5,112.0
2013-05-02,119,713,3,5,138.0
2013-05-03,112,784,4,5,136.0
2013-05-04,138,854,5,5,91.0
2013-05-05,136,876,6,5,114.0
2013-05-06,91,534,0,5,94.0
2013-05-07,114,636,1,5,110.0
2013-05-08,94,654,2,5,126.0
2013-05-09,110,728,3,5,114.0
