OrderID,Seq,OrderDate,ProductID,Qty,Amt,CustomerID
107,2,2016-01-02,p1036481,2,2100,c150417
69,1,2016-01-02,p1152861,1,1091,c212716
69,7,2016-01-02,p1013161,1,2600,c212716
69,8,2016-01-02,p1005771,1,1650,c212716
69,11,2016-01-02,p1089531,1,2600,c212716
69,14,2016-01-02,p1133371,1,800,c212716
69,16,2016-01-02,p1194801,1,8200,c212716
69,17,2016-01-02,p1100371,3,1200,c212716
69,18,2016-01-02,p1012581,1,1000,c212716
73,1,2016-01-02,p1178011,1,8800,c350776
73,8,2016-01-02,p1012581,1,1000,c350776
73,9,2016-01-02,p1207281,1,2600,c350776
75,2,2016-01-02,p1178011,1,8800,c090821
75,3,2016-01-02,p1072601,1,3700,c090821
77,2,2016-01-02,p1012641,1,1350,c179219
77,4,2016-01-02,p1072601,1,3700,c179219
79,2,2016-01-02,p1127201,1,3727,c263277
79,3,2016-01-02,p1030071,1,3950,c263277
79,6,2016-01-02,p1207281,1,2600,c263277
81,1,2016-01-02,p1001771,1,3150,c115512
83,2,2016-01-02,p1178011,1,8800,c085558
83,6,2016-01-02,p1097831,1,1455,c085558
83,7,2016-01-02,p1052661,1,1455,c085558
83,9,2016-01-02,p1097821,1,1000,c085558
93,1,2016-01-02,p1175481,1,1300,c306199
95,2,2016-01-02,p1005891,2,3500,c232687
95,4,2016-01-02,p1175481,1,1300,c232687
107,1,2016-01-02,p1175481,1,1300,c150417
39,13,2016-01-02,p1012811,1,2500,c337831
39,16,2016-01-02,p1133371,1,800,c337831
39,17,2016-01-02,p1100371,3,1200,c337831
41,3,2016-01-02,p1072601,2,7400,c082866
41,6,2016-01-02,p1013161,1,2600,c082866
41,7,2016-01-02,p1097821,1,1000,c082866
41,9,2016-01-02,p1012751,1,1350,c082866
45,2,2016-01-02,p1178011,1,8800,c274126
45,8,2016-01-02,p1194801,2,16400,c274126
45,9,2016-01-02,p1005771,1,1650,c274126
45,10,2016-01-02,p1072601,1,3700,c274126
45,11,2016-01-02,p1097821,1,1000,c274126
45,12,2016-01-02,p1052661,2,2910,c274126
47,1,2016-01-02,p1072601,1,3700,c156419
51,1,2016-01-02,p1175481,1,1300,c222461
51,2,2016-01-02,p1005891,2,3500,c222461
55,1,2016-01-02,p1175481,1,1300,c083862
55,2,2016-01-02,p1005891,1,1750,c083862
55,5,2016-01-02,p1026741,2,6454,c083862
61,2,2016-01-02,p1175481,1,1300,c314136
61,3,2016-01-02,p1097821,1,1000,c314136
63,2,2016-01-02,p1175481,1,1300,c105415
65,6,2016-01-02,p1100371,1,400,c293494
67,3,2016-01-02,p1175481,1,1300,c139786
71,1,2016-01-02,p1012761,1,1700,c365956
73,1,2016-01-02,p1030071,1,3950,c151657
81,2,2016-01-02,p1012811,1,2500,c148616
85,1,2016-01-02,p1012761,1,1700,c319034
85,2,2016-01-02,p1012641,1,1350,c319034
87,1,2016-01-02,p1178011,1,8800,c337211
87,12,2016-01-02,p1012811,1,2500,c337211
87,16,2016-01-02,p1052661,1,1455,c337211
87,17,2016-01-02,p1097831,1,1455,c337211
87,18,2016-01-02,p1207281,1,2600,c337211
89,1,2016-01-02,p1097821,1,1000,c163488
89,2,2016-01-02,p1012761,1,1700,c163488
89,4,2016-01-02,p1005891,1,1750,c163488
93,2,2016-01-02,p1012751,2,2700,c143548
