OrderID,Seq,OrderDate,ProductID,Qty,Amt,CustomerID,Year,Month
75,3,2016-01-02,p1072601,1,3700,c090821,2016,1
77,4,2016-01-02,p1072601,1,3700,c179219,2016,1
83,9,2016-01-02,p1097821,1,1000,c085558,2016,1
93,1,2016-01-02,p1175481,1,1300,c306199,2016,1
95,2,2016-01-02,p1005891,2,3500,c232687,2016,1
95,4,2016-01-02,p1175481,1,1300,c232687,2016,1
107,1,2016-01-02,p1175481,1,1300,c150417,2016,1
41,3,2016-01-02,p1072601,2,7400,c082866,2016,1
41,7,2016-01-02,p1097821,1,1000,c082866,2016,1
41,9,2016-01-02,p1012751,1,1350,c082866,2016,1
45,10,2016-01-02,p1072601,1,3700,c274126,2016,1
45,11,2016-01-02,p1097821,1,1000,c274126,2016,1
47,1,2016-01-02,p1072601,1,3700,c156419,2016,1
51,1,2016-01-02,p1175481,1,1300,c222461,2016,1
51,2,2016-01-02,p1005891,2,3500,c222461,2016,1
55,1,2016-01-02,p1175481,1,1300,c083862,2016,1
55,2,2016-01-02,p1005891,1,1750,c083862,2016,1
61,2,2016-01-02,p1175481,1,1300,c314136,2016,1
61,3,2016-01-02,p1097821,1,1000,c314136,2016,1
63,2,2016-01-02,p1175481,1,1300,c105415,2016,1
67,3,2016-01-02,p1175481,1,1300,c139786,2016,1
89,1,2016-01-02,p1097821,1,1000,c163488,2016,1
89,4,2016-01-02,p1005891,1,1750,c163488,2016,1
93,2,2016-01-02,p1012751,2,2700,c143548,2016,1
95,1,2016-01-02,p1072601,1,3700,c337999,2016,1
95,3,2016-01-02,p1005891,1,1750,c337999,2016,1
99,4,2016-01-02,p1012751,1,1350,c260294,2016,1
107,4,2016-01-02,p1097821,1,1000,c256672,2016,1
115,1,2016-01-02,p1072601,1,3700,c187241,2016,1
115,5,2016-01-02,p1175481,1,1300,c187241,2016,1
133,3,2016-01-02,p1005891,1,1750,c366858,2016,1
137,2,2016-01-02,p1012751,1,1350,c280590,2016,1
141,2,2016-01-02,p1175481,1,1300,c029643,2016,1
147,5,2016-01-02,p1175481,1,1300,c110521,2016,1
3,10,2016-01-02,p1175481,1,1300,c171257,2016,1
9,1,2016-01-02,p1175481,1,1300,c276666,2016,1
15,1,2016-01-02,p1012751,1,1350,c177887,2016,1
17,1,2016-01-02,p1012751,1,1350,c147397,2016,1
19,6,2016-01-02,p1005891,1,1750,c090006,2016,1
21,2,2016-01-02,p1072601,2,7400,c226603,2016,1
23,4,2016-01-02,p1097821,1,1000,c226725,2016,1
29,1,2016-01-02,p1005891,1,1750,c111738,2016,1
29,4,2016-01-02,p1175481,1,1300,c111738,2016,1
35,11,2016-01-02,p1175481,2,2600,c268330,2016,1
41,11,2016-01-02,p1072601,1,3700,c365633,2016,1
47,5,2016-01-02,p1072601,2,7400,c275598,2016,1
47,6,2016-01-02,p1005891,2,3500,c275598,2016,1
