defeat,datetime,v021,v087,v088,v089,v114,v115,v116,v117,v118,v120,v121,v157,v222,v223,v224,v249,v250,v251,v252,v253,v255,v256,v292,v360,v361,v362,v387,v388,v389,v390,v391,v393,v394,v430,v494,v495,v496,v521,v522,v523,v524,v525,v527,v528,v571,v572,v573,v574,v575,v576,v577,v578
normal,19/07/2008 11:55:00,1.4026,2.3895,0.9690000000000001,1747.6049,0.946,0.0,748.6115,0.9908,58.4306,0.9804,6.3788,0.0506,0.0707,0.0211,175.2173,0.0188,0.0,219.9453,0.0011,2.8374,0.005,0.4269,0.0167,0.0229,0.0065,55.2039,0.0055,0.0,61.5932,0.0003,0.9967,0.0017,0.1437,3.6084,2.957,2.1739,10.0261,1.9864,0.0,29.3804,0.1094,4.856,0.5064,6.6926,533.85,2.1113,8.95,0.3157,3.0624,0.1026,1.6765,14.9509
normal,19/07/2008 12:32:00,1.3825,2.3754,0.9894,1931.6464,0.9425,0.0,731.2517,0.9902,58.668,0.9731,6.5061,0.0437,0.0761,0.0014,128.4285,0.0154,0.0,193.0287,0.0007,3.8999,0.0086,0.5749,0.0139,0.0248,0.0005,46.3453,0.0049,0.0,65.0999,0.0002,1.1655,0.0027,0.1921,3.1595,3.2029,0.1441,6.6487,1.6292,0.0,26.397,0.0673,6.6475,0.8832,8.837,535.0164,2.4335,5.92,0.2653,2.0111,0.0772,1.1065,10.9003
defeat,19/07/2008 13:17:00,1.4123,2.4532,0.988,1685.8514,0.9231,0.0,718.5777,0.9899,58.4808,0.9772,6.4527,0.0497,0.0963,0.0152,182.4956,0.0273,0.0,104.4042,0.0007,4.1446,0.0063,0.4166,0.0167,0.0302,0.0046,58.0575,0.01,0.0,28.7334,0.0003,1.2356,0.002,0.1375,3.522,3.9238,1.5357,10.8251,2.9626,0.0,14.5293,0.0751,7.087000000000001,0.6451,6.4568,535.0245,2.0293,11.21,0.1882,4.0923,0.064,2.0952,9.2721
normal,19/07/2008 14:43:00,1.4011,2.4004,0.9904,1752.0968,0.9564,0.0,709.0867,0.9906,58.6635,0.9761,6.4935,0.0699,0.0764,0.0015,152.0885,0.0234,0.0,94.0954,0.001,3.2119,0.0072,0.4212,0.0245,0.0252,0.0004,45.7058,0.0068,0.0,32.4228,0.0003,1.1135,0.0023,0.1348,4.9898,3.1817,0.1488,8.6804,2.4416,0.0,13.2699,0.0977,5.4751,0.7404,6.4865,530.5682,2.0253,9.33,0.1738,2.8971,0.0525,1.7585,8.5831
normal,19/07/2008 15:22:00,1.3888,2.4530000000000003,0.9902,1828.3846,0.9424,0.0,796.595,0.9908,58.3858,0.9628,6.3551,0.0538,0.0802,0.0004,69.15100000000001,0.024,0.0,149.2172,0.0006,2.5775,0.0214,0.4051,0.0181,0.0286,0.0001,21.0312,0.0089,0.0,57.2692,0.0002,0.8495,0.0077,0.1356,3.8754,3.2712,0.0372,3.7821,2.5512,0.0,18.7319,0.0616,4.4146,2.2181,6.3745,532.0155,2.0275,8.83,0.2224,3.1776,0.0706,1.6597,10.9698
normal,19/07/2008 17:53:00,1.3836,2.3745,0.9888,1832.6305,0.9427,0.0,748.0887,0.9907,58.656000000000006,0.9632,6.3186,0.0511,0.0662,0.0028,129.1731,0.0198,0.0,158.2729,0.0007,2.6668,0.027999999999999997,0.4484,0.0176,0.0227,0.0012,42.1498,0.0078,0.0,58.2605,0.0003,0.9229999999999999,0.0081,0.152,3.6904,2.7883,0.2873,7.0485,2.1027,0.0,21.156999999999996,0.0706,4.5466,2.9077,7.097,534.2091,2.3236,8.91,0.3201,2.2598,0.0899,1.6679,13.7755
normal,19/07/2008 19:44:00,1.4067,2.4676,0.9675,1740.6472,0.9359999999999999,0.0,806.2734,0.9905,58.823,0.9754,6.5398,0.086,0.0903,0.0032,65.3582,0.0379,0.0,105.5219,0.001,3.4843,0.005,0.5536,0.0251,0.0349,0.0011,23.0568,0.0153,0.0,39.0975,0.0003,1.1262,0.0019,0.1858,6.1127,3.6587,0.3268,3.7548,4.0505,0.0,13.0876,0.0988,5.9234,0.5157,8.4653,541.9036,2.4229,6.48,0.2027,2.2019,0.0597,1.1958,8.3645
normal,19/07/2008 19:45:00,1.4092,2.3466,0.9902,1826.1111,0.9464,0.0,778.3335,0.9902,59.0421,0.9622,6.3241,0.0474,0.0915,0.0005,126.1031,0.0155,0.0,128.7632,0.0012,2.7835,0.0259,0.442,0.0183,0.0281,0.0002,39.4817,0.0055,0.0,40.8608,0.0004,0.9620000000000001,0.0087,0.14300000000000002,3.3651,3.8989,0.0527,6.9056,1.6426,0.0,16.5435,0.1232,4.7144,2.6891,6.9889,493.0054,2.2008,278.19,0.354,92.5866,0.126,56.4274,16.0862
normal,19/07/2008 20:24:00,1.4278,2.2944,0.98,1788.8624,0.9453,0.0,748.563,0.9906,58.7785,0.9635,6.3354,0.055999999999999994,0.0401,0.0287,100.5114,0.0222,0.0,61.5139,0.0007,2.8729,0.0199,0.4304,0.0174,0.0134,0.01,35.7156,0.0069,0.0,20.5522,0.0002,1.0021,0.0064,0.1432,3.9248,1.7466,2.9308,5.6187,2.3441,0.0,8.2176,0.0727,4.8876,2.0667,6.7934,535.1818,2.217,7.09,0.3168,2.4902,0.0878,1.3248,14.2892
normal,19/07/2008 21:35:00,1.4185,2.4069,0.968,1712.8033,0.9388,0.0,786.6071,0.9905,58.3664,0.9799,6.2053,0.0434,0.0854,0.0065,138.5192,0.025,0.0,123.1775,0.001,2.9198,0.0046,0.4653,0.0133,0.027000000000000003,0.0019,43.4619,0.0082,0.0,42.0501,0.0003,1.0207,0.0013,0.1628,3.0589,3.55,0.6709999999999999,8.0873,2.6612,0.0,15.6593,0.1007,5.0025,0.4676,7.4985,533.42,2.2598,3.54,0.1676,1.0395,0.0485,0.6636,7.4181
