Date,Open,High,Low,Close,Adj Close,Volume
2015-01-02,8810.0,8930.0,8750.0,8820.0,8175.257323999999,341169
2015-01-05,8720.0,8860.0,8630.0,8820.0,8175.257323999999,484752
2015-01-06,8800.0,8850.0,8600.0,8600.0,7971.339844,360161
2015-01-07,8500.0,8710.0,8500.0,8650.0,8017.68457,300467
2015-01-08,8650.0,8710.0,8520.0,8650.0,8017.68457,490843
2015-01-09,8700.0,8750.0,8570.0,8700.0,8064.030273,506497
2015-01-12,8650.0,8990.0,8650.0,8970.0,8314.293945,528617
2015-01-13,8770.0,9230.0,8770.0,9070.0,8406.983398,1113489
2015-01-14,9140.0,9150.0,8780.0,8780.0,8138.182617,791802
2015-01-15,8780.0,8840.0,8660.0,8670.0,8036.222656,440961
2015-01-16,8650.0,8720.0,8370.0,8380.0,7767.421875,727181
2015-01-19,8420.0,8570.0,8420.0,8530.0,7906.45752,393391
2015-01-20,8450.0,8480.0,7950.0,8060.0,7470.813965,1696837
2015-01-21,8070.0,8080.0,7530.0,7590.0,7035.171387,2650883
2015-01-22,7710.0,7930.0,7660.0,7770.0,7202.012695,1591000
2015-01-23,7910.0,7930.0,7640.0,7700.0,7137.130859000001,1213217
2015-01-26,7730.0,7900.0,7660.0,7900.0,7322.510254000001,955187
2015-01-27,7900.0,8230.0,7900.0,8230.0,7628.387206999999,1197547
2015-01-28,8240.0,8320.0,8030.0,8170.0,7572.772948999999,771761
2015-01-29,8200.0,8680.0,8180.0,8560.0,7934.263672,1272988
2015-01-30,8700.0,9490.0,8570.0,9410.0,8722.129883,3603817
2015-02-02,9300.0,9360.0,9020.0,9290.0,8610.900391,1907120
2015-02-03,9260.0,9270.0,9000.0,9090.0,8425.521484,1441610
2015-02-04,9120.0,9550.0,8990.0,9280.0,8601.631836,1711273
2015-02-05,9280.0,9500.0,8970.0,9210.0,8536.75,1262440
2015-02-06,9220.0,9250.0,8870.0,9050.0,8388.445313,1354004
2015-02-09,8950.0,9080.0,8910.0,8910.0,8258.678711,582902
2015-02-10,8840.0,8950.0,8630.0,8790.0,8147.451172,814339
2015-02-11,8790.0,8930.0,8710.0,8720.0,8082.567870999999,680536
2015-02-12,8690.0,8720.0,8330.0,8550.0,7924.995117,1734410
2015-02-13,8550.0,8690.0,8400.0,8500.0,7878.649901999999,819719
2015-02-16,8500.0,8710.0,8410.0,8670.0,8036.222656,870860
2015-02-17,8640.0,8740.0,8450.0,8520.0,7897.188477,849919
2015-02-23,8590.0,8640.0,8520.0,8590.0,7962.071289,590595
2015-02-24,8700.0,9280.0,8670.0,9160.0,8490.404297,2223956
2015-02-25,9190.0,9280.0,9020.0,9110.0,8444.05957,946716
2015-02-26,9160.0,9470.0,9070.0,9350.0,8666.514648,1162324
2015-02-27,9320.0,9590.0,9300.0,9450.0,8759.204102,1207527
2015-03-02,9450.0,9500.0,9190.0,9190.0,8518.210938,1009966
2015-03-03,9230.0,9300.0,9120.0,9220.0,8546.018555,808478
2015-03-04,9170.0,9250.0,9060.0,9190.0,8518.210938,796427
2015-03-05,9100.0,9260.0,9100.0,9200.0,8527.480469,381273
2015-03-06,9340.0,9380.0,9120.0,9160.0,8490.404297,1032831
2015-03-09,9150.0,9150.0,9010.0,9060.0,8397.713867,695988
2015-03-10,9030.0,9070.0,8690.0,8760.0,8119.64502,1615737
2015-03-11,8620.0,8640.0,8300.0,8330.0,7721.077148,1832864
2015-03-12,8410.0,8450.0,8270.0,8300.0,7693.27002,1497698
2015-03-13,8320.0,8350.0,8180.0,8220.0,7619.118164,1719856
2015-03-16,8220.0,8330.0,8180.0,8270.0,7665.462890999999,1016328
2015-03-17,8310.0,8350.0,8150.0,8330.0,7721.077148,1362601
2015-03-18,8360.0,8390.0,8270.0,8330.0,7721.077148,877684
2015-03-19,8400.0,8440.0,8240.0,8290.0,7684.001465,1084488
2015-03-20,8240.0,8330.0,8120.0,8230.0,7628.387206999999,1261958
2015-03-23,8260.0,8380.0,8260.0,8340.0,7730.346191,1211659
2015-03-24,8150.0,8230.0,8100.0,8220.0,7619.118164,1841026
2015-03-25,8240.0,8500.0,8220.0,8430.0,7813.766602,1781258
2015-03-26,8380.0,8490.0,8200.0,8260.0,7656.193848000001,1343514
2015-03-27,8310.0,8400.0,8140.0,8200.0,7600.580078,1473919
2015-03-30,8200.0,8270.0,8180.0,8250.0,7646.924805,824518
2015-03-31,8250.0,8270.0,8160.0,8160.0,7563.503906,860793
2015-04-01,8100.0,8200.0,8000.0,8040.0,7452.275879000001,1218547
2015-04-02,8040.0,8110.0,7930.0,7980.0,7396.662109000001,1399460
2015-04-03,7980.0,8070.0,7930.0,8020.0,7433.738281,1059800
2015-04-06,8030.0,8040.0,7870.0,7890.0,7313.241211,1207507
2015-04-07,7920.0,8030.0,7800.0,7880.0,7303.972168000001,1332070
2015-04-08,7950.0,7990.0,7860.0,7930.0,7350.317383,1035481
2015-04-09,7940.0,7940.0,7870.0,7890.0,7313.241211,852859
