PassengerId,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked,AgeGroup,Family,Mother,Fare2
1,0,3,Mr,male,22,1,0,A/5 21171,7.25,NA,S,Age_20,2,0,7.25
2,1,1,Mrs,female,38,1,0,PC 17599,71.2833,C85,C,Age_30,2,0,71.2833
3,1,3,Miss,female,26,0,0,STON/O2. 3101282,7.925,NA,S,Age_20,1,0,7.925
4,1,1,Mrs,female,35,1,0,113803,53.1,C123,S,Age_30,2,0,53.1
5,0,3,Mr,male,35,0,0,373450,8.05,NA,S,Age_30,1,0,8.05
6,0,3,Mr,male,32.37,0,0,330877,8.4583,NA,Q,Age_30,1,0,8.4583
7,0,1,Mr,male,54,0,0,17463,51.8625,E46,S,Age_50,1,0,51.8625
8,0,3,Master,male,2,3,1,349909,21.075,NA,S,Age_00,5,0,21.075
9,1,3,Mrs,female,27,0,2,347742,11.1333,NA,S,Age_20,3,1,11.1333
10,1,2,Mrs,female,14,1,0,237736,30.0708,NA,C,Age_10,2,0,30.0708
11,1,3,Miss,female,4,1,1,PP 9549,16.7,G6,S,Age_00,3,0,16.7
12,1,1,Miss,female,58,0,0,113783,26.55,C103,S,Age_50,1,0,26.55
13,0,3,Mr,male,20,0,0,A/5. 2151,8.05,NA,S,Age_20,1,0,8.05
14,0,3,Mr,male,39,1,5,347082,31.275,NA,S,Age_30,7,0,31.275
15,0,3,Miss,female,14,0,0,350406,7.8542,NA,S,Age_10,1,0,7.8542
16,1,2,Mrs,female,55,0,0,248706,16,NA,S,Age_50,1,0,16
17,0,3,Master,male,2,4,1,382652,29.125,NA,Q,Age_00,6,0,29.125
18,1,2,Mr,male,32.37,0,0,244373,13,NA,S,Age_30,1,0,13
19,0,3,Mrs,female,31,1,0,345763,18,NA,S,Age_30,2,0,18
20,1,3,Mrs,female,35.9,0,0,2649,7.225,NA,C,Age_30,1,0,7.225
21,0,2,Mr,male,35,0,0,239865,26,NA,S,Age_30,1,0,26
22,1,2,Mr,male,34,0,0,248698,13,D56,S,Age_30,1,0,13
23,1,3,Miss,female,15,0,0,330923,8.0292,NA,Q,Age_10,1,0,8.0292
24,1,1,Mr,male,28,0,0,113788,35.5,A6,S,Age_20,1,0,35.5
25,0,3,Miss,female,8,3,1,349909,21.075,NA,S,Age_00,5,0,21.075
26,1,3,Mrs,female,38,1,5,347077,31.3875,NA,S,Age_30,7,1,31.3875
27,0,3,Mr,male,32.37,0,0,2631,7.225,NA,C,Age_30,1,0,7.225
28,0,1,Mr,male,19,3,2,19950,263,C23 C25 C27,S,Age_10,6,0,164.8667
29,1,3,Miss,female,21.77,0,0,330959,7.8792,NA,Q,Age_20,1,0,7.8792
30,0,3,Mr,male,32.37,0,0,349216,7.8958,NA,S,Age_30,1,0,7.8958
31,0,1,"Uruchurtu, Don. Manuel E",male,40,0,0,PC 17601,27.7208,NA,C,Age_40,1,0,27.7208
32,1,1,Mrs,female,35.9,1,0,PC 17569,146.5208,B78,C,Age_30,2,0,146.5208
33,1,3,Miss,female,21.77,0,0,335677,7.75,NA,Q,Age_20,1,0,7.75
34,0,2,Mr,male,66,0,0,C.A. 24579,10.5,NA,S,Age_60,1,0,10.5
35,0,1,Mr,male,28,1,0,PC 17604,82.1708,NA,C,Age_20,2,0,82.1708
36,0,1,Mr,male,42,1,0,113789,52,NA,S,Age_40,2,0,52
37,1,3,Mr,male,32.37,0,0,2677,7.2292,NA,C,Age_30,1,0,7.2292
38,0,3,Mr,male,21,0,0,A./5. 2152,8.05,NA,S,Age_20,1,0,8.05
39,0,3,Miss,female,18,2,0,345764,18,NA,S,Age_10,3,0,18
40,1,3,Miss,female,14,1,0,2651,11.2417,NA,C,Age_10,2,0,11.2417
41,0,3,Mrs,female,40,1,0,7546,9.475,NA,S,Age_40,2,0,9.475
42,0,2,Mrs,female,27,1,0,11668,21,NA,S,Age_20,2,0,21
43,0,3,Mr,male,32.37,0,0,349253,7.8958,NA,C,Age_30,1,0,7.8958
44,1,2,Miss,female,3,1,2,SC/Paris 2123,41.5792,NA,C,Age_00,4,0,41.5792
45,1,3,Miss,female,19,0,0,330958,7.8792,NA,Q,Age_10,1,0,7.8792
46,0,3,Mr,male,32.37,0,0,S.C./A.4. 23567,8.05,NA,S,Age_30,1,0,8.05
47,0,3,Mr,male,32.37,1,0,370371,15.5,NA,Q,Age_30,2,0,15.5
48,1,3,Miss,female,21.77,0,0,14311,7.75,NA,Q,Age_20,1,0,7.75
49,0,3,Mr,male,32.37,2,0,2662,21.6792,NA,C,Age_30,3,0,21.6792
50,0,3,Mrs,female,18,1,0,349237,17.8,NA,S,Age_10,2,0,17.8
51,0,3,Master,male,7,4,1,3101295,39.6875,NA,S,Age_00,6,0,39.6875
52,0,3,Mr,male,21,0,0,A/4. 39886,7.8,NA,S,Age_20,1,0,7.8
53,1,1,Mrs,female,49,1,0,PC 17572,76.7292,D33,C,Age_40,2,0,76.7292
54,1,2,Mrs,female,29,1,0,2926,26,NA,S,Age_20,2,0,26
55,0,1,Mr,male,65,0,1,113509,61.9792,B30,C,Age_60,2,0,61.9792
56,1,1,Mr,male,32.37,0,0,19947,35.5,C52,S,Age_30,1,0,35.5
57,1,2,Miss,female,21,0,0,C.A. 31026,10.5,NA,S,Age_20,1,0,10.5
58,0,3,Mr,male,28.5,0,0,2697,7.2292,NA,C,Age_20,1,0,7.2292
59,1,2,Miss,female,5,1,2,C.A. 34651,27.75,NA,S,Age_00,4,0,27.75
60,0,3,Master,male,11,5,2,CA 2144,46.9,NA,S,Age_10,8,0,46.9
61,0,3,Mr,male,22,0,0,2669,7.2292,NA,C,Age_20,1,0,7.2292
62,1,1,Miss,female,38,0,0,113572,80,B28,S,Age_30,1,0,80
63,0,1,Mr,male,45,1,0,36973,83.475,C83,S,Age_40,2,0,83.475
64,0,3,Master,male,4,3,2,347088,27.9,NA,S,Age_00,6,0,27.9
65,0,1,Mr,male,32.37,0,0,PC 17605,27.7208,NA,C,Age_30,1,0,27.7208
66,1,3,Master,male,4.57,1,1,2661,15.2458,NA,C,Age_00,3,0,15.2458
67,1,2,Mrs,female,29,0,0,C.A. 29395,10.5,F33,S,Age_20,1,0,10.5
68,0,3,Mr,male,19,0,0,S.P. 3464,8.1583,NA,S,Age_10,1,0,8.1583
69,1,3,Miss,female,17,4,2,3101281,7.925,NA,S,Age_10,7,0,7.925
70,0,3,Mr,male,26,2,0,315151,8.6625,NA,S,Age_20,3,0,8.6625
71,0,2,Mr,male,32,0,0,C.A. 33111,10.5,NA,S,Age_30,1,0,10.5
72,0,3,Miss,female,16,5,2,CA 2144,46.9,NA,S,Age_10,8,0,46.9
73,0,2,Mr,male,21,0,0,S.O.C. 14879,73.5,NA,S,Age_20,1,0,73.5
74,0,3,Mr,male,26,1,0,2680,14.4542,NA,C,Age_20,2,0,14.4542
75,1,3,Mr,male,32,0,0,1601,56.4958,NA,S,Age_30,1,0,56.4958
76,0,3,Mr,male,25,0,0,348123,7.65,F G73,S,Age_20,1,0,7.65
77,0,3,Mr,male,32.37,0,0,349208,7.8958,NA,S,Age_30,1,0,7.8958
78,0,3,Mr,male,32.37,0,0,374746,8.05,NA,S,Age_30,1,0,8.05
79,1,2,Master,male,0.83,0,2,248738,29,NA,S,Age_00,3,0,29
80,1,3,Miss,female,30,0,0,364516,12.475,NA,S,Age_30,1,0,12.475
81,0,3,Mr,male,22,0,0,345767,9,NA,S,Age_20,1,0,9
82,1,3,Mr,male,29,0,0,345779,9.5,NA,S,Age_20,1,0,9.5
83,1,3,Miss,female,21.77,0,0,330932,7.7875,NA,Q,Age_20,1,0,7.7875
84,0,1,Mr,male,28,0,0,113059,47.1,NA,S,Age_20,1,0,47.1
85,1,2,Miss,female,17,0,0,SO/C 14885,10.5,NA,S,Age_10,1,0,10.5
86,1,3,Mrs,female,33,3,0,3101278,15.85,NA,S,Age_30,4,0,15.85
87,0,3,Mr,male,16,1,3,W./C. 6608,34.375,NA,S,Age_10,5,0,34.375
88,0,3,Mr,male,32.37,0,0,SOTON/OQ 392086,8.05,NA,S,Age_30,1,0,8.05
89,1,1,Miss,female,23,3,2,19950,263,C23 C25 C27,S,Age_20,6,0,164.8667
90,0,3,Mr,male,24,0,0,343275,8.05,NA,S,Age_20,1,0,8.05
91,0,3,Mr,male,29,0,0,343276,8.05,NA,S,Age_20,1,0,8.05
92,0,3,Mr,male,20,0,0,347466,7.8542,NA,S,Age_20,1,0,7.8542
93,0,1,Mr,male,46,1,0,W.E.P. 5734,61.175,E31,S,Age_40,2,0,61.175
94,0,3,Mr,male,26,1,2,C.A. 2315,20.575,NA,S,Age_20,4,0,20.575
95,0,3,Mr,male,59,0,0,364500,7.25,NA,S,Age_50,1,0,7.25
96,0,3,Mr,male,32.37,0,0,374910,8.05,NA,S,Age_30,1,0,8.05
97,0,1,Mr,male,71,0,0,PC 17754,34.6542,A5,C,Age_70,1,0,34.6542
98,1,1,Mr,male,23,0,1,PC 17759,63.3583,D10 D12,C,Age_20,2,0,63.3583
99,1,2,Mrs,female,34,0,1,231919,23,NA,S,Age_30,2,1,23
100,0,2,Mr,male,34,1,0,244367,26,NA,S,Age_30,2,0,26
101,0,3,Miss,female,28,0,0,349245,7.8958,NA,S,Age_20,1,0,7.8958
102,0,3,Mr,male,32.37,0,0,349215,7.8958,NA,S,Age_30,1,0,7.8958
103,0,1,Mr,male,21,0,1,35281,77.2875,D26,S,Age_20,2,0,77.2875
104,0,3,Mr,male,33,0,0,7540,8.6542,NA,S,Age_30,1,0,8.6542
105,0,3,Mr,male,37,2,0,3101276,7.925,NA,S,Age_30,3,0,7.925
106,0,3,Mr,male,28,0,0,349207,7.8958,NA,S,Age_20,1,0,7.8958
107,1,3,Miss,female,21,0,0,343120,7.65,NA,S,Age_20,1,0,7.65
108,1,3,Mr,male,32.37,0,0,312991,7.775,NA,S,Age_30,1,0,7.775
109,0,3,Mr,male,38,0,0,349249,7.8958,NA,S,Age_30,1,0,7.8958
