"Survived","Pclass","Sex","Age","SibSp","Parch","Fare","Embarked","AgeGroup","Family","Age_scale1"
"0","3","male",22,1,0,7.25,"S","Age21_30",2,0.271173661724051
"1","1","female",38,1,0,71.2833,"C","Age31_40",2,0.472229203317416
"1","3","female",26,0,0,7.925,"S","Age21_30",1,0.321437547122393
"1","1","female",35,1,0,53.1,"S","Age31_40",2,0.43453128926866
"0","3","male",35,0,0,8.05,"S","Age31_40",1,0.43453128926866
"0","3","male",32.37,0,0,8.4583,"Q","Age31_40",1,0.401482784619251
"0","1","male",54,0,0,51.8625,"S","Age51_60",1,0.673284744910782
"0","3","male",2,3,1,21.075,"S","Age0_10",5,0.0198542347323448
"1","3","female",27,0,2,11.1333,"S","Age21_30",3,0.334003518471978
"1","2","female",14,1,0,30.0708,"C","Age11_20",2,0.170645890927369
"1","3","female",4,1,1,16.7,"S","Age0_10",3,0.0449861774315155
"1","1","female",58,0,0,26.55,"S","Age51_60",1,0.723548630309123
"0","3","male",20,0,0,8.05,"S","Age11_20",1,0.246041719024881
"0","3","male",39,1,5,31.275,"S","Age31_40",7,0.484795174667002
"0","3","female",14,0,0,7.8542,"S","Age11_20",1,0.170645890927369
"1","2","female",55,0,0,16,"S","Age51_60",1,0.685850716260367
"0","3","male",2,4,1,29.125,"Q","Age0_10",6,0.0198542347323448
"1","2","male",32.37,0,0,13,"S","Age31_40",1,0.401482784619251
"0","3","female",31,1,0,18,"S","Age31_40",2,0.384267403870319
"1","3","female",35.9,0,0,7.225,"C","Age31_40",1,0.445840663483287
"0","2","male",35,0,0,26,"S","Age31_40",1,0.43453128926866
"1","2","male",34,0,0,13,"S","Age31_40",1,0.421965317919075
"1","3","female",15,0,0,8.0292,"Q","Age11_20",1,0.183211862276954
"1","1","male",28,0,0,35.5,"S","Age21_30",1,0.346569489821563
"0","3","female",8,3,1,21.075,"S","Age0_10",5,0.0952500628298567
"1","3","female",38,1,5,31.3875,"S","Age31_40",7,0.472229203317416
"0","3","male",32.37,0,0,7.225,"C","Age31_40",1,0.401482784619251
"0","1","male",19,3,2,263,"S","Age11_20",6,0.233475747675295
"1","3","female",21.77,0,0,7.8792,"Q","Age21_30",1,0.268283488313647
"0","3","male",32.37,0,0,7.8958,"S","Age31_40",1,0.401482784619251
"0","1","male",40,0,0,27.7208,"C","Age31_40",1,0.497361146016587
"1","1","female",35.9,1,0,146.5208,"C","Age31_40",2,0.445840663483287
"1","3","female",21.77,0,0,7.75,"Q","Age21_30",1,0.268283488313647
"0","2","male",66,0,0,10.5,"S","Age61_70",1,0.824076401105805
"0","1","male",28,1,0,82.1708,"C","Age21_30",2,0.346569489821563
"0","1","male",42,1,0,52,"S","Age41_50",2,0.522493088715758
"1","3","male",32.37,0,0,7.2292,"C","Age31_40",1,0.401482784619251
"0","3","male",21,0,0,8.05,"S","Age21_30",1,0.258607690374466
"0","3","female",18,2,0,18,"S","Age11_20",3,0.22090977632571
"1","3","female",14,1,0,11.2417,"C","Age11_20",2,0.170645890927369
"0","3","female",40,1,0,9.475,"S","Age31_40",2,0.497361146016587
"0","2","female",27,1,0,21,"S","Age21_30",2,0.334003518471978
"0","3","male",32.37,0,0,7.8958,"C","Age31_40",1,0.401482784619251
"1","2","female",3,1,2,41.5792,"C","Age0_10",4,0.0324202060819301
"1","3","female",19,0,0,7.8792,"Q","Age11_20",1,0.233475747675295
"0","3","male",32.37,0,0,8.05,"S","Age31_40",1,0.401482784619251
"0","3","male",32.37,1,0,15.5,"Q","Age31_40",2,0.401482784619251
"1","3","female",21.77,0,0,7.75,"Q","Age21_30",1,0.268283488313647
"0","3","male",32.37,2,0,21.6792,"C","Age31_40",3,0.401482784619251
"0","3","female",18,1,0,17.8,"S","Age11_20",2,0.22090977632571
"0","3","male",7,4,1,39.6875,"S","Age0_10",6,0.0826840914802714
"0","3","male",21,0,0,7.8,"S","Age21_30",1,0.258607690374466
"1","1","female",49,1,0,76.7292,"C","Age41_50",2,0.610454888162855
"1","2","female",29,1,0,26,"S","Age21_30",2,0.359135461171149
"0","1","male",65,0,1,61.9792,"C","Age61_70",2,0.81151042975622
"1","1","male",32.37,0,0,35.5,"S","Age31_40",1,0.401482784619251
"1","2","female",21,0,0,10.5,"S","Age21_30",1,0.258607690374466
"0","3","male",28.5,0,0,7.2292,"C","Age21_30",1,0.352852475496356
"1","2","female",5,1,2,27.75,"S","Age0_10",4,0.0575521487811008
"0","3","male",11,5,2,46.9,"S","Age11_20",8,0.132947976878613
"0","3","male",22,0,0,7.2292,"C","Age21_30",1,0.271173661724051
"1","1","female",38,0,0,80,"S","Age31_40",1,0.472229203317416
"0","1","male",45,1,0,83.475,"S","Age41_50",2,0.560191002764514
"0","3","male",4,3,2,27.9,"S","Age0_10",6,0.0449861774315155
"0","1","male",32.37,0,0,27.7208,"C","Age31_40",1,0.401482784619251
"1","3","male",4.57,1,1,15.2458,"C","Age0_10",3,0.0521487811007791
"1","2","female",29,0,0,10.5,"S","Age21_30",1,0.359135461171149
"0","3","male",19,0,0,8.1583,"S","Age11_20",1,0.233475747675295
"1","3","female",17,4,2,7.925,"S","Age11_20",7,0.208343804976125
"0","3","male",26,2,0,8.6625,"S","Age21_30",3,0.321437547122393
"0","2","male",32,0,0,10.5,"S","Age31_40",1,0.396833375219904
"0","3","female",16,5,2,46.9,"S","Age11_20",8,0.195777833626539
"0","2","male",21,0,0,73.5,"S","Age21_30",1,0.258607690374466
"0","3","male",26,1,0,14.4542,"C","Age21_30",2,0.321437547122393
"1","3","male",32,0,0,56.4958,"S","Age31_40",1,0.396833375219904
"0","3","male",25,0,0,7.65,"S","Age21_30",1,0.308871575772807
"0","3","male",32.37,0,0,7.8958,"S","Age31_40",1,0.401482784619251
"0","3","male",32.37,0,0,8.05,"S","Age31_40",1,0.401482784619251
"1","2","male",0.83,0,2,29,"S","Age0_10",3,0.00515204825332998
"1","3","female",30,0,0,12.475,"S","Age21_30",1,0.371701432520734
"0","3","male",22,0,0,9,"S","Age21_30",1,0.271173661724051
"1","3","male",29,0,0,9.5,"S","Age21_30",1,0.359135461171149
"1","3","female",21.77,0,0,7.7875,"Q","Age21_30",1,0.268283488313647
"0","1","male",28,0,0,47.1,"S","Age21_30",1,0.346569489821563
"1","2","female",17,0,0,10.5,"S","Age11_20",1,0.208343804976125
"1","3","female",33,3,0,15.85,"S","Age31_40",4,0.40939934656949
"0","3","male",16,1,3,34.375,"S","Age11_20",5,0.195777833626539
"0","3","male",32.37,0,0,8.05,"S","Age31_40",1,0.401482784619251
"1","1","female",23,3,2,263,"S","Age21_30",6,0.283739633073637
"0","3","male",24,0,0,8.05,"S","Age21_30",1,0.296305604423222
"0","3","male",29,0,0,8.05,"S","Age21_30",1,0.359135461171149
